Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,19,18,21,20,20,14,37,14,18,25,15,61,21,28,18,34,4,55,29,112,26,14,67,32,27,34,9,39,21,27
Colorectal_GSE32323,13,16,21,23,24,48,21,10,25,18,13,13,11,21,22,32,45,13,19,31,13,78,87,21,45,20,24,65,39,21
Colorectal_GSE44076,10,151,103,12,13,11,13,15,13,1,13,11,23,19,25,47,5,5,92,16,7,16,16,6,18,64,17,49,17,18
Colorectal_GSE44861,20,14,19,21,14,26,35,27,18,28,9,13,18,39,29,20,8,15,30,6,22,40,27,12,7,21,23,9,15,22
Liver_GSE14520_U133A,25,27,11,14,14,14,33,10,15,20,11,16,52,27,1,23,87,141,15,3,59,15,21,18,25,108,21,22,10,8
Liver_GSE50579,13,28,38,15,25,30,17,13,30,26,12,15,15,30,10,21,41,15,12,12,25,21,26,17,21,33,24,59,15,26
Liver_GSE62232,27,15,16,13,3,27,17,29,14,5,35,63,10,12,24,38,18,6,16,33,17,18,54,20,28,7,34,14,22,20
Leukemia_GSE22529_U133A,46,8,22,14,50,33,15,13,2,23,8,24,48,19,36,13,30,23,10,9,34,15,26,13,16,27,14,20,21,22
Leukemia_GSE22529_U133B,18,25,21,21,32,20,16,18,15,17,13,18,20,43,17,51,23,15,16,17,30,15,30,18,126,28,25,24,22,29
Leukemia_GSE33615,19,42,11,40,15,13,19,25,11,21,50,15,14,23,17,25,127,25,26,12,22,26,11,48,41,45,13,44,13,9
Leukemia_GSE63270,16,9,15,15,35,10,83,106,23,16,14,42,11,30,18,13,8,22,36,24,23,25,20,21,16,19,18,103,10,17
ALL-AML-full,23,21,32,22,14,20,16,43,20,20,24,13,15,69,32,28,16,33,36,37,24,32,19,22,40,22,24,33,17,16
Breast_GSE22820,14,92,41,47,19,12,8,30,25,18,41,26,23,120,67,9,24,194,27,13,14,27,23,15,53,21,21,27,14,15
Breast_GSE59246,22,33,25,17,19,19,16,42,17,18,43,61,32,18,17,16,34,19,24,13,22,13,17,20,23,30,18,33,28,3
Breast_GSE70947,55,7,17,8,7,5,19,28,14,20,9,15,83,59,19,14,20,18,24,8,8,16,11,12,19,20,13,6,13,21
breastCancer-full,21,31,14,16,27,23,26,29,17,18,20,13,33,22,17,45,16,17,16,13,16,22,27,31,14,15,25,19,25,23
Prostate_GSE6919_U95Av2,32,42,28,19,14,16,18,21,24,45,18,17,32,26,37,48,17,26,22,15,73,15,52,19,16,20,20,15,22,31
Prostate_GSE6919_U95B,31,23,18,20,13,23,57,17,29,25,29,22,18,32,16,33,24,24,20,32,31,18,14,16,15,10,31,25,20,21
Prostate_GSE11682,25,22,27,32,22,31,17,17,26,25,31,39,32,26,11,50,45,22,32,45,29,19,20,23,38,15,13,47,22,31
prostate_tumorVSNormal-full,73,24,25,17,10,15,14,23,10,11,16,10,43,22,11,22,27,7,13,28,11,30,12,16,15,21,16,10,61,24
Colorectal_GSE25070,8,9,5,4,8,10,7,7,4,6,6,6,7,17,2,14,0,16,5,12,8,5,15,10,12,11,0,4,8,5
Colorectal_GSE32323,3,2,3,6,6,11,5,4,9,2,11,3,0,3,7,15,7,4,6,8,5,11,12,3,18,11,14,10,8,5
Colorectal_GSE44076,2,12,12,3,11,2,1,13,2,0,1,0,11,6,3,7,4,0,10,1,0,7,0,0,6,9,0,11,9,5
Colorectal_GSE44861,8,3,4,0,3,8,5,4,8,7,2,16,5,7,7,13,1,5,6,0,7,8,6,4,0,4,5,0,10,4
Liver_GSE14520_U133A,7,10,3,5,8,7,12,6,2,6,9,2,10,10,0,6,8,9,5,0,8,7,5,4,9,7,6,7,5,3
Liver_GSE50579,13,9,7,6,10,10,8,3,8,6,8,11,2,13,11,8,14,5,4,10,6,6,4,9,10,10,8,12,7,10
Liver_GSE62232,6,2,1,7,0,2,6,7,8,0,15,9,4,1,14,6,12,1,11,10,5,13,10,0,9,3,12,7,0,1
Leukemia_GSE22529_U133A,14,5,9,6,11,15,12,2,0,3,4,10,16,5,11,6,4,7,2,6,10,8,4,5,1,10,2,6,8,7
Leukemia_GSE22529_U133B,9,6,7,17,12,6,6,10,7,6,5,3,11,10,8,13,15,12,8,0,11,2,7,6,15,7,5,11,4,11
Leukemia_GSE33615,5,6,13,12,7,10,6,14,1,2,12,1,2,8,8,15,18,13,15,5,10,14,1,13,14,11,2,11,5,11
Leukemia_GSE63270,6,9,12,7,8,5,7,10,6,0,0,12,6,6,7,13,0,3,11,7,5,11,12,13,9,3,4,11,2,13
ALL-AML-full,5,11,6,11,10,9,10,9,12,9,8,8,11,13,18,11,6,17,7,9,4,15,13,8,14,10,8,9,12,8
Breast_GSE22820,4,11,5,10,12,4,5,7,4,8,11,10,10,18,6,6,15,15,9,17,9,8,9,9,7,10,8,10,10,13
Breast_GSE59246,3,6,6,8,5,8,11,8,6,5,19,18,8,9,10,8,12,7,6,6,7,6,7,5,7,7,10,12,14,0
Breast_GSE70947,3,5,4,0,0,0,1,7,3,6,0,4,7,6,7,0,5,7,7,1,1,3,0,0,5,1,9,0,10,4
breastCancer-full,1,9,7,11,11,2,1,8,7,3,1,0,8,5,6,8,3,13,8,7,8,3,1,0,5,5,5,4,7,5
Prostate_GSE6919_U95Av2,3,5,4,6,9,6,7,9,5,13,4,12,9,10,13,9,5,7,10,6,6,2,7,7,2,12,3,11,5,2
Prostate_GSE6919_U95B,5,8,8,1,5,2,7,5,9,12,13,5,7,6,10,6,7,4,4,10,10,7,7,5,2,12,15,11,5,7
Prostate_GSE11682,9,7,5,6,6,3,14,5,3,13,6,3,7,8,13,12,10,13,12,14,6,12,4,7,9,13,12,15,7,9
prostate_tumorVSNormal-full,14,5,13,5,8,2,8,11,10,10,7,12,9,10,10,11,13,3,9,8,5,11,11,8,4,13,8,10,13,6
Colorectal_GSE25070,38,46,32,31,40,37,54,31,28,44,27,77,38,72,28,68,4,94,44,139,45,25,109,60,53,60,9,54,38,41
Colorectal_GSE32323,20,21,30,41,43,77,33,19,48,23,35,19,11,29,41,73,63,25,37,56,24,106,118,29,84,44,55,95,58,39
Colorectal_GSE44076,17,182,139,20,42,18,16,44,18,1,15,11,48,32,32,70,14,5,117,20,7,31,16,6,38,84,17,76,37,30
Colorectal_GSE44861,40,21,29,21,23,47,50,36,36,46,13,51,29,57,47,48,10,27,45,6,40,64,41,21,7,32,35,9,41,37
Liver_GSE14520_U133A,44,52,20,25,31,30,60,28,19,35,32,23,83,50,1,38,110,168,28,3,79,33,34,29,48,128,37,41,24,15
Liver_GSE50579,45,49,59,32,47,58,37,22,49,45,29,40,19,61,33,41,74,29,23,35,39,33,34,39,47,59,46,93,31,56
Liver_GSE62232,42,20,19,29,3,32,30,46,31,5,69,88,18,15,54,53,46,9,42,55,29,46,75,20,51,14,60,31,22,22
Leukemia_GSE22529_U133A,80,21,44,30,77,66,42,18,2,30,16,44,85,37,66,27,42,40,14,23,60,35,37,25,22,50,19,37,42,44
Leukemia_GSE22529_U133B,39,38,36,57,63,40,28,40,31,33,23,26,47,70,34,90,61,42,32,17,57,21,45,35,167,46,42,46,32,60
Leukemia_GSE33615,33,59,40,70,32,36,32,60,13,27,81,17,19,47,38,58,170,62,59,26,47,56,13,80,76,72,17,75,23,36
Leukemia_GSE63270,30,28,42,31,55,21,99,128,35,16,14,70,26,49,37,42,8,33,63,43,39,49,47,51,35,29,30,128,17,46
ALL-AML-full,35,45,50,48,35,40,38,70,54,40,44,31,40,99,75,57,30,72,57,58,34,66,54,41,79,45,46,59,46,36
Breast_GSE22820,22,126,56,78,49,22,21,51,36,36,69,49,46,166,81,22,61,239,49,53,35,45,43,34,73,46,39,51,39,48
Breast_GSE59246,31,48,46,35,34,37,44,62,34,36,92,107,54,41,42,36,63,38,43,28,40,29,39,31,38,44,42,63,65,3
Breast_GSE70947,65,20,27,8,7,5,21,47,21,41,9,25,105,77,37,14,36,34,43,10,10,24,11,12,32,26,37,6,36,31
breastCancer-full,24,54,35,44,52,28,29,50,31,29,24,13,58,39,32,71,25,50,36,29,34,31,34,31,26,30,37,33,44,39
Prostate_GSE6919_U95Av2,43,59,46,32,33,30,35,42,36,83,32,43,52,54,66,71,31,46,44,28,95,19,72,36,24,50,30,40,35,41
Prostate_GSE6919_U95B,45,43,37,23,26,28,82,29,53,57,60,38,35,55,42,49,42,35,31,56,63,34,30,27,22,37,66,49,33,38
Prostate_GSE11682,47,41,41,52,36,38,47,32,36,54,49,54,49,48,39,77,71,52,63,79,46,47,32,45,60,45,39,82,38,54
prostate_tumorVSNormal-full,113,35,58,30,27,20,31,52,31,36,32,38,65,49,35,50,59,15,32,54,26,58,41,35,23,49,35,32,95,40
Colorectal_GSE25070,9,10,9,9,15,5,19,5,6,5,8,6,12,14,4,24,1,33,19,70,16,1,46,9,17,14,3,5,7,13
Colorectal_GSE32323,9,8,10,6,8,5,4,1,16,7,7,9,4,13,13,25,32,5,12,5,7,59,68,11,27,10,13,46,28,12
Colorectal_GSE44076,4,103,8,6,3,8,5,8,5,1,3,4,12,8,3,5,4,3,50,6,2,10,5,2,5,48,8,3,10,3
Colorectal_GSE44861,8,4,10,4,7,16,16,12,9,23,5,12,13,10,11,12,5,6,16,2,13,4,12,7,2,14,19,3,8,7
Liver_GSE14520_U133A,17,14,2,4,8,9,4,3,2,9,7,2,18,10,1,3,5,9,6,2,3,4,4,8,15,4,11,10,5,3
Liver_GSE50579,5,10,7,7,10,14,10,2,17,11,3,11,3,13,8,8,6,5,6,6,6,4,12,9,15,13,8,11,8,4
Liver_GSE62232,11,9,5,9,2,10,10,4,8,3,11,23,1,3,9,16,10,1,9,19,9,10,9,8,15,2,30,8,14,7
Leukemia_GSE22529_U133A,5,5,8,4,38,16,9,7,1,11,3,8,9,8,20,5,15,6,2,1,22,6,14,7,5,15,6,3,6,4
Leukemia_GSE22529_U133B,8,12,16,10,8,5,8,6,7,5,5,5,7,21,9,26,14,9,4,2,11,3,12,5,5,8,6,11,9,15
Leukemia_GSE33615,5,2,7,30,7,5,2,18,3,8,17,4,5,10,2,14,96,7,17,5,7,22,2,6,8,10,2,29,3,4
Leukemia_GSE63270,8,4,7,5,5,6,3,3,11,4,7,21,10,5,10,10,1,4,9,16,6,11,14,17,11,6,10,3,1,11
ALL-AML-full,7,10,10,7,4,7,5,9,6,3,10,5,9,37,16,9,5,19,11,14,9,12,11,12,19,5,5,13,6,6
Breast_GSE22820,6,17,33,33,11,3,6,5,6,13,12,5,5,72,5,4,15,33,5,8,3,6,9,10,39,10,10,4,6,7
Breast_GSE59246,8,14,12,7,11,10,15,11,8,5,13,10,22,11,10,11,20,4,7,7,15,10,11,8,14,14,11,19,14,2
Breast_GSE70947,5,5,4,4,3,3,9,4,8,9,5,10,8,10,10,5,13,14,13,4,1,6,5,5,10,5,12,3,7,16
breastCancer-full,6,17,10,7,20,10,12,17,6,3,11,3,10,13,6,10,6,11,7,5,5,10,7,9,7,8,7,9,17,8
Prostate_GSE6919_U95Av2,7,16,10,8,13,7,11,12,9,8,10,9,9,10,17,19,8,12,18,6,8,7,8,11,9,16,5,11,11,7
Prostate_GSE6919_U95B,7,10,7,7,4,11,7,6,16,12,13,7,7,20,5,11,13,5,14,9,10,12,9,9,9,7,13,10,12,12
Prostate_GSE11682,6,3,8,12,10,10,7,5,8,10,14,14,12,8,5,32,11,14,17,27,7,8,6,6,23,6,9,20,7,13
prostate_tumorVSNormal-full,12,15,6,8,5,4,4,10,5,5,5,6,14,9,4,13,5,2,7,6,5,15,6,6,4,4,9,8,13,4
Colorectal_GSE25070,5,5,5,4,8,6,5,3,2,2,6,0,7,10,0,13,0,8,5,11,7,0,9,3,10,6,0,1,3,3
Colorectal_GSE32323,3,2,3,0,3,0,1,0,8,2,9,3,0,3,6,11,5,4,5,2,5,11,5,2,18,11,10,8,8,2
Colorectal_GSE44076,1,10,3,3,3,2,1,9,2,0,1,0,4,5,0,0,4,0,7,1,0,7,0,0,0,6,0,1,9,2
Colorectal_GSE44861,3,0,4,0,3,5,3,4,8,7,2,16,5,2,3,6,1,4,5,0,5,1,4,3,0,4,5,0,2,1
Liver_GSE14520_U133A,7,7,0,3,8,6,3,2,2,3,8,0,3,2,0,0,2,2,2,0,1,4,1,3,9,0,6,3,3,0
Liver_GSE50579,10,5,1,3,6,8,8,1,8,5,4,11,1,7,9,5,7,2,1,10,4,2,4,8,9,9,2,4,7,2
Liver_GSE62232,5,2,1,7,0,2,6,1,5,0,10,6,0,1,6,5,12,0,10,10,5,12,4,0,9,0,12,6,0,1
Leukemia_GSE22529_U133A,6,5,2,4,11,10,11,1,0,3,4,10,8,2,10,5,2,6,2,0,10,8,4,4,0,10,2,0,2,0
Leukemia_GSE22529_U133B,9,6,7,15,6,1,5,4,6,4,5,3,8,8,7,8,15,12,8,0,5,2,3,6,6,5,3,8,4,9
Leukemia_GSE33615,2,0,12,10,4,5,1,13,1,2,6,1,2,5,0,13,15,4,14,4,7,14,1,8,3,5,0,6,4,11
Leukemia_GSE63270,5,9,6,2,2,4,0,1,6,0,0,7,6,0,7,8,0,0,3,6,2,8,9,12,9,0,4,0,0,12
ALL-AML-full,4,10,5,9,5,6,4,4,8,3,6,8,7,8,8,6,5,15,6,6,3,10,8,7,10,8,3,2,8,3
Breast_GSE22820,1,8,4,8,11,3,4,2,1,8,7,5,4,14,1,6,15,2,4,15,5,3,6,7,7,8,6,4,7,8
Breast_GSE59246,1,5,5,7,4,7,9,3,3,0,7,4,7,9,7,8,12,0,0,4,7,6,7,5,7,5,10,5,8,0
Breast_GSE70947,0,3,1,0,0,0,1,0,3,0,0,4,0,1,3,0,5,7,7,1,1,1,0,0,5,0,9,0,3,4
breastCancer-full,1,6,6,6,9,2,1,8,7,0,1,0,2,4,6,2,2,5,6,1,2,3,0,0,5,1,5,4,5,3
Prostate_GSE6919_U95Av2,0,2,1,4,9,4,7,8,3,2,3,12,4,8,5,5,5,2,9,6,1,2,1,7,2,9,1,8,4,0
Prostate_GSE6919_U95B,1,6,3,1,4,2,0,5,6,9,6,0,6,2,2,3,6,1,4,9,1,6,5,5,2,11,3,1,3,7
Prostate_GSE11682,5,2,5,3,5,3,13,5,3,12,5,0,7,2,13,10,8,12,10,10,4,10,2,4,8,13,12,13,7,6
prostate_tumorVSNormal-full,3,5,5,5,8,2,3,8,7,9,2,9,5,6,10,9,7,2,6,1,3,8,9,6,4,7,8,10,7,0
Colorectal_GSE25070,20,23,20,20,35,17,30,14,10,10,20,6,29,37,4,55,1,52,33,93,32,1,67,15,38,25,3,6,14,19
Colorectal_GSE32323,16,13,19,6,18,5,6,1,36,12,25,15,4,21,28,52,44,17,28,8,18,85,80,17,66,33,34,68,47,18
Colorectal_GSE44076,7,128,14,14,9,15,8,28,10,1,5,4,21,19,3,5,13,3,65,10,2,25,5,2,5,61,8,5,30,7
Colorectal_GSE44861,13,4,19,4,15,29,23,21,27,41,9,50,24,16,20,25,7,15,28,2,24,6,22,14,2,25,30,3,13,9
Liver_GSE14520_U133A,34,30,2,10,25,23,10,8,6,15,24,2,27,14,1,3,9,13,10,2,5,12,6,15,37,4,27,16,11,3
Liver_GSE50579,27,21,9,14,22,32,30,4,36,24,12,36,5,28,26,20,21,9,8,29,15,8,20,27,39,37,12,19,24,8
