Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,849.4637116703685,839.8044920675457,849.7890458867025,843.0309067577925,821.8659902943201,854.413377404213,808.0887391905377,865.9215560853481,861.9693217311149,879.5731709593678,855.4021018234279,861.2264396037101,827.5602028608618,814.6578390693977,873.19874479587,755.448650320322,888.1108527308631,839.046298734135,793.0839882781889,519.8282025870194,803.5704139746919,887.2460017717679,671.2241414112855,840.3344379240923,797.2779722429622,832.6915260163663,879.9232525723132,869.2014064900577,857.0837645374052,826.1400795969722
Colorectal_GSE32323,856.5679311977348,856.2624292605324,857.6182456326787,861.4380012316207,851.1705321087946,868.638302821666,873.1039195519588,885.792567093001,801.597062497281,854.5677254812119,867.7810542955995,869.6566438725978,875.2189480434566,851.1647151419536,821.7331929565366,755.1569749374482,713.7818217465642,868.7757360227406,827.4569153305282,865.3720224946737,859.3243710872846,545.879439237152,874.1756747379702,844.3660293570931,737.902691891701,837.9246161086246,820.6991416492428,629.8019078727812,731.8228457971071,831.0163134654596
Colorectal_GSE44076,879.6443263789437,779.3044666275382,869.5244163490229,867.9711883157993,879.1989022471374,866.9730053767562,867.6812757104635,857.3280107394106,868.0237516222321,891.6551451536378,884.4153781670065,873.3869502704082,856.9559343528982,851.4969026592127,880.8672856414563,867.7505655363202,874.0472071238383,877.339117495025,599.339539334178,869.1101299189031,883.8140355476226,837.6496315105862,867.5110068321228,885.9192923430818,866.3912017717957,664.7866520553287,873.2824496161111,879.5327976664047,839.7799154035747,881.237705352403
Colorectal_GSE44861,846.9250568253683,870.3372619175187,830.1111254692078,871.5006990689526,853.9366965617639,805.7638804725702,807.3445654976179,835.8171673116397,840.1603005020916,790.8808230825546,866.2113976478577,821.7309585309275,819.638204078065,835.0915405788535,829.918968201723,832.5430898943615,866.4939992427826,855.33007422929,835.3636322414363,873.8466492384331,816.5860144003759,864.7373546407903,839.0037496086337,853.1191164989314,880.8338124647265,824.4351798388265,814.9201658453584,877.0541092197473,851.3032774321687,856.315614387479
Liver_GSE14520_U133A,795.4591356934806,810.7695535091259,884.3446191258639,870.9468425771362,848.5646223752728,851.0108238928665,870.913010730436,878.9787472376886,882.8537173996798,848.7554709819375,857.2146429163377,883.2607280383116,807.6939830543361,860.3620400375115,888.184016499505,888.9882282500511,867.9399721026421,881.8239407753684,868.2503324523568,881.5645703686322,876.3329992578687,869.9659883434879,874.1069732822756,867.0031323572022,814.5390943263192,877.7494837795394,836.8457255363464,836.7280960083008,866.5919289439917,877.7070648764615
Liver_GSE50579,849.4070828557014,845.5429638731855,868.8000293895602,854.033676111372,837.2117052303231,812.1811970166971,836.6673829305162,887.6593118541629,808.2137951641823,833.8217669085486,867.134683597222,833.8682351200307,877.7141124968714,827.77481926631,845.2739977773864,847.8174452397983,862.9675933616566,869.6842523477972,857.8601658590533,864.0565721090549,851.7762356960504,873.7619930038052,820.3001772490139,845.2667582359136,801.0925415754318,820.6446056012046,851.2480323380585,833.8517493550414,837.2466694539632,872.3594007149301
Liver_GSE62232,844.3271301826052,859.176363034985,868.3414867296815,844.9922764267255,885.7702158217152,850.8593283143051,842.8797045995727,873.7296335825653,856.4041204048983,877.6204970365516,839.575885655785,782.9273823801386,891.8395763503686,879.939191532316,845.4846361277658,826.449653477794,839.2226202562451,892.9155585103822,845.7902875455759,791.4941423075487,845.6825711167087,839.4629357415512,851.36359043687,849.6117241045021,833.1770831513693,884.7303560859589,731.9068815856842,856.947807847156,859.1123481622977,854.4069113641826
Leukemia_GSE22529_U133A,869.3017598129809,869.7731425417587,851.6019238154952,821.142686651691,687.152380465832,802.9299319539632,845.9102975937485,861.9160082691083,893.0938484319461,851.1766569144463,848.9633798628735,846.2595240819962,840.459972699627,855.6756567130977,779.2537998631597,869.6060415813699,821.3820357377307,863.2169828487486,886.4744562241527,891.8328340472958,815.6071136853736,863.909698375464,813.1065109521542,863.5675055361994,866.5100316181779,857.9475901236087,862.4188264872981,859.3741876428029,860.3227247775881,870.0492809081529
Leukemia_GSE22529_U133B,851.4442734283404,832.9596667391378,821.9407659249679,818.833886384964,850.1175370470592,866.4063742011786,848.0523777458429,863.4550923594913,860.2732900000627,866.5009425505996,853.3216249107722,869.4251869134605,857.2399544620139,797.2788898948867,856.3492546343577,845.5654475821028,811.2982523408082,844.1836211220797,875.6144767554188,879.6667261498065,833.7688950153306,878.1354280681956,833.8985793973196,872.5716011464804,868.3871333692499,851.5754798352557,863.8838650750057,812.7373271114752,841.569473886368,808.2707128599286
Leukemia_GSE33615,875.1526377424395,887.6876216889057,857.883248211867,725.878820367088,856.4048768991346,869.62182042934,886.9800317676929,791.9678947022993,881.3827808288274,851.6023162476332,797.743402859404,875.0656711746096,867.706632450223,875.4393884422684,887.4354627789204,813.6386360723106,562.8478342149864,857.5744910830809,797.8004416274542,869.2467486560345,857.72446076996,831.7528723680774,885.3514015918344,863.79003157996,851.8052499232585,839.4446615949273,885.4410405729703,863.4122758501026,880.8973925659061,875.795725098522
Leukemia_GSE63270,851.1239163972341,875.5182081299007,857.4197157072654,873.3436597000476,869.0347336120903,859.8328658649774,879.9908548788628,879.6253196437543,833.6033779793703,877.7642133806723,853.9917483385766,772.2019120594576,855.3779637877618,867.6944795548916,836.9114250927241,839.448684759438,887.0995641089427,870.5477587126103,856.054674735452,815.4820945402842,860.9109465173368,831.3278302655755,821.3282830996118,795.8111172024406,856.0838002232668,861.4870191377286,849.9298461716327,879.3340764126939,885.883597398616,833.038136360954
ALL-AML-full,852.2256200712466,839.5125396922231,838.2226869165897,862.3811144120838,869.8948246086726,850.1028389507264,865.9176435470581,850.3430037914716,862.895516826551,877.2597830274399,835.7829583883286,869.1158337593079,844.4073268394335,797.1907374819228,798.4504229286706,837.7219446153795,861.4825674891472,785.4986434824608,827.6007842710108,815.8050352438142,838.78871769946,826.8309534663865,842.4136314475701,824.847991715832,780.5789246937318,869.7221686746925,868.8788193501532,817.7183194741629,858.1243918516166,866.5901757776737
Breast_GSE22820,862.4350914027375,797.7512354089807,700.286089291144,808.5983811691123,832.408366846043,878.3373027235169,863.9634561539301,866.8253420591354,862.449961140338,832.7373567225495,827.8774226204071,868.7878393307328,869.8737985229146,479.8725914608386,875.7817349218723,874.5738561606269,809.7356889210641,728.1809784151071,869.2845075242221,848.656854745572,881.4768912807624,869.4984908290207,842.8047627559881,845.4394400934937,845.8755595548099,837.8670986294746,828.5627272129059,875.7685785458436,863.5772669799175,857.9661814604603
Breast_GSE59246,845.3174377195935,809.8885471713693,823.6770463198784,851.0750489939905,827.0043604076692,842.5747450229976,807.636044461964,830.5063911915145,846.6403313204937,859.8243219256401,822.8056287110521,848.1748191228436,766.3436489473793,826.6174825202705,833.8430383205414,832.7952205637108,775.3714529254353,869.2942930129724,852.769120045116,858.3270901898019,811.3868584610701,850.277050248897,828.298710510947,847.5140855886449,810.7236365702637,814.3248414126417,828.9971094038467,777.8544299335051,811.4316842952751,879.4755159991264
Breast_GSE70947,864.313158005476,876.6303293688927,869.7411332394403,868.7236737579011,874.5368623555624,874.4565605761189,842.5390891311928,872.0087063030802,851.8157783604515,844.7747460187533,871.1376099488209,845.1225257906765,848.0404009613853,857.3424410230032,861.9687422739935,863.7206171751022,822.5530920455315,824.4766385557803,821.6480204563278,870.1191541099715,887.9451781785583,856.7417744756709,865.9542824327946,864.4718729257584,828.3438820838928,864.1483837068081,823.9004287324939,873.4379750559622,853.0159608471569,810.6707762386357
breastCancer-full,857.3591275801938,811.7841815788614,837.4181761840096,848.3631504693758,774.4168101030322,830.1679097806294,819.9344357292396,792.4098905346541,859.2567895967815,874.1011479441802,832.7808027267456,861.276182108042,832.2601941695614,814.8430174605184,856.8291213631147,831.2138276100159,856.736828911409,823.4618464054618,858.4509199453333,859.8478611111641,864.8829556405544,831.5698879957199,845.5227281824048,838.2952727990067,858.0399953940841,844.2586909597535,849.6383101512821,836.6483439146247,789.0821119866619,843.5893317054785
Prostate_GSE6919_U95Av2,845.1590268504862,808.0439570286526,829.9278610944748,840.5897610402529,815.8135565007852,848.2139335908372,823.6457346497752,820.8352374920456,838.7747271363412,845.6488337629708,836.0281519248684,839.7639201233009,837.1618985161834,829.8481449060014,793.7498614717915,787.7334344684826,848.6382597666422,817.7883109802831,778.8983985546334,856.0088061465011,845.5662806624541,848.0087448275245,847.5347346694512,823.2913898770905,842.9243127183811,788.6373651539436,856.3724165260792,828.3532060153781,823.8740415091154,849.6556127836284
Prostate_GSE6919_U95B,849.1200639233473,828.7752387523651,848.8066024465215,862.697965646799,864.5052761959273,826.0950774805235,845.1931155932476,856.8910366176052,804.8721903897983,816.8698535826936,807.9765698688227,850.4230637964027,843.7253869891379,818.8126235925711,861.6569619476795,824.2533118415165,814.061416274032,861.4550768733025,809.9906094922575,841.7486548397069,830.5728583335876,824.5162377639361,840.4396722219353,834.8664628668885,837.5547554111106,847.5810445103695,813.9845708550263,833.370600104332,822.0514890280272,818.3541278218735
Prostate_GSE11682,858.0476763823832,866.0051857839594,831.2603880579536,842.6594905878394,820.6876137256622,835.1020749807358,857.1488236070035,865.2222393453121,838.4102799648883,826.5320473909378,822.8678690187041,808.139699826766,814.7157519716202,847.5137191035263,839.9797185659409,711.1328050231666,829.424441285829,810.2396999980707,806.0172566524124,725.264790254219,850.4588435944635,851.6581232081244,845.2443778348559,839.8866528910288,747.6368987736248,849.2743140464453,818.4817544443005,766.9968819618225,834.2672396938844,830.8172180652618
prostate_tumorVSNormal-full,819.2858268085223,820.095739922511,858.8705686654141,844.4781910005772,865.4373174607754,873.538710422225,864.6603481815856,830.4476844072342,872.1446761397679,860.98095536232,861.1760412454605,854.2720659417046,826.4894978473263,838.7673826579911,868.237681546996,816.9914832853497,868.5595880602198,878.9884975570706,851.6350586420882,854.369315544815,854.0551074743271,810.4546589051663,858.9430689895433,858.2130201912373,867.0096519151423,870.2775973581788,838.540916563118,843.7988384673303,814.2756633208146,863.997589640749
