Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,847.7510955249184,838.4320898652077,847.8789643277731,841.1905831518565,820.743311057589,852.7472393512726,806.1482694453146,864.3463925421238,859.6525810790516,878.035464022321,854.3446869220692,859.1869569356294,825.7356689650575,813.4396828010497,869.2000255850896,754.5411723485736,886.9021587468332,837.6005349100064,792.0017849892657,519.3832117652163,802.6717306682463,885.9398724385217,670.5561751857501,837.6832867237272,796.2402279276163,830.998148211015,877.6410651182714,867.1116422861814,855.5063054464962,824.5870735316188
Colorectal_GSE32323,854.9468743619565,854.4003207939,855.6122033380092,856.4064348346551,848.7906201210739,865.0247633308172,869.3722027686474,882.744611818724,799.6287729810514,851.5351644938935,866.3626876473427,868.7576089706251,872.7741240961608,848.8898108449956,819.6271702651882,753.9786808822557,712.7033258229228,866.4819988906384,824.7140333244007,862.7536640614271,857.3510212186536,545.2998306381041,873.2730398629972,842.1735386362036,736.1424661097416,835.5054304359587,818.870646770245,628.8209184446225,730.4147827264431,829.1145983928792
Colorectal_GSE44076,879.2874167227641,779.0152055771712,869.1203659444402,867.5969328985504,878.7530010517941,866.5355661809444,866.9335135444999,856.861948688642,867.3405374866904,891.2994969370682,884.0510812316506,872.8472264958378,856.6906582582662,850.956700685006,879.7265653896886,866.8470615297556,873.7591360458939,876.9964919548079,599.1762276738882,868.4238047376275,883.1672229180531,837.2486927687373,866.9401314556599,885.6030711298047,866.0646947473288,664.6017586500375,872.5281209184992,878.6926724222301,839.4768941104412,880.6215981770309
Colorectal_GSE44861,846.0721469273263,869.6324348237284,829.4995160102844,870.8713951310591,853.1909850706304,805.241983669234,806.8653478639019,835.1057562225825,839.5681720002708,790.4389299232048,865.7277177721262,821.2499902240709,819.1950775447036,834.0715480987783,829.3071686199239,831.762679549218,865.8500535190105,854.4984529652555,834.8588913429084,873.2572316617578,815.8218305344077,863.8545459439271,838.3681510638608,852.3073123616208,880.4018983260196,823.7023253258188,814.4864557969397,876.3718739793642,850.4689035102831,855.1226763030742
Liver_GSE14520_U133A,795.3471472432954,810.6353576804529,884.0080901869229,870.6954024336536,848.2820729286889,850.7628126005784,870.6938081762995,878.6595183339982,882.6204027305945,848.5214207201597,856.9763122073223,882.9464995990439,807.5115100460004,860.0155299615793,888.0297537064563,888.7096497064159,867.5602838993073,881.6690049502497,868.0252277553082,881.3627140058531,876.0486849237067,869.8319171990782,873.7739751705674,866.6733413300195,814.3748369426847,877.4205755732027,836.6126018762589,836.5543030202389,866.3837144076824,877.4525602198762
Liver_GSE50579,848.7122533917427,844.4669858148741,867.5370005369186,852.6840426609308,836.1153465077164,811.4955455939481,835.414230724343,886.515854141415,806.9925847018143,833.2400288665888,866.2786423929867,833.0268519217076,876.1595893311179,826.4986663825364,844.4920564952937,847.0683743039597,861.3890157265978,868.1117009446025,856.4689220756088,863.3350974018401,850.6270280105753,872.0976593450599,819.4206064519249,844.6798369053707,800.0460487604141,819.760469785104,849.7576209414949,832.7637761435255,836.3628970204225,870.0986576342833
Liver_GSE62232,843.5255540970144,858.4944803624044,867.4710595309734,844.3148531420057,885.2092470711129,849.9222220917285,842.0918454628784,872.6191669805739,855.4376958691576,877.2076195964338,838.9786786358284,782.3742777818019,891.3329659986183,879.3286948642935,844.6866733465126,825.4837010399815,838.5636315941811,892.3456986861095,845.0449515650058,790.7403530557584,844.7583096357092,838.8550447225571,850.9272397033362,848.2604092569751,832.4545675284865,884.120783365554,731.4660879694752,855.984276724824,858.1359411721355,853.2066311677074
Leukemia_GSE22529_U133A,867.5357987731695,868.7383867092431,849.2944899730745,819.672478531945,686.3579327050547,801.3975924567987,844.7642889516105,859.5524346427909,892.0163218500214,849.8616576451133,847.9871028460717,845.1758106587002,839.1133492733866,854.179911908303,778.4031923264265,868.1714075580239,820.1219765743627,861.8331395423526,884.5169537193636,889.781774253075,814.7899154665824,862.7823242803707,812.185501926753,861.9867968592597,862.0704991817474,856.7012099920724,861.0829688120501,854.6334150059422,857.2976328960763,864.9116751954524
Leukemia_GSE22529_U133B,850.3180321260505,832.0310925629655,820.7275057836747,817.7090442180634,848.6554736552898,864.2435978800058,847.3428951421733,862.1253078491733,858.839300456689,864.9652053713799,852.2864838246998,867.4234820455313,856.1303596630007,795.9864700590988,854.8144108847858,844.4191572109709,810.0387247388084,843.2072490360641,874.2119101382641,877.5985028407061,832.2419164479132,877.1170081476232,832.9584245326187,871.631547226457,867.3121250542816,849.3791611544439,862.3763905075252,811.4999008683851,839.9961157271686,806.9054241478443
Leukemia_GSE33615,874.3544029451261,885.4498868828186,856.7236494313364,725.4008534244291,855.5702711099993,868.5478667505085,885.41860743217,791.3096300743675,880.4597218451473,850.0918631986901,796.8229670085461,872.9046632719756,866.2224144637585,873.5565922627887,885.8666172568326,812.5883410155569,562.4952280907632,855.9924653543188,796.8849682795744,867.9465599805117,856.5352929334053,830.4999636531305,884.5571631617327,862.8397349198135,850.4152497096253,838.6169672608376,883.7370584316427,862.321522477163,878.8537276561741,874.7288785432999
