Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,848.5657549042118,844.6334998779342,847.7228854756875,841.6283427122723,826.8114599391536,879.6587784533868,810.1556495301649,871.6644117010591,859.8088939973896,889.9798553530403,868.1440098882899,865.692519263011,843.7704036921774,832.3075532115456,875.7773619670809,844.090581368497,888.136877990918,843.5857503961131,875.4167387400947,871.4011442785361,808.6805606573605,887.6608361308402,879.9442915707101,839.7919007353322,874.0306700870153,831.6902242785864,877.6474502509257,873.0899974746492,867.4234936929626,836.4330395305158
Colorectal_GSE32323,866.6331674011998,872.3149247802377,855.7824019893842,858.4023903442743,849.9144895729306,871.619647490053,875.9688970444231,889.0505088957025,818.5835383442886,853.9794501111004,868.0874178409576,892.6531056377473,879.3431696940092,837.0497196912766,837.8480528615261,807.925962232832,850.1668071592146,872.5616065088375,836.9930387010972,877.8317133854275,858.1802435810055,838.4407332821725,873.2350305857933,848.0133573606223,837.8952266482321,841.8084461744918,819.699405333519,849.7642222422585,854.1994023851088,884.1609557619681
Colorectal_GSE44076,879.287701065215,784.96469668522,869.2171508476088,867.4601281977099,879.3814523231939,866.5680395141244,866.901145003736,857.2114102903778,873.1966483059526,891.2994969370682,878.0819854023043,872.8472264958378,886.7436346618732,850.943173004084,880.0642561571875,866.8524601757526,885.7106410561075,882.9871260143389,635.0917727959871,868.4238047376275,883.9662146276798,849.5473800930513,867.0023418515921,885.6030711298047,866.0646947473288,706.6198909142108,872.5198755099676,884.6626393437353,875.2860963613668,880.6167779367458
Colorectal_GSE44861,846.0721469273263,881.6797998015095,845.2506734440235,870.9564572891321,865.3764328975981,859.8289494739591,812.8260738504362,840.8788753858703,846.6785626576464,859.3811191517965,871.6980617696723,842.4793686698487,878.5962387537412,837.7272426897147,853.1470161101902,831.7689285106069,865.8500535190105,861.8066417638227,862.1731095192378,879.5520724543204,840.4220375212964,880.7719188443529,838.8458707542594,859.113097115886,880.4018983260196,853.4557433294866,892.0191959166176,882.3096490790388,869.1409221288551,861.4494813913343
Liver_GSE14520_U133A,807.2026115403298,870.2397624695745,889.874901776325,870.6954024336536,867.2271239665774,856.7857978253254,877.3586021699398,878.6595183339982,883.096891877752,854.4950368470611,857.0698009117627,882.930183816977,861.2307988496015,860.067333694801,888.0297537064563,882.670402480245,879.5776928275044,887.6243021098611,868.0252277553082,881.3627140058531,878.0793538982282,870.8192200832907,885.3392392946133,860.7011113402143,867.6531444359103,883.375471590926,848.5314190235429,878.3064733925783,890.2064338566079,877.4525602198762
Liver_GSE50579,863.5899485945702,850.4157620368195,854.9998308097148,865.6092941725693,848.8939594859487,829.600838016636,866.6248056442776,892.5443924694181,812.9708705358659,833.2634069334983,873.8687080691287,839.0021750847573,876.860650078932,826.510580456933,879.5092534104856,865.0911917835474,873.660680298066,880.0581778350812,852.8343103358809,871.7918594856222,857.5305507902783,873.6410288535941,824.4729711183385,844.6963963340504,827.4158807519758,837.5905886086614,855.5856553782472,844.8259004381154,850.4921175338062,871.8449408647195
Liver_GSE62232,844.1320997937979,857.8764433008491,867.4710595309734,862.1756635447161,885.2092470711129,855.8418455865192,842.4893411626531,872.6218008172278,855.4212263725888,889.9781256779025,856.9341892226794,872.5726160354923,891.5534422176543,879.3286948642935,856.627907631924,807.5574114849737,862.7164604061239,892.3456986861095,851.0709831319886,820.3445653696489,850.784596197026,850.7457383634884,892.8284112306428,848.2816717417461,814.4847637495552,884.2243701227162,796.1194971938074,862.0974800610278,859.3828461246642,847.0290197435615
Leukemia_GSE22529_U133A,868.0663241657768,880.7232514408086,861.5443945130571,863.53410970353,848.2774535825133,801.3975924567987,892.2847891331575,859.9146394115626,892.1799894975455,850.0845249408584,873.3931214138084,860.8343034792172,841.2178394111095,860.6395154904699,844.0819486845468,874.1586792982473,867.8226433490998,873.8562321680196,884.9086057595472,889.8596410040228,862.4352688822895,868.807010583656,880.4322976358296,867.9551553535074,864.9319401798109,856.5486280142638,861.9841063664422,871.7849364852575,858.0495473888486,871.5591203895224
Leukemia_GSE22529_U133B,850.3180321260505,832.437583640894,886.7114172845604,853.318368457323,854.6132427619801,864.683159580099,877.1719855828599,867.7916689398796,872.7364205730371,866.1959503001378,866.4798886798444,873.725475194988,874.3497159252518,813.98857417971,855.1161501734026,844.440911088474,823.8951405121595,849.45496006639,880.2274102462834,890.3816225207778,832.3440617496528,877.8147577863435,839.0205555531476,865.91323967278,880.0622051084445,849.3247610938696,880.4303944380365,843.7371521804756,848.1396865188067,807.6206461792839
Leukemia_GSE33615,874.3541142872992,886.1226755009684,862.7497686020804,869.1366982167281,880.5043525356374,880.503502765707,890.849906102104,887.1323389223783,880.4597218451473,856.0735612484015,808.7441965119024,873.3242571858542,866.2354709506035,874.1285657663202,885.9236375872501,831.4798865031892,838.0103940899846,862.3544561176057,850.3537727058927,867.9696312934352,856.5352584133752,850.1218893312013,890.328733477266,862.9262308566356,856.8062511797638,856.5705069993677,884.014554367202,868.3054246032937,885.1898395477841,874.7751424645418
