Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,0.19634205102920532,0.020033061504364014,0.15515673160552979,0.21057383716106415,0.02431192621588707,1.1360784769058228,1.008951187133789,0.2812719941139221,0.15544912219047546,0.19270795583724976,1.102386474609375,0.2597106397151947,0.032822780311107635,0.15514406561851501,0.1978069543838501,0.04375745728611946,0.3952447772026062,0.09244804084300995,0.43302208185195923,0.26077479124069214,0.0446401946246624,0.4532884657382965,0.07985426485538483,0.426728755235672,0.07230107486248016,0.10701319575309753,0.14336681365966797,0.0553995743393898,0.06407245993614197,0.1364307403564453
Colorectal_GSE32323,0.10010197758674622,0.12129749357700348,0.03588098660111427,0.17791648209095,0.07299228757619858,0.14036744832992554,0.2528066337108612,0.5508344173431396,0.25609612464904785,0.24001924693584442,0.17076192796230316,0.07938702404499054,0.07460290193557739,0.08718957006931305,0.026741784065961838,0.07118040323257446,0.02655908465385437,0.10789307951927185,0.039518021047115326,0.31917086243629456,0.32335159182548523,0.028345342725515366,0.11956726014614105,0.1343594491481781,0.016854114830493927,0.15699593722820282,0.11398977041244507,0.022892041131854057,0.01992109790444374,0.2150265872478485
Colorectal_GSE44076,0.1662525087594986,0.06552179157733917,0.051172878593206406,0.16091282665729523,0.1934089958667755,0.22290757298469543,0.16927072405815125,0.07204017788171768,0.14556516706943512,0.15737280249595642,0.2418644279241562,0.17897598445415497,0.08488410711288452,0.039051707834005356,0.08909926563501358,0.1564512848854065,0.135567307472229,0.3170667886734009,0.07099180668592453,0.08568741381168365,0.2828354239463806,0.18162943422794342,0.17165470123291016,0.14058834314346313,0.2525683045387268,0.11020150780677795,0.2167082130908966,0.16783684492111206,0.01631808653473854,0.05347159504890442
Colorectal_GSE44861,0.3590888977050781,0.3902442455291748,0.7694886922836304,0.30817127227783203,0.2981039583683014,0.35067665576934814,0.23354178667068481,0.2986937165260315,0.4305625855922699,0.9736295938491821,0.26739227771759033,0.46164244413375854,0.18609768152236938,1.2245877981185913,0.29359930753707886,0.10433491319417953,0.2971110939979553,0.6256965398788452,0.758192241191864,0.9885447025299072,0.3951811194419861,0.7795257568359375,0.5815446376800537,0.35917866230010986,0.4842018485069275,0.2929706573486328,0.09927606582641602,0.3404521048069,0.48309242725372314,0.12505392730236053
Liver_GSE14520_U133A,0.1910422146320343,0.40183302760124207,0.24698518216609955,0.3461066484451294,0.36763179302215576,0.08133233338594437,0.39724886417388916,0.20805610716342926,0.34772178530693054,0.24288728833198547,0.059835586696863174,0.32086294889450073,0.16994450986385345,0.2527481019496918,0.39033445715904236,0.3543693423271179,0.15530729293823242,0.4163336753845215,0.1262844204902649,0.4348263144493103,0.38564908504486084,0.4557289481163025,0.13197410106658936,0.20607686042785645,0.13360324501991272,0.3118525743484497,0.23181623220443726,0.3190828859806061,0.29814040660858154,0.2940824627876282
Liver_GSE50579,1.463396668434143,0.06295847147703171,0.10780452191829681,0.2905813157558441,0.3501499593257904,0.2887628674507141,0.7838172912597656,0.02301945723593235,0.17497235536575317,0.04411527141928673,1.0510934591293335,0.7223150730133057,0.3270169794559479,0.022274453192949295,0.5114004015922546,0.30108344554901123,0.09796031564474106,0.02458913065493107,0.4972293972969055,0.6183663010597229,0.8723883628845215,0.1532881259918213,0.5613165497779846,0.08646048605442047,0.6801374554634094,0.10367687046527863,0.061394043266773224,0.01104291994124651,1.5485724210739136,0.24935609102249146
Liver_GSE62232,0.14674736559391022,0.3327082395553589,0.14452503621578217,0.080782450735569,0.17075277864933014,0.08567975461483002,0.22534659504890442,0.17118486762046814,0.11151769012212753,0.29792532324790955,0.03553099185228348,0.25937095284461975,0.14499486982822418,0.1401910036802292,0.056339241564273834,0.1650831699371338,0.05552712455391884,0.07278130203485489,0.01643449440598488,0.03816748410463333,0.03131049871444702,0.041157014667987823,0.04639805853366852,0.16818839311599731,0.0937943160533905,0.22092187404632568,0.008015872910618782,0.07490719854831696,0.3390209674835205,0.2512649893760681
Leukemia_GSE22529_U133A,0.04987109825015068,0.04254427179694176,0.08436433225870132,4.032708168029785,0.8645237684249878,0.07985571771860123,0.006361720617860556,0.15358857810497284,0.060815535485744476,0.07592776417732239,2.252578020095825,0.4042588174343109,0.39290958642959595,0.17139561474323273,0.05740001052618027,0.031571950763463974,0.05061442777514458,0.05437609180808067,0.11851286143064499,0.14544737339019775,0.028770098462700844,0.00627084681764245,0.3675577938556671,0.08759132772684097,0.2470051646232605,0.012409533374011517,0.10980361700057983,1.5391708612442017,0.306369811296463,0.42291930317878723
Leukemia_GSE22529_U133B,0.0405215322971344,0.09674742817878723,0.016106555238366127,1.6065906286239624,0.13256776332855225,0.24783626198768616,0.362835556268692,0.041617922484874725,0.4261174201965332,0.26039204001426697,1.5503013134002686,0.03964228183031082,0.05315008759498596,0.05364561080932617,0.17830762267112732,0.03927398473024368,0.6761979460716248,0.12882104516029358,0.060266874730587006,0.5630590319633484,0.02322467975318432,0.302022784948349,0.0203566774725914,0.26662418246269226,0.35360273718833923,0.08457870781421661,0.010328840464353561,1.6070369482040405,0.36879968643188477,0.1346491277217865
Leukemia_GSE33615,0.05803119018673897,0.022721244022250175,0.023175399750471115,0.010875478386878967,0.12332504987716675,0.0285254567861557,0.08712371438741684,0.006056233774870634,0.04623575508594513,0.028005847707390785,0.03282715380191803,0.0685686394572258,0.186807781457901,0.07215611636638641,0.038519859313964844,0.257634699344635,0.18015848100185394,0.04682483524084091,0.021862205117940903,0.06368841230869293,0.019268527626991272,0.2840459644794464,0.1815965324640274,0.018930360674858093,0.013976753689348698,0.039667028933763504,0.1954280138015747,0.07925605773925781,0.07677216082811356,0.016462305560708046
