Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,0.31984136,0.12798703,0.28978044,0.34109324,0.10717738,1.2556175,1.1107986,0.38990396,0.31072435,0.29732385,1.1862215,0.43077534,0.16408244,0.24921061,0.4793959,0.11577952,0.47636518,0.16509178,0.5057518,0.31214073,0.112881124,0.54094815,0.13289115,0.612797,0.14667416,0.22776042,0.29652613,0.19934422,0.18006189,0.2528186
Colorectal_GSE32323,0.21329668,0.25135565,0.18048792,0.5273308,0.25206757,0.34740645,0.51882434,0.7553952,0.39957553,0.45208645,0.26620054,0.13513306,0.25067076,0.27061844,0.1849412,0.16260919,0.11782529,0.26524198,0.24844155,0.4997473,0.46032476,0.08800933,0.17707083,0.32796273,0.15388232,0.32835543,0.24504246,0.1236606,0.1429796,0.3569588
Colorectal_GSE44076,0.19265436,0.07757357,0.078718096,0.1896659,0.22459406,0.25031286,0.21822724,0.10489277,0.20308411,0.18124181,0.26653156,0.21594337,0.09983625,0.076886535,0.16674946,0.21744403,0.15571058,0.34037465,0.0862116,0.12882754,0.32653898,0.210462,0.21102542,0.16195464,0.27431574,0.12777291,0.26385722,0.22498822,0.037364706,0.09376878
Colorectal_GSE44861,0.41774344,0.43753496,0.809494,0.35127428,0.35377684,0.38866982,0.27054843,0.3494033,0.47264206,1.0064528,0.29804245,0.49935368,0.21526876,1.2856884,0.33800766,0.16045159,0.34391832,0.68441844,0.79379314,1.0269909,0.4511783,0.84124815,0.6317948,0.41705787,0.51338524,0.341345,0.12927182,0.38401353,0.54375285,0.20704344
Liver_GSE14520_U133A,0.1994624,0.41239077,0.26972362,0.36332858,0.38660994,0.0969031,0.41155744,0.22914265,0.3634863,0.25779542,0.07615275,0.3418207,0.1834607,0.27674544,0.40068766,0.37383682,0.18824953,0.42640164,0.14668684,0.44846526,0.40498576,0.46548995,0.1547441,0.2288616,0.14505567,0.3430908,0.24936433,0.33228227,0.31328645,0.30991778
Liver_GSE50579,1.5107789,0.15735957,0.21375677,0.3942921,0.43173593,0.340124,0.8676486,0.104690865,0.2710157,0.08697122,1.1097677,0.778889,0.43111396,0.11079688,0.56990004,0.35491386,0.21305197,0.13022752,0.5902679,0.6652979,0.9524654,0.26806632,0.62761486,0.12846904,0.7599009,0.16557014,0.16824204,0.09049282,1.6101199,0.4042015
Liver_GSE62232,0.1957505,0.37977314,0.2095564,0.1281619,0.20623147,0.15818687,0.28541964,0.25029567,0.1803143,0.32601222,0.082196176,0.29879242,0.17899556,0.18172139,0.11576636,0.23531497,0.10259774,0.11102693,0.06773378,0.095759206,0.09952824,0.08178252,0.07699037,0.26452643,0.14338164,0.26210922,0.046686366,0.14086035,0.4065586,0.33520067
Leukemia_GSE22529_U133A,0.16994491,0.11073971,0.24112189,4.132642,0.9325814,0.19420941,0.08763893,0.32182497,0.13313276,0.17683172,2.3230171,0.48057666,0.4884148,0.2780649,0.12283136,0.12610982,0.14120947,0.15047632,0.24694553,0.2831024,0.08810446,0.08505985,0.45185322,0.19575766,0.5596826,0.09031469,0.20257151,1.8626348,0.5103594,0.7594743
Leukemia_GSE22529_U133B,0.11844839,0.16355354,0.10221937,1.690036,0.23552997,0.39699325,0.4100457,0.1363213,0.5306922,0.36417177,1.621105,0.18104133,0.13074413,0.15091474,0.2737599,0.10550026,0.7652928,0.1980673,0.15763992,0.70280385,0.13611682,0.3638218,0.08346624,0.3262772,0.44388366,0.22157167,0.11275056,1.6949935,0.4842041,0.23886627
Leukemia_GSE33615,0.114980616,0.17335999,0.094541416,0.049513105,0.17968753,0.10224681,0.1744184,0.05667865,0.10580048,0.13494495,0.12020122,0.21890989,0.281454,0.17286192,0.14707667,0.3312296,0.21898638,0.15231988,0.08979869,0.15384749,0.10242953,0.34691086,0.23389319,0.08366963,0.11347503,0.09878805,0.32913494,0.1151825,0.2165395,0.08706309
Leukemia_GSE63270,0.11722033,0.07495998,0.10443946,0.24604347,0.17664349,0.34339523,0.24717528,0.32163417,0.09260374,0.38022846,0.34323835,0.18446937,0.28235698,0.27279353,0.28465617,0.08891527,0.50127065,0.46997184,0.26821214,0.11701968,0.30378628,0.24283352,0.10636261,0.21522665,0.2250425,0.29610473,0.27613902,0.30033797,0.5778427,0.12094771
