Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,0.3033128,0.124107435,0.36119846,0.44916743,0.095176786,1.193206,1.0880467,0.40821958,0.30778718,0.2779652,1.2087599,0.37058392,0.16869196,0.20983121,0.481317,0.11577952,0.47636518,0.16509178,0.50453526,0.3365109,0.11374181,0.54094815,0.12803015,0.6798065,0.13420208,0.39996552,0.2996514,0.2060389,0.20928521,0.2528186
Colorectal_GSE32323,0.28080046,0.34766155,0.19523105,0.5512966,0.23193301,0.37742797,0.47898605,0.7553952,0.38465106,0.4917119,0.3319553,0.111450106,0.2422406,0.27061844,0.17319894,0.16358414,0.11380445,0.2597539,0.23717237,0.4997473,0.5308154,0.08028437,0.33154398,0.39169115,0.15294287,0.3426314,0.23470834,0.124099255,0.1358674,0.39480644
Colorectal_GSE44076,0.19265436,0.079322904,0.07004936,0.1896659,0.22501835,0.24479872,0.21822724,0.10489277,0.19488448,0.18124181,0.26653156,0.21594337,0.0818682,0.08209777,0.15601337,0.21912616,0.16151364,0.34302747,0.0862116,0.13045615,0.32838866,0.210462,0.21102542,0.16424976,0.27352008,0.13109192,0.2400426,0.22498822,0.038388655,0.0971697
Colorectal_GSE44861,0.4174863,0.44030008,0.79935396,0.3534676,0.34629908,0.39182,0.27361032,0.39087087,0.48030418,1.2396053,0.306486,0.54672354,0.21263516,0.95500547,0.33863017,0.16946709,0.33929935,0.6778318,0.9007218,0.99549454,0.4603898,0.8536727,0.569548,0.40382877,0.56498134,0.3386574,0.13170302,0.38401353,0.54375285,0.19838539
Liver_GSE14520_U133A,0.21782255,0.42645162,0.26972362,0.36332858,0.42866218,0.084889,0.43528694,0.22746016,0.3634863,0.25828278,0.075908795,0.34255514,0.1834607,0.32210937,0.40068766,0.37383682,0.18551931,0.42640164,0.14668684,0.44846526,0.44994342,0.466329,0.15379879,0.2288616,0.11949739,0.3430908,0.24893157,0.31613815,0.25049525,0.30991778
Liver_GSE50579,1.4136624,0.15735957,0.21375677,0.3942921,0.5307585,0.3357906,0.32462886,0.15135789,0.24609452,0.076346934,1.242533,0.6311357,0.45572728,0.10885067,0.5491881,0.35001606,0.20932011,0.15806898,0.5426307,0.60713714,1.0234778,0.2672727,0.8131351,0.12824538,0.7740966,0.16714203,0.17777777,0.0907899,1.8968488,0.47438157
Liver_GSE62232,0.17984699,0.5147018,0.2095564,0.120252505,0.18856438,0.16965531,0.29707488,0.25030428,0.1888983,0.3268305,0.082196176,0.27444425,0.17899556,0.20934175,0.09581593,0.23385899,0.110248744,0.11102693,0.08441895,0.12282277,0.09903078,0.08178252,0.111036316,0.2652724,0.114479974,0.25816146,0.047133535,0.15394181,0.4372209,0.38215098
Leukemia_GSE22529_U133A,0.18445851,0.09732448,0.1667858,4.0058646,1.0992736,0.21179485,0.12209411,0.33223653,0.13313276,0.19238366,2.5456722,0.5147455,0.5373824,0.26713908,0.12750915,0.15334556,0.15584236,0.20090552,0.24694553,0.2831024,0.1067528,0.087137066,0.4367758,0.15587918,0.57130826,0.12119625,0.2150912,2.0544603,0.48845425,0.7970079
Leukemia_GSE22529_U133B,0.123441786,0.15142989,0.10138576,1.6930735,0.23552997,0.47325507,0.36226264,0.15130629,1.144815,0.39979428,1.9406316,0.18353602,0.12857118,0.16546527,0.22176874,0.106251344,1.2394533,0.1980673,0.12905504,0.70280385,0.12689357,0.33398739,0.13361263,0.32946336,0.25583988,0.22028574,0.11275056,1.6289259,0.48565394,0.3014793
Leukemia_GSE33615,0.122732356,0.17806089,0.094541416,0.05416642,0.16991116,0.10295907,0.2264246,0.052300427,0.104876734,0.13437578,0.08557329,0.2267093,0.26709908,0.18304822,0.14707667,0.3312296,0.18650782,0.15816905,0.091049366,0.15439631,0.11137622,0.34691086,0.23978877,0.084271215,0.120726585,0.13345078,0.32913494,0.12033759,0.22171563,0.10162468
Leukemia_GSE63270,0.11722033,0.074239634,0.094813004,0.21619895,0.17307818,0.34630406,0.26134878,0.32163417,0.09273672,0.3817823,0.33107734,0.22562452,0.28296715,0.27845365,0.28465617,0.08377527,0.50127065,0.46997184,0.32014805,0.11554864,0.31363755,0.24765591,0.10636261,0.21774761,0.22878578,0.29643667,0.29518268,0.37636742,0.5778427,0.28482422
ALL-AML-full,0.51351917,0.1142073,0.22383912,0.2723788,0.5697573,1.2935219,0.4031659,0.22832972,0.25772628,0.42913508,0.37108645,0.1384422,0.22599697,0.1767627,0.5253348,0.8623112,0.69757384,0.14008966,0.5411667,0.11516495,0.60489404,0.43058813,0.8016571,0.3319099,0.47394356,0.07326792,0.20066771,0.3625395,0.4995611,0.33420694
Breast_GSE22820,0.21396181,0.035476718,0.2002221,0.119925454,0.15210228,0.31466648,0.59398645,0.26902887,0.29096663,0.12787926,0.07387269,0.13428718,0.06513998,0.038777545,0.13784674,0.15337157,0.05565063,0.3122576,0.13179392,0.4043517,0.08802575,0.18433261,0.2674553,0.115397386,0.0829273,0.5895274,0.99401784,0.04922566,0.09536147,0.05190589
Breast_GSE59246,0.5567269,0.5621357,0.35969096,0.54415596,0.5640357,0.36397353,0.7462847,0.32572976,0.44099328,0.7385994,0.4376409,0.34200287,0.7639372,0.5980234,0.5413744,0.6297432,0.39617774,0.5741713,0.4513949,0.60568964,0.4191513,0.6720568,0.4420828,0.37508914,0.45556456,0.6227045,0.41303763,0.67374414,0.40833277,0.6030244
Breast_GSE70947,0.42903778,0.38208076,0.45155373,0.524021,0.53153604,0.5240321,0.26532573,0.31435588,0.44515696,0.5615898,0.39786312,0.5819839,0.3234466,0.49704406,0.6436159,0.44823912,0.43517944,0.2958969,0.50533473,0.41454673,0.41617453,0.5189745,0.3124342,0.405466,0.8553595,0.4441915,0.3125175,0.6004171,0.37326726,0.4291548
