Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,120.41483330726624,135.09307646751404,113.24701166152954,114.2014582157135,144.41562008857727,119.54615807533264,128.43138194084167,114.1505925655365,106.87007117271423,113.57812666893005,114.92153120040894,131.97491240501404,116.30083847045898,162.95552897453308,108.33116269111633,148.7310745716095,96.5317313671112,163.34397768974304,113.5890953540802,164.22561836242676,128.8203465938568,111.44283699989319,171.67719197273254,134.45327353477478,125.09331607818604,128.90013194084167,98.04867601394653,131.6557559967041,117.59737229347229,120.87559962272644
Colorectal_GSE32323,117.67815232276917,116.73866748809814,118.92083144187927,152.92086243629456,161.50289797782898,170.33028721809387,157.40685987472534,154.36998796463013,165.38351917266846,134.8721523284912,132.39478254318237,119.93112874031067,136.8327977657318,144.22712588310242,173.8528573513031,201.33832240104675,165.03046560287476,150.96709084510803,158.86595678329468,177.42032146453857,116.47636985778809,199.74458694458008,174.07117295265198,150.90426063537598,217.9618480205536,165.33963823318481,174.08723425865173,240.57634353637695,206.84459519386292,153.1203329563141
Colorectal_GSE44076,507.24787068367004,628.1495473384857,594.6879284381866,530.1187539100647,548.3748369216919,530.0249345302582,549.9920220375061,547.8133389949799,520.011777639389,522.7464051246643,514.8674695491791,533.9633963108063,547.9250457286835,603.081639289856,700.7651760578156,575.7476024627686,541.8503618240356,529.7416903972626,640.2340693473816,516.8586692810059,518.7421507835388,532.878338098526,522.16699385643,526.6030702590942,580.8300051689148,599.380373954773,616.0558125972748,768.9787950515747,524.0148847103119,499.5122628211975
Colorectal_GSE44861,147.8683841228485,136.65737891197205,138.95124101638794,124.83500623703003,133.71923685073853,173.16469931602478,165.9210820198059,164.19370365142822,170.47397875785828,164.40327072143555,135.12347865104675,190.7745862007141,144.18822979927063,152.31947255134583,147.58912920951843,149.3893141746521,140.87808966636658,162.03149008750916,164.26553177833557,134.17003083229065,171.80933618545532,174.88410139083862,170.19771432876587,134.2029435634613,124.30256390571594,131.93501114845276,144.88636255264282,135.69993782043457,153.76959562301636,168.80935788154602
Liver_GSE14520_U133A,556.5429837703705,566.7137722969055,519.9010183811188,533.5225746631622,518.040990114212,524.472785949707,559.2108454704285,508.87352108955383,509.21261191368103,534.110000371933,506.1278717517853,526.3906555175781,572.3127889633179,545.7393138408661,512.5654425621033,522.9299163818359,645.8380770683289,627.4622411727905,514.8634970188141,516.731498003006,564.6951723098755,527.8088603019714,505.8466203212738,511.4765570163727,525.0941233634949,573.5105886459351,532.7346801757812,551.3030009269714,543.0273959636688,503.1348714828491
Liver_GSE50579,129.84260988235474,121.8101019859314,112.61171054840088,112.17388224601746,120.06477046012878,126.31704235076904,122.85729670524597,101.62610292434692,120.89662432670593,123.19439816474915,115.41221785545349,131.03641533851624,95.23520016670227,125.00455355644226,125.31372737884521,114.25232148170471,154.13761186599731,116.54724907875061,109.2796266078949,118.8550078868866,116.41652870178223,106.27865600585938,109.16991853713989,129.83463048934937,116.95808362960815,123.9852831363678,113.80651378631592,181.51735830307007,156.20707249641418,152.77026653289795
Liver_GSE62232,213.02258133888245,214.91500115394592,224.82448935508728,229.90290021896362,209.0207703113556,213.55763220787048,209.12150716781616,221.69386339187622,216.30029320716858,199.57104778289795,244.9711046218872,255.07255172729492,205.0733323097229,211.533047914505,272.50092911720276,255.05958819389343,234.00093626976013,204.72027492523193,211.41237330436707,230.7137312889099,216.3142569065094,239.35461115837097,241.29442071914673,207.0570249557495,221.96812868118286,202.93604850769043,255.039648771286,240.30108046531677,215.18826937675476,209.1125249862671
Leukemia_GSE22529_U133A,125.96697854995728,100.2388162612915,107.10045742988586,109.29159212112427,136.60052871704102,190.14826464653015,162.47182393074036,126.4187707901001,121.45804214477539,126.864577293396,131.72257804870605,150.0475516319275,196.02859163284302,136.0629687309265,177.28168630599976,103.72049760818481,101.84651255607605,110.45248818397522,95.54736590385437,98.75777578353882,138.03967714309692,142.50174474716187,152.55036902427673,141.14437055587769,120.20339846611023,164.60759615898132,133.38513326644897,151.13065338134766,158.92087030410767,133.55268263816833
Leukemia_GSE22529_U133B,142.66537261009216,101.03968262672424,110.37669014930725,136.50578570365906,132.96226477622986,101.67297792434692,101.93627142906189,108.99438762664795,104.35483026504517,97.85917901992798,101.93228387832642,92.25816583633423,109.31453323364258,125.52217245101929,113.27493596076965,178.14736914634705,182.32825708389282,119.78352236747742,101.92928862571716,87.13686776161194,112.19682025909424,87.65548038482666,116.00064301490784,95.07762122154236,171.68318104743958,107.83848118782043,110.17822074890137,119.072425365448,92.98123168945312,113.77059769630432
Leukemia_GSE33615,190.29886102676392,210.54870462417603,245.38751888275146,239.37256336212158,195.61064982414246,206.1075656414032,215.90136218070984,222.6757469177246,153.12830805778503,148.31718826293945,193.2180528640747,151.8656873703003,154.0747787952423,171.52608561515808,169.96227169036865,210.2335262298584,298.7008583545685,266.0123381614685,229.79818034172058,182.69720077514648,232.30548357963562,250.43696188926697,164.86342358589172,196.44042825698853,190.16621494293213,199.76852440834045,152.9408106803894,183.77331948280334,156.04453802108765,170.71026873588562
Leukemia_GSE63270,222.03495049476624,227.99201226234436,236.9156529903412,236.20004606246948,247.24250864982605,224.61107325553894,259.34620118141174,244.3193280696869,229.98667740821838,215.1184539794922,220.7215404510498,270.5880482196808,228.2323703765869,232.38725447654724,232.05713152885437,241.4659616947174,221.865403175354,233.49879503250122,246.44763588905334,226.04721641540527,234.78683400154114,257.6936194896698,242.502192735672,243.8864860534668,211.48817110061646,206.83261942863464,233.22202110290527,298.1901979446411,231.35701084136963,270.90719652175903
ALL-AML-full,98.71588921546936,104.24010896682739,100.99379181861877,100.1680018901825,98.8864312171936,99.0599672794342,100.71753168106079,106.54693841934204,109.03029537200928,102.28034925460815,100.23183250427246,88.07635378837585,113.3327808380127,129.50052452087402,125.34065461158752,112.10506677627563,98.94029021263123,145.9166042804718,108.40197396278381,118.44709825515747,101.17929697036743,119.87727117538452,123.32205510139465,102.72016906738281,132.49351739883423,106.50504755973816,104.61111569404602,128.9908890724182,115.06614232063293,104.77667474746704
Breast_GSE22820,175.10550713539124,271.7649004459381,202.59496235847473,222.36805772781372,202.90618705749512,171.64875841140747,185.33913135528564,192.7622935771942,190.2314121723175,187.23904633522034,221.11840271949768,196.31680917739868,200.19538021087646,309.07914328575134,205.15311932563782,192.31253266334534,217.33552718162537,366.86346673965454,189.551860332489,205.81634521484375,189.37134218215942,182.3271894454956,203.50158834457397,180.40233850479126,195.4531455039978,216.46984124183655,209.09756445884705,214.87462186813354,194.96836709976196,200.68214631080627
Breast_GSE59246,108.2733166217804,163.70400619506836,150.7127730846405,143.93391108512878,120.27321243286133,118.59869122505188,134.53704977035522,171.6816704273224,142.18757963180542,157.65121221542358,196.1108214855194,190.91222047805786,130.53575730323792,124.60661888122559,128.66176891326904,146.85409545898438,157.9663655757904,132.96525621414185,150.33877158164978,133.84889149665833,135.32693791389465,129.48855781555176,127.9716157913208,127.3682312965393,144.4704737663269,151.5081558227539,147.56818437576294,164.28446173667908,150.50532412528992,120.29515600204468
Breast_GSE70947,510.7520091533661,480.08859968185425,509.2275741100311,499.12859416007996,474.9732210636139,466.2076733112335,459.25427865982056,536.0508115291595,505.0781874656677,545.8640673160553,475.5297899246216,495.9451127052307,641.7899091243744,538.4593603610992,507.08031964302063,469.6015932559967,516.7125494480133,506.7023298740387,495.7476394176483,486.06454634666443,473.21292996406555,480.61862897872925,502.17196345329285,505.13358545303345,522.547935962677,510.5859434604645,531.1020486354828,498.2090549468994,496.84920597076416,467.20999693870544
breastCancer-full,93.68286967277527,126.43571782112122,114.04786825180054,126.37389206886292,137.13518285751343,95.22821927070618,91.19600534439087,107.09746193885803,105.31523108482361,88.05041742324829,90.25153350830078,87.86392068862915,136.1018626689911,101.17530751228333,92.34792590141296,120.30712032318115,88.55307841300964,120.36892461776733,104.27102637290955,106.47113919258118,97.37248277664185,96.72421765327454,88.09231114387512,90.10891556739807,92.3598940372467,120.53850293159485,101.22717046737671,115.08309960365295,114.71408796310425,101.30496287345886
Prostate_GSE6919_U95Av2,113.08544278144836,119.76357769966125,130.4150788784027,111.40693354606628,142.24043703079224,118.80314564704895,113.6020622253418,125.849294424057,95.44164967536926,149.83910846710205,109.46313548088074,118.60667276382446,140.38141322135925,143.21483540534973,142.05992245674133,135.8285927772522,109.50502109527588,116.41852641105652,141.29895496368408,106.99673342704773,139.62243819236755,97.00247192382812,167.68436288833618,112.8191568851471,111.22442197799683,146.81420516967773,112.84309124946594,111.39297080039978,105.63138604164124,104.3368468284607
Prostate_GSE6919_U95B,124.33534407615662,111.55553579330444,115.73335981369019,90.63750195503235,103.0752272605896,98.57327151298523,127.84495568275452,100.166006565094,120.72899389266968,125.96498203277588,139.77702927589417,105.71815371513367,110.791579246521,110.22409749031067,121.38224291801453,109.9109377861023,113.75864124298096,101.64106178283691,109.14897513389587,113.12234330177307,140.37542843818665,105.28132200241089,103.92295575141907,98.63909554481506,99.16369009017944,133.84390425682068,119.31078696250916,106.2577121257782,104.81557631492615,116.27391266822815
Prostate_GSE11682,101.14439153671265,94.21393251419067,93.01514101028442,92.10557293891907,93.10390281677246,80.86863923072815,105.26835656166077,93.85788655281067,87.80308532714844,121.74029088020325,98.62313723564148,97.9768660068512,96.43997740745544,89.72793579101562,99.47185230255127,122.68874931335449,117.56545734405518,118.74529790878296,114.93247294425964,151.3759949207306,86.94438433647156,103.11711597442627,94.82230734825134,97.02740263938904,104.8065938949585,118.00280141830444,101.79265451431274,139.43594336509705,87.3812243938446,101.93534708023071
prostate_tumorVSNormal-full,193.43746328353882,100.287682056427,128.82832288742065,107.02765035629272,115.15490746498108,117.35501837730408,137.12818598747253,128.549072265625,124.16679501533508,123.13355994224548,110.60408639907837,127.09496021270752,111.90061283111572,120.49960565567017,129.2651550769806,145.42299699783325,134.55599546432495,100.94392848014832,127.65645980834961,137.01841020584106,162.0624098777771,117.00495934486389,118.31245756149292,112.75432968139648,93.62551045417786,129.04274725914001,122.49626564979553,124.02716875076294,158.17181420326233,164.82602453231812
