Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,1,1,0.816496581,0.707106781,1,0.707106781,0,0.816496581,1,1,0.577350269,1,1,1,1,1,1,1,0.707106781,0.816496581,1,0.816496581,1,0.816496581,1,0.707106781,1,1,1,1
Colorectal_GSE32323,1,1,1,1,1,1,0.707106781,0.707106781,0.707106781,1,0.707106781,1,1,1,1,1,1,1,1,0.707106781,0.707106781,1,1,1,1,1,1,1,1,0.707106781
Colorectal_GSE44076,0.948683298,1,1,0.948683298,0.948683298,0.942809042,0.942809042,0.942809042,0.948683298,1,0.948683298,1,1,1,1,1,0.942809042,0.894427191,1,1,0.948683298,0.948683298,1,1,0.942809042,0.942809042,0.942809042,0.942809042,1,1
Colorectal_GSE44861,1,0.730296743,0.632455532,1,0.816496581,0.894427191,0.894427191,0.8,0.774596669,0.6,0.912870929,0.816496581,0.894427191,0.816496581,1,1,0.894427191,0.8,0.447213595,0.894427191,0.912870929,0.730296743,0.894427191,0.707106781,0.632455532,0.894427191,1,0.894427191,0.8,1
Liver_GSE14520_U133A,0.94426737,0.916245695,0.971825316,0.881917104,0.942809042,1,0.916245695,0.942809042,0.912870929,0.885614886,1,0.887151079,0.971825316,0.857069368,0.801233617,0.971825316,0.944444444,0.82446259,0.9701425,0.792118034,0.91428295,0.887151079,0.944444444,0.916245695,0.971825316,0.971825316,0.916245695,0.942809042,0.914659121,0.971825316
Liver_GSE50579,0,1,1,1,0.707106781,0.912870929,0.912870929,1,1,1,0,0,1,1,0.707106781,0.912870929,1,1,0.816496581,0,0,1,0,0.9258201,0.707106781,1,1,1,0,1
Liver_GSE62232,0.942809042,0.935414347,1,1,1,1,0.866025404,1,1,0.866025404,1,0.866025404,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.935414347,1
Leukemia_GSE22529_U133A,1,1,1,0,0.866025404,1,1,1,1,1,0,0.707106781,0,1,1,1,1,1,0.866025404,1,1,1,1,1,1,1,1,0,1,0.866025404
Leukemia_GSE22529_U133B,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0.866025404,1,1,0,1,0.866025404
Leukemia_GSE33615,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.707106781,0.894427191,1,1,1,1,0.707106781,0.894427191,1,1,1,1,1,1,1
Leukemia_GSE63270,1,1,1,0.866025404,1,0.816496581,0.912870929,0.912870929,1,1,1,0.912870929,0.912870929,1,0.912870929,1,0.816496581,0.816496581,0.912870929,1,0.912870929,0.866025404,1,0.912870929,0.912870929,1,0.912870929,0.912870929,0.816496581,0.866025404
ALL-AML-full,0.730296743,1,1,0.894427191,0.707106781,0.447213595,0.894427191,0.866025404,0.816496581,0.707106781,0.730296743,1,1,0.894427191,0.894427191,0.632455532,0.547722558,1,0.707106781,1,0.632455532,0.816496581,0.632455532,1,0.707106781,1,1,0.866025404,0.707106781,1
Breast_GSE22820,0.960768923,1,1,1,0.960768923,0.960768923,0,1,1,0.957427108,1,1,1,1,1,1,1,1,0.960768923,0.957427108,1,1,1,1,1,0.960768923,0,1,1,1
Breast_GSE59246,0.816496581,0.692820323,0.894427191,0.774596669,0.8,0.790569415,0.5,0.912870929,0.790569415,0.577350269,0.816496581,0.894427191,0.692820323,0.8,0.774596669,0.577350269,0.912870929,0.790569415,0.816496581,0.707106781,0.816496581,0.4,1,1,0.894427191,0.816496581,0.816496581,0.707106781,0.866025404,0.707106781
Breast_GSE70947,0.801783726,0.88640526,0.759072115,0.658280589,0.759072115,0.690065559,1,0.894427191,0.792824967,0.820651807,0.930949336,0.746420027,0.845154255,0.816496581,0.676123404,0.856348839,0.792824967,0.930949336,0.755928946,0.814411018,0.828078671,0.717137166,0.894427191,0.9258201,0.654653671,0.825198389,0.861891607,0.755928946,0.786795792,0.88640526
breastCancer-full,0.692820323,0.489897949,0.632455532,0.4,0.489897949,0.6,0.612372436,0.774596669,0.866025404,0.774596669,0.8,0.4,0.489897949,0.692820323,0.8,0.692820323,0.790569415,0.447213595,0.894427191,0.387298335,0.8,0.692820323,0.489897949,0.692820323,0.632455532,0.6,0.5,0.547722558,0.547722558,0.547722558
Prostate_GSE6919_U95Av2,0.534522484,0.6172134,0.690065559,0.34503278,0.745355992,0.577350269,0.5,0.745355992,0.707106781,0.745355992,0.654653671,0.816496581,0.755928946,0.6172134,0.645497224,0.912870929,0.527046277,0.577350269,0.288675135,0.577350269,0.77151675,0.534522484,0.534522484,0.3086067,0.707106781,0.40824829,0.333333333,0.707106781,0.333333333,0.745355992
Prostate_GSE6919_U95B,0.597614305,0.43643578,0.6172134,0.654653671,0.471404521,0.5,0.5,0.833333333,0.833333333,0.577350269,0.6172134,0.707106781,0.597614305,0.6172134,0.645497224,0.527046277,0.745355992,0.527046277,0.745355992,0.577350269,0.34503278,0.6172134,0.77151675,0.267261242,0.645497224,0.471404521,0.471404521,0.666666667,0.577350269,0.577350269
Prostate_GSE6919_U95C,0.577350269,0.707106781,0.577350269,0.471404521,0.666666667,0.365148372,0.730296743,0.707106781,0.632455532,0.632455532,0.645497224,0.577350269,0.577350269,0.912870929,0.666666667,0.632455532,0.632455532,0.365148372,0.730296743,0.707106781,0.666666667,0,0.666666667,0.5,0.707106781,0.632455532,0.816496581,0.816496581,0.516397779,0.632455532
Prostate_GSE11682,0.707106781,0,0,1,0,0,1,0.707106781,0,0.707106781,0.707106781,0.707106781,0,0.707106781,0,0,1,0,0.707106781,0,0.707106781,1,0.707106781,0.707106781,0,0,0,0,0,0.707106781
prostate_tumorVSNormal-full,0.612372436,0.763762616,0.853912564,0.763762616,0.935414347,0.577350269,0.387298335,0.34503278,0.6172134,0.912870929,0.707106781,0.433012702,0.790569415,0.721687836,0.661437828,0.763762616,0.707106781,0.534522484,0.845154255,0.487950036,0.433012702,0.5,0.816496581,0.763762616,0.433012702,0.790569415,0.707106781,0.690065559,0.597614305,0.46291005
