Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(54.4121),tensor(2.9802e-08),tensor(25.8197),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(17.2132),tensor(17.2132),tensor(2.9802e-08),tensor(25.8197),tensor(25.8197),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(17.2132),tensor(25.8197),tensor(2.7726),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(17.2132),tensor(2.9802e-08),tensor(2.9802e-08)
Colorectal_GSE32323,tensor(2.9802e-08),tensor(25.8197),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(8.3178),tensor(51.6395),tensor(8.3178),tensor(25.8197),tensor(2.9802e-08),tensor(2.9802e-08),tensor(51.6395),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(34.1375),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(29.9786),tensor(2.9802e-08),tensor(2.9802e-08),tensor(4.1589),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(25.8197)
Colorectal_GSE44076,tensor(5.1639),tensor(2.9802e-08),tensor(2.9802e-08),tensor(5.1639),tensor(2.9802e-08),tensor(2.9802e-08),tensor(5.7377),tensor(5.1639),tensor(2.9802e-08),tensor(5.1639),tensor(2.9802e-08),tensor(5.1639),tensor(2.9802e-08),tensor(16.3236),tensor(2.9802e-08),tensor(2.9802e-08),tensor(5.7377),tensor(2.9802e-08),tensor(0.9242),tensor(2.9802e-08),tensor(5.1639),tensor(0.8318),tensor(2.9802e-08),tensor(5.1639),tensor(2.9802e-08),tensor(0.8318),tensor(0.8318),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08)
Colorectal_GSE44861,tensor(11.7142),tensor(10.3279),tensor(11.7142),tensor(8.6066),tensor(34.4263),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(30.9837),tensor(23.9829),tensor(2.9802e-08),tensor(13.1005),tensor(20.6558),tensor(17.2132),tensor(2.9802e-08),tensor(11.9914),tensor(20.6558),tensor(44.6387),tensor(51.6395),tensor(13.6550),tensor(13.1005),tensor(22.0421),tensor(20.6558),tensor(17.2132),tensor(18.8767),tensor(11.9914),tensor(10.3279),tensor(30.9837),tensor(22.3193),tensor(2.9802e-08)
Liver_GSE14520_U133A,tensor(3.4754),tensor(5.7377),tensor(0.4621),tensor(6.1998),tensor(0.4621),tensor(0.4621),tensor(6.1998),tensor(6.0752),tensor(6.0752),tensor(6.5373),tensor(2.9802e-08),tensor(3.7931),tensor(0.4621),tensor(9.5308),tensor(0.4621),tensor(2.8689),tensor(3.3310),tensor(6.5373),tensor(3.0376),tensor(6.9994),tensor(3.4754),tensor(8.6066),tensor(0.4621),tensor(2.9802e-08),tensor(3.3310),tensor(3.3310),tensor(0.9242),tensor(2.9802e-08),tensor(6.9994),tensor(0.4621)
Liver_GSE50579,tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(51.6395),tensor(2.9802e-08),tensor(2.9802e-08),tensor(51.6395),tensor(2.9802e-08),tensor(2.9802e-08),tensor(1.3863),tensor(2.9802e-08),tensor(51.6395),tensor(2.9802e-08),tensor(2.9802e-08),tensor(25.8197),tensor(25.8197),tensor(1.3863),tensor(2.9802e-08),tensor(2.9802e-08),tensor(51.6395),tensor(52.8277),tensor(2.9802e-08),tensor(2.9802e-08),tensor(1.1883),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(51.6395),tensor(51.6395)
Liver_GSE62232,tensor(2.9802e-08),tensor(6.4549),tensor(2.9802e-08),tensor(2.9802e-08),tensor(6.4549),tensor(2.9802e-08),tensor(2.9802e-08),tensor(8.3178),tensor(6.4549),tensor(6.4549),tensor(2.9802e-08),tensor(6.4549),tensor(2.9802e-08),tensor(6.4549),tensor(2.9802e-08),tensor(2.9802e-08),tensor(6.4549),tensor(2.9802e-08),tensor(12.9099),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(8.3178),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08)
Leukemia_GSE22529_U133A,tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(51.6395),tensor(2.0794),tensor(2.9802e-08),tensor(53.7189),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(51.6395),tensor(4.1589),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.0794),tensor(2.9802e-08),tensor(51.6395),tensor(2.9802e-08),tensor(2.9802e-08),tensor(51.6395),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(51.6395),tensor(51.6395),tensor(2.9802e-08)
Leukemia_GSE22529_U133B,tensor(2.9802e-08),tensor(25.8197),tensor(2.9802e-08),tensor(51.6395),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(51.6395),tensor(51.6395),tensor(51.6395),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(51.6395),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(51.6395),tensor(53.7189),tensor(2.9802e-08)
Leukemia_GSE33615,tensor(17.2132),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(1.6636),tensor(2.9802e-08),tensor(25.8197),tensor(1.6636),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(25.8197),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(2.9802e-08),tensor(25.8197)
