Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,1,1,1,0,1,0.707106781,1,1,1,0.816496581,0.816496581,1,0.707106781,0.707106781,1,1,1,1,1,1,1,0.816496581,0.707106781,0.816496581,1,1,1,0.816496581,1,1
Colorectal_GSE32323,1,0.707106781,1,1,1,1,1,0,0,0,0.707106781,1,1,0,1,1,1,1,0,1,1,1,0.5,1,1,0.707106781,1,1,1,0.707106781
Colorectal_GSE44076,0.948683298,1,1,0.948683298,1,1,0.942809042,0.948683298,1,0.948683298,1,0.948683298,1,0.793725393,1,1,0.942809042,1,0.942809042,1,0.948683298,0.948683298,1,0.948683298,1,0.948683298,0.948683298,1,1,1
Colorectal_GSE44861,0.816496581,0.894427191,0.816496581,0.912870929,0.577350269,1,1,1,0.632455532,0.6,1,0.730296743,0.774596669,0.816496581,1,0.8,0.774596669,0.346410162,0,0.692820323,0.730296743,0.707106781,0.774596669,0.816496581,0.730296743,0.8,0.894427191,0.632455532,0.692820323,1
Liver_GSE14520_U133A,0.94426737,0.942809042,0.971825316,0.916245695,0.971825316,0.971825316,0.916245695,0.939336437,0.939336437,0.912870929,1,0.916245695,0.971825316,0.860662966,0.971825316,0.971825316,0.944444444,0.912870929,0.9701425,0.885614886,0.94426737,0.912870929,0.971825316,1,0.944444444,0.944444444,0.942809042,1,0.885614886,0.971825316
Liver_GSE50579,1,1,1,0,1,1,0,1,1,0.912870929,1,0,1,1,0.707106781,0.707106781,0.912870929,1,1,0,0,1,1,0.9258201,1,1,1,1,0,0
Liver_GSE62232,1,0.935414347,1,1,0.935414347,1,1,0,0.935414347,0.935414347,1,0.935414347,1,0.935414347,1,1,0.935414347,1,0.866025404,1,1,1,1,1,1,0,1,1,1,1
Leukemia_GSE22529_U133A,1,1,1,0,0.866025404,1,0,1,1,1,0,0.707106781,1,1,1,1,0.866025404,1,0,1,1,0,1,1,1,1,1,0,0,1
Leukemia_GSE22529_U133B,1,0.707106781,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
Leukemia_GSE33615,0.816496581,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.894427191,1,0.707106781,0.894427191,1,1,1,0.707106781,1,1,1,1,1,0.707106781
Leukemia_GSE63270,1,1,1,1,0.866025404,0.816496581,0.912870929,1,1,0.912870929,1,1,0.912870929,1,1,1,0.866025404,1,0.912870929,1,0.912870929,1,1,1,1,0.912870929,1,0.790569415,0.612372436,0.866025404
ALL-AML-full,0.816496581,0.730296743,1,0.707106781,0.707106781,0.707106781,0.894427191,1,1,0.707106781,0.894427191,1,1,1,0.707106781,0.707106781,1,1,0.816496581,0.816496581,1,1,0.707106781,0.707106781,0.894427191,1,1,1,0.816496581,1
