Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,4,12,11,1,7,9,13,1,16,8,20,6,7,7,14,4,6,8,16,9,8,5,11,13,6,10,7,7,4,5
Colorectal_GSE32323,4,7,4,5,3,10,6,1,4,5,4,5,4,3,4,5,4,3,5,4,4,7,5,4,1,5,8,13,3,3
Colorectal_GSE44076,6,4,3,2,7,3,4,5,5,3,7,4,5,3,8,3,5,7,3,6,4,6,13,4,21,8,3,2,5,11
Colorectal_GSE44861,5,5,134,5,5,2,7,4,4,18,9,34,3,9,9,7,3,8,1,7,5,10,1,2,5,2,3,9,9,5
Liver_GSE14520_U133A,6,6,5,4,5,6,10,5,5,6,8,5,64,6,5,13,3,13,5,3,9,22,4,7,4,2,9,6,6,6
Liver_GSE50579,14,6,4,13,13,9,10,13,7,15,16,11,3,12,7,5,10,1,11,13,10,9,10,7,9,4,8,9,3,21
Liver_GSE62232,5,8,5,1,1,5,18,1,1,4,5,4,2,7,2,7,2,1,2,2,1,4,3,15,4,2,2,5,2,7
Leukemia_GSE22529_U133A,18,1,3,11,13,6,8,13,25,8,9,6,7,7,12,14,16,14,1,5,12,12,5,5,68,7,5,6,7,5
Leukemia_GSE22529_U133B,4,15,1,12,11,13,12,8,3,15,11,14,6,14,12,3,30,9,1,1,17,6,5,5,15,1,6,8,18,20
Leukemia_GSE33615,4,11,4,4,7,11,17,6,7,8,5,14,3,11,16,19,5,11,8,12,9,9,4,8,6,7,13,9,5,14
Leukemia_GSE63270,4,4,2,6,4,5,2,18,2,7,6,4,39,3,3,5,2,15,18,5,5,6,22,2,8,4,2,4,7,5
ALL-AML-full,8,23,15,20,11,12,28,17,13,29,14,11,6,19,17,12,10,11,13,12,12,7,13,13,13,16,22,13,10,13
Breast_GSE22820,9,13,9,6,12,13,13,13,10,10,12,12,9,10,8,11,5,5,7,9,14,6,8,19,11,11,22,13,23,6
Breast_GSE59246,10,6,7,7,7,16,7,6,5,8,11,6,21,16,22,3,6,26,28,7,3,12,6,3,3,11,6,14,15,4
Breast_GSE70947,2,11,9,4,3,7,8,5,4,4,6,7,4,2,6,7,3,4,3,3,3,67,5,1,81,5,3,3,5,7
breastCancer-full,9,17,70,13,6,69,8,6,8,15,1,11,14,19,16,27,16,1,18,6,10,8,24,3,7,9,1,12,15,8
Prostate_GSE6919_U95Av2,9,15,6,12,11,7,14,6,26,5,11,11,19,4,10,12,12,4,16,13,17,6,5,8,16,5,17,16,11,15
Prostate_GSE6919_U95B,5,20,19,14,7,8,23,13,12,9,11,20,14,15,8,16,16,5,16,23,9,17,9,14,15,11,16,10,3,12
Prostate_GSE11682,17,1,6,13,21,19,9,19,2,11,7,12,8,9,1,9,11,16,15,10,24,15,4,9,19,13,10,22,15,3
prostate_tumorVSNormal-full,11,10,6,5,15,9,6,7,10,8,11,4,10,17,9,11,22,6,12,14,10,3,8,3,7,22,12,8,10,7
Colorectal_GSE25070,18,5,3,7,19,16,12,90,12,0,23,0,1,15,8,0,5,1,29,10,18,12,3,12,16,10,0,0,1,0
Colorectal_GSE32323,0,4,2,0,0,7,1,0,1,0,0,9,8,0,39,47,3,8,16,1,9,18,1,0,0,4,0,14,0,4
Colorectal_GSE44076,0,0,11,0,59,0,0,1,0,10,21,1,9,0,10,0,0,46,1,0,1,0,26,0,23,9,2,0,0,8
Colorectal_GSE44861,1,5,196,1,2,1,7,1,7,38,4,34,17,0,5,0,0,3,0,1,0,12,37,1,6,0,2,13,2,4
Liver_GSE14520_U133A,2,1,7,7,5,0,53,2,1,0,12,1,59,7,8,15,4,17,3,0,7,19,0,2,0,13,4,14,0,5
Liver_GSE50579,19,1,3,8,17,18,1,43,3,15,15,11,3,12,2,1,11,10,14,22,22,6,0,18,5,12,4,8,2,32
Liver_GSE62232,0,1,0,0,0,0,33,0,2,0,19,1,46,0,18,2,0,0,0,0,0,0,0,16,0,11,13,0,0,3
Leukemia_GSE22529_U133A,14,2,2,11,14,0,10,12,35,10,12,0,1,6,3,1,9,16,1,0,6,4,1,0,31,5,0,10,2,22
Leukemia_GSE22529_U133B,1,3,2,9,9,15,10,18,13,9,12,2,9,2,10,9,21,1,2,0,6,11,24,23,8,0,7,1,15,14
Leukemia_GSE33615,12,14,0,8,6,10,8,13,3,23,18,19,0,12,11,11,14,7,31,9,11,9,4,2,3,24,49,16,13,8
Leukemia_GSE63270,1,19,1,9,0,0,9,21,0,0,11,5,44,7,10,13,1,61,15,2,0,23,21,3,13,0,0,2,11,0
ALL-AML-full,9,20,15,10,2,8,13,8,9,15,4,15,17,17,9,17,2,4,13,12,1,2,10,0,17,4,9,17,4,10
Breast_GSE22820,12,23,14,4,10,7,13,9,5,8,5,6,4,16,0,16,13,1,13,14,9,16,20,11,20,14,19,34,28,5
Breast_GSE59246,3,1,6,11,1,14,11,1,0,16,21,16,22,16,45,6,1,82,26,3,1,20,7,0,10,3,22,13,6,1
Breast_GSE70947,0,5,0,0,0,7,0,0,5,1,0,15,1,1,11,10,0,0,0,0,1,70,0,0,167,1,0,0,0,0
breastCancer-full,0,10,95,6,3,72,0,0,12,13,0,0,4,7,3,21,10,1,0,2,4,0,7,1,1,12,1,4,3,3
Prostate_GSE6919_U95Av2,0,13,6,21,3,2,10,0,24,3,18,7,6,1,4,20,9,1,9,3,15,0,2,1,13,2,2,11,5,38
Prostate_GSE6919_U95B,8,15,17,4,1,0,8,14,6,12,8,4,1,16,3,8,1,5,2,1,17,9,2,5,11,2,5,6,1,8
Prostate_GSE11682,12,1,1,2,6,1,5,8,1,4,1,3,2,0,4,13,6,6,2,14,3,3,4,4,1,0,8,3,9,22
prostate_tumorVSNormal-full,18,23,2,1,8,0,1,19,5,21,2,1,1,5,9,5,24,1,9,9,4,1,14,0,0,7,12,16,14,9
Colorectal_GSE25070,44,23,19,20,51,47,46,165,36,8,72,6,9,43,34,4,17,9,81,34,54,33,17,43,46,32,7,7,7,5
Colorectal_GSE32323,4,16,11,5,3,29,9,1,6,5,4,24,21,3,69,100,13,23,41,7,25,60,7,4,1,16,8,48,3,13
Colorectal_GSE44076,6,4,31,2,154,3,4,7,5,30,56,5,30,3,35,3,5,97,4,6,5,6,67,4,65,35,7,2,5,29
Colorectal_GSE44861,7,18,626,7,10,5,29,7,21,90,18,121,48,9,28,7,3,19,1,10,5,39,58,4,20,2,7,41,14,15
Liver_GSE14520_U133A,10,8,21,19,18,6,144,9,7,6,36,7,175,20,18,48,9,52,11,3,34,67,4,13,4,38,17,42,6,16
Liver_GSE50579,60,8,11,33,59,48,12,106,13,56,57,28,11,44,11,7,33,25,44,64,59,24,10,47,24,35,15,29,7,87
Liver_GSE62232,5,10,5,1,1,5,103,1,4,4,49,7,85,7,50,11,2,1,2,2,1,4,3,43,4,28,35,5,2,17
Leukemia_GSE22529_U133A,53,6,7,37,49,6,30,48,102,33,35,6,9,24,22,16,35,50,3,5,22,22,7,5,153,20,5,30,13,60
Leukemia_GSE22529_U133B,6,24,5,32,35,50,34,55,29,45,38,19,28,19,33,26,81,10,5,1,31,33,62,56,37,1,31,11,55,60
Leukemia_GSE33615,33,51,4,26,21,41,39,38,12,62,53,59,3,40,48,55,37,26,77,33,36,30,12,12,12,55,114,47,35,39
Leukemia_GSE63270,6,51,4,28,4,5,23,67,2,7,26,18,114,12,26,34,4,131,54,9,5,41,64,10,37,4,2,8,35,5
ALL-AML-full,27,78,55,48,16,29,57,36,43,67,23,48,51,63,40,50,13,21,44,40,14,11,36,13,59,26,47,55,27,38
