Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,1.0,1.0,0.816496580927726,1.0,1.0,0.5773502691896257,1.0,0.816496580927726,1.0,0.7071067811865476,0.816496580927726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.816496580927726,1.0,1.0,0.7071067811865476,1.0,1.0,0.816496580927726
Colorectal_GSE32323,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7071067811865476,1.0,1.0,1.0,1.0,1.0,0.0
Colorectal_GSE44076,0.9,1.0,1.0,0.8944271909999159,1.0,1.0,1.0,1.0,1.0,0.9428090415820634,1.0,1.0,0.9486832980505138,0.9486832980505138,1.0,0.9428090415820634,0.8819171036881969,0.9486832980505138,1.0,0.9428090415820634,0.8944271909999159,0.9486832980505138,1.0,1.0,1.0,1.0,0.9428090415820634,0.9486832980505138,0.9486832980505138,1.0
Colorectal_GSE44861,1.0,0.816496580927726,0.7071067811865476,0.9128709291752769,0.816496580927726,1.0,1.0,0.5656854249492381,0.6324555320336759,0.6928203230275509,0.9128709291752769,0.9128709291752769,0.7745966692414834,0.7302967433402214,1.0,0.8944271909999159,0.8944271909999159,0.5656854249492381,0.6324555320336759,0.8944271909999159,0.816496580927726,0.7071067811865476,0.6324555320336759,0.9128709291752769,0.816496580927726,0.6928203230275509,1.0,0.8944271909999159,0.6928203230275509,1.0
Liver_GSE14520_U133A,0.8619942318412311,0.8258927081843613,0.97182531580755,0.9162456945817024,0.9162456945817024,0.97182531580755,0.8258927081843613,0.9428090415820634,0.9393364366277243,0.8574929257125442,0.9459053029269173,0.9162456945817024,0.9428090415820634,0.9162456945817024,0.9428090415820634,0.8498365855987975,0.9162456945817024,0.8574929257125442,0.9428090415820634,0.7231015260621872,0.7465089026901592,0.8606629658238704,0.97182531580755,0.9444444444444444,0.97182531580755,0.8888888888888888,1.0,0.9128709291752769,0.8498365855987975,0.8819171036881969
Liver_GSE50579,0.0,0.8451542547285166,1.0,1.0,1.0,1.0,1.0,1.0,0.9128709291752769,1.0,1.0,0.9258200997725514,0.0,0.8451542547285166,1.0,0.816496580927726,1.0,0.816496580927726,0.9128709291752769,0.0,0.9258200997725514,1.0,0.0,0.9258200997725514,0.9128709291752769,1.0,1.0,0.816496580927726,1.0,0.0
Liver_GSE62232,0.9428090415820634,0.7905694150420949,1.0,1.0,0.9354143466934853,0.9354143466934853,0.9354143466934853,1.0,1.0,0.9354143466934853,0.9428090415820634,1.0,0.9354143466934853,0.8660254037844386,1.0,1.0,0.8660254037844386,0.9354143466934853,1.0,1.0,1.0,1.0,0.9354143466934853,0.9354143466934853,0.8660254037844386,0.8660254037844386,1.0,1.0,0.9354143466934853,1.0
Leukemia_GSE22529_U133A,1.0,0.8660254037844386,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7071067811865476,0.8660254037844386,1.0,1.0,1.0,1.0,1.0,0.8660254037844386,0.7071067811865476,1.0,1.0,1.0,1.0,1.0,1.0,0.8660254037844386,0.0,1.0,1.0
Leukemia_GSE22529_U133B,0.8944271909999159,1.0,1.0,0.0,0.8660254037844386,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8660254037844386,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Leukemia_GSE33615,0.816496580927726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7071067811865476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8944271909999159,1.0,0.7071067811865476,1.0,1.0
Leukemia_GSE63270,0.816496580927726,0.9128709291752769,1.0,0.9128709291752769,1.0,0.7071067811865476,1.0,0.7071067811865476,1.0,0.8660254037844386,0.6324555320336759,0.9128709291752769,1.0,0.9128709291752769,0.8660254037844386,1.0,1.0,1.0,0.9128709291752769,1.0,1.0,1.0,0.9128709291752769,0.8660254037844386,0.816496580927726,0.9128709291752769,1.0,1.0,1.0,0.7905694150420949
ALL-AML-full,0.8944271909999159,0.816496580927726,1.0,1.0,0.8944271909999159,0.8944271909999159,0.8944271909999159,0.816496580927726,0.816496580927726,0.8660254037844386,0.7745966692414834,1.0,1.0,1.0,0.8944271909999159,1.0,0.5477225575051661,0.5773502691896257,0.7071067811865476,1.0,0.8944271909999159,0.8944271909999159,0.0,0.7745966692414834,1.0,0.7745966692414834,0.6324555320336759,0.816496580927726,1.0,1.0
Breast_GSE22820,1.0,0.9607689228305228,0.9607689228305228,1.0,0.9198662110077999,1.0,1.0,1.0,1.0,0.9574271077563381,1.0,1.0,1.0,1.0,1.0,1.0,0.9607689228305228,1.0,0.9198662110077999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9607689228305228,0.9607689228305228,1.0
Breast_GSE59246,0.816496580927726,0.6324555320336759,0.8944271909999159,0.6928203230275509,0.6928203230275509,0.9128709291752769,0.816496580927726,0.8660254037844386,0.7071067811865476,0.45643546458763845,0.7302967433402214,0.6928203230275509,0.8944271909999159,0.5656854249492381,0.8944271909999159,0.7905694150420949,0.8660254037844386,0.816496580927726,0.7071067811865476,1.0,0.7071067811865476,0.4,0.8944271909999159,0.6324555320336759,0.6928203230275509,0.9128709291752769,0.816496580927726,0.6123724356957945,0.8660254037844386,0.7071067811865476
Breast_GSE70947,0.6831300510639732,0.8451542547285166,0.7237468644557459,0.7037315505489968,0.7559289460184545,0.7590721152765896,0.8944271909999159,0.828078671210825,0.8251983888449983,0.7491491772643939,1.0,0.8017837257372732,0.8017837257372732,0.8251983888449983,0.7037315505489968,0.7928249671720918,0.7171371656006361,0.8251983888449983,0.816496580927726,0.8206518066482897,0.7559289460184545,0.816496580927726,0.8251983888449983,0.8251983888449983,0.7037315505489968,0.816496580927726,0.7590721152765896,0.7171371656006361,0.8563488385776752,0.8864052604279183
breastCancer-full,0.6,0.7745966692414834,0.7745966692414834,0.6,0.6928203230275509,0.7745966692414834,0.816496580927726,0.7071067811865476,0.7745966692414834,0.7745966692414834,0.7745966692414834,0.28284271247461906,0.5656854249492381,0.7745966692414834,0.8,0.6324555320336759,0.7071067811865476,0.3872983346207417,0.5477225575051661,0.4472135954999579,1.0,0.6928203230275509,0.4898979485566356,0.4472135954999579,0.4898979485566356,0.7745966692414834,0.7071067811865476,0.5477225575051661,0.5477225575051661,0.4472135954999579
Prostate_GSE6919_U95Av2,0.5976143046671968,0.5345224838248488,0.8451542547285166,0.2672612419124244,0.6666666666666666,0.5,0.5773502691896257,0.5773502691896257,0.7453559924999299,0.6454972243679028,0.6900655593423543,0.7559289460184544,0.6900655593423543,0.5976143046671968,0.4714045207910317,0.5773502691896257,0.4714045207910317,0.5773502691896257,0.408248290463863,0.7453559924999299,0.6546536707079771,0.5345224838248488,0.5345224838248488,0.4629100498862757,0.6454972243679028,0.6666666666666666,0.4714045207910317,0.7453559924999299,0.4714045207910317,0.7453559924999299
Prostate_GSE6919_U95B,0.6900655593423543,0.4364357804719847,0.7559289460184544,0.8451542547285166,0.5,0.4714045207910317,0.28867513459481287,0.6454972243679028,0.816496580927726,0.6454972243679028,0.4629100498862757,0.5345224838248488,0.5976143046671968,0.7559289460184544,0.7453559924999299,0.5270462766947299,0.3333333333333333,0.5773502691896257,0.5,0.7071067811865476,0.4879500364742666,0.6900655593423543,0.6172133998483676,0.3779644730092272,0.7453559924999299,0.408248290463863,0.4714045207910317,0.7453559924999299,0.9128709291752769,0.6454972243679028
Prostate_GSE6919_U95C,0.8333333333333334,0.816496580927726,0.28867513459481287,0.0,0.4714045207910317,0.7071067811865476,0.4472135954999579,0.4472135954999579,0.3651483716701107,0.5773502691896257,0.5773502691896257,0.7071067811865476,0.408248290463863,0.408248290463863,0.7453559924999299,0.7302967433402214,0.6324555320336759,0.5477225575051661,0.5477225575051661,0.7302967433402214,0.7453559924999299,0.3333333333333333,0.8333333333333334,0.4714045207910317,0.6454972243679028,0.31622776601683794,0.7302967433402214,0.6324555320336759,0.6324555320336759,0.4472135954999579
Prostate_GSE11682,0.7071067811865476,0.0,0.0,1.0,0.0,0.7071067811865476,1.0,1.0,0.0,0.0,0.7071067811865476,0.7071067811865476,0.0,1.0,0.7071067811865476,0.7071067811865476,1.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865476,0.7071067811865476,1.0,0.0,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
prostate_tumorVSNormal-full,0.7071067811865476,0.8539125638299666,0.5400617248673216,0.5,0.9354143466934853,0.4564354645876384,0.4472135954999579,0.4879500364742666,0.6172133998483676,0.9128709291752769,0.6454972243679028,0.5,0.8660254037844386,0.6123724356957945,0.6454972243679028,0.6123724356957945,0.5477225575051661,0.4364357804719847,0.6900655593423543,0.3779644730092272,0.4564354645876384,0.408248290463863,0.7905694150420949,0.7637626158259733,0.3535533905932738,0.816496580927726,0.5477225575051662,0.9258200997725514,0.8451542547285166,0.7559289460184544
Colorectal_GSE25070,2,7,2,1,4,4,3,1,5,3,4,3,2,4,6,1,4,3,4,5,4,1,2,3,2,4,1,4,2,1
Colorectal_GSE32323,2,2,3,2,2,4,2,1,2,2,1,2,2,1,2,2,4,1,4,2,1,2,3,2,1,2,2,4,2,3
Colorectal_GSE44076,2,2,3,2,2,2,2,2,2,2,3,2,4,1,3,2,2,2,2,3,2,2,2,2,1,6,2,2,2,5
Colorectal_GSE44861,3,3,2,3,4,2,3,3,2,2,4,4,3,2,4,4,3,3,1,4,2,5,1,2,2,1,3,4,4,4
Liver_GSE14520_U133A,3,1,2,2,2,1,2,2,3,2,4,2,1,3,3,2,2,2,2,2,3,5,2,3,2,2,1,3,2,4
Liver_GSE50579,3,1,2,5,3,1,2,2,3,3,5,3,3,2,3,3,2,1,4,3,5,3,2,4,3,4,5,1,2,2
Liver_GSE62232,5,2,2,1,1,2,3,1,1,2,5,3,2,1,2,2,1,1,1,1,1,2,2,9,1,2,2,2,2,2
Leukemia_GSE22529_U133A,3,1,1,4,1,2,4,4,1,4,1,2,3,2,4,2,5,2,1,1,6,4,2,1,58,2,1,2,2,5
Leukemia_GSE22529_U133B,1,3,1,3,4,4,5,5,2,5,1,3,3,3,3,3,21,2,1,1,4,3,3,3,4,1,2,3,3,5
Leukemia_GSE33615,2,3,1,2,4,5,5,2,2,1,2,5,1,3,4,4,2,4,2,3,2,2,3,3,4,3,2,5,1,4
Leukemia_GSE63270,1,3,2,5,2,2,2,3,2,2,3,4,35,2,3,3,2,2,2,2,3,3,20,1,2,2,2,3,6,3
ALL-AML-full,2,4,4,4,3,4,5,5,4,6,3,2,3,5,5,5,2,3,3,4,2,2,4,3,2,4,2,4,4,3
Breast_GSE22820,4,5,3,2,2,3,2,5,2,4,2,2,4,6,2,3,2,1,2,3,4,3,6,4,3,3,4,2,4,2
Breast_GSE59246,6,4,5,7,3,5,5,2,3,4,4,4,6,5,3,3,3,3,4,5,3,5,5,2,3,5,4,5,7,2
Breast_GSE70947,2,6,3,2,3,4,5,3,4,3,2,5,2,2,4,4,3,2,1,2,2,3,2,1,2,2,3,3,3,4
breastCancer-full,3,3,2,3,4,3,5,2,5,3,1,4,4,5,5,2,7,1,5,2,2,3,6,3,3,4,1,4,3,6
Prostate_GSE6919_U95Av2,3,6,2,7,4,2,5,5,2,2,4,2,7,4,3,3,3,2,3,3,6,4,2,3,8,4,5,3,5,3
Prostate_GSE6919_U95B,2,6,5,4,4,5,5,6,5,5,5,5,4,9,2,4,5,3,4,7,5,4,3,3,5,5,4,6,3,5
Prostate_GSE6919_U95C,4,5,4,3,3,5,4,5,4,3,4,6,2,2,4,6,5,3,4,4,5,4,5,4,5,5,7,4,7,5
Prostate_GSE11682,3,1,2,2,3,5,3,2,1,2,2,5,3,2,1,1,2,4,4,3,6,4,2,2,3,1,2,6,3,3
