Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,593.0048433558651,592.1113551856076,590.8990876559674,593.4860205285943,593.1201925035261,587.0700071106851,593.3167927578896,591.6428353611202,591.1679163907033,591.0895276670068,590.5606164877823,592.2607235404487,591.4573133352186,593.1028723554758,592.9619278334774,591.8810108813852,592.7140595165911,592.1696776988877,593.1051707336163,592.7123122751251,593.3736783341263,591.4959529284431,592.0418125572768,591.2735748023964,593.114585355033,593.0186960720748,592.3412037434504,592.4729388179693,592.8285538778943,591.6182520840176
Colorectal_GSE32323,591.9749686497518,591.9086524995749,592.6553684962463,592.3062951433228,592.4111614602035,592.479775169301,591.9652502688639,593.0116579473262,592.3901991742292,592.187885391985,592.1660806822557,592.9380949155913,593.0793242808143,592.0371523696102,591.767006711998,592.5774735825415,592.1412146749068,592.3606746646249,593.3060952931215,591.6517274335497,592.7988647708614,592.8745768950091,592.1601820352463,591.8442597451059,592.6007244633138,592.1948466363286,592.475046721284,592.1139965759039,591.7218528899999,591.9846777769976
Colorectal_GSE44076,591.3509451989346,592.8060789497268,593.5599025755533,592.6990727486184,592.6467571468704,592.1298961060229,593.4261620264222,592.454761508216,592.2508115383378,592.8572593847147,593.535924235508,592.3498312833103,593.2598340823893,592.7377943383567,593.1254821537323,592.5436434941004,591.9891182932109,592.028646746534,592.1808691339598,592.416500239138,591.3399769905368,591.8035221177665,592.2654559733667,592.4020092057034,592.4079902666223,593.1404624313578,592.7414605410387,591.6705140415067,591.8152740570563,593.0816120421356
Colorectal_GSE44861,591.557766470652,590.0059044216847,590.015174204664,591.5625837060779,591.1142861996465,591.6624699893658,591.590186644865,590.5143764169802,588.4688360282163,587.9277201006015,591.4641175273459,588.8552564330383,591.1169057373193,589.6960832840722,592.6141738934897,590.7459085022341,591.9568295541501,588.4759880848756,589.7955726659666,590.4697763031002,590.615454358372,588.1675918230252,590.066058639284,591.4052475664945,590.5868728433435,592.0310077878817,591.3814019683699,590.2552791511688,589.1710500663884,592.163017250874
Liver_GSE14520_U133A,590.8469462037955,590.7933511111804,592.2161223085287,591.1903013261721,592.634964627233,590.3258201961559,590.6088605915394,591.4578165950298,591.2172901156823,590.2362292921121,591.9486093195159,591.3582172782923,590.7032416616471,591.2777284055911,591.2378764452347,591.1562699322212,591.6613692093355,590.7569435332997,592.1581951619593,589.4743272013324,589.4690312980525,590.6025095019977,590.2790710484334,591.0520192298293,590.9311164294332,591.5803358677641,591.6787162769355,591.3922659841741,590.9330961679068,591.6927954583437
Liver_GSE50579,592.6613212334012,591.8559744077309,592.5787427024131,593.3189624572991,592.098198502808,592.0037819582249,592.6243484810612,592.6072860271704,592.45482362085,593.0300416589113,593.2199770675753,591.2891369137957,591.1174285326289,591.7864245239251,593.0366935566908,591.571032518514,591.7185100529051,593.2656696445872,592.6769226370599,591.7699382843831,591.2129461947112,592.6583335309325,590.9636744235556,592.7079555153284,589.9936512233955,593.170462373744,593.2104480820218,592.0892026576296,592.5418593855907,592.4751343803913
Liver_GSE62232,592.3384188222337,590.7163152728489,592.3195230873655,592.9334064403291,592.889205312151,592.621870361331,592.1568166625292,592.8776174248954,592.7278800087101,592.1924566405752,592.7721499463694,591.1992405537698,592.9622553752434,592.6264948280733,593.2545308314886,592.297197197634,591.8702493357883,593.2139032961121,593.2723225460552,592.8380596095583,592.9662052632934,592.8923798398647,592.7061642544429,592.50654155031,591.4706703994505,592.1209039332764,593.6987408610514,592.9182766491286,592.5756966607568,592.7546389670955
Leukemia_GSE22529_U133A,592.4633277925182,593.3997440905282,593.3442935631666,586.6117681688247,593.2783330538023,592.3961760076314,592.7476213455068,593.1914853896924,592.7061762483838,593.0149494738105,588.7154052265493,592.2500095712105,591.5946155043439,592.4014170038126,592.2818922931554,592.2212954881222,592.9704393715783,593.311637573792,593.4029560391758,592.2437443929439,593.162379791493,592.8347020940746,592.956783351404,592.284666721781,592.9875437379458,593.1386397689831,592.5942560704678,589.7662315255816,592.0952030272979,593.0205174439172
Leukemia_GSE22529_U133B,592.9734480232514,593.0058676392571,593.0028009445862,590.5265874093038,592.8266406648581,592.7980365216926,592.5901252479044,592.9789567745916,592.4074692665986,592.3346838849309,591.1535649780743,592.6006374078115,593.0473935743221,593.0652534821546,592.7095359860792,592.840258544785,592.5602929186784,592.1417543875988,593.3206580087316,593.4590213119072,592.6712639542405,592.7341658233231,593.1456949480643,592.9691828130512,592.5524529042038,592.7007944078539,591.8547888520095,586.2062317143017,592.5034008266795,592.7595055641157
Leukemia_GSE33615,593.5119555786987,592.1790078434109,592.2217639985377,593.3377131402391,593.1816422514636,593.4434427841122,593.09024753771,593.4637864910874,592.2627167748304,593.378318291995,593.4967880994767,593.5861043237326,592.8173326918773,593.3540451629648,592.8918807826595,593.381890682828,593.5425019697044,593.2575346604632,592.0595878648699,593.0201373725124,593.3970605762202,592.8854999438702,592.8460761964096,591.3278534532271,592.5565615678721,591.9703371051023,592.4506099643655,592.7130493776947,592.8768276797243,592.5982549356544
Leukemia_GSE63270,591.9291056919235,592.8130960315011,592.9700813168347,591.7705621339039,592.8331846142081,591.6849801871684,592.6031069757164,591.5918671268869,592.0628689679256,590.8188600007998,591.4780691239217,591.7030398904666,593.3245078378014,591.8906478706197,592.7835143478555,592.2513240278162,592.9484653012149,591.7780655028929,590.9473708182343,592.1850410300245,591.2904414387581,593.0377599984714,592.5619463100383,591.979051307148,591.1761230800826,591.6692229736379,592.7071398140946,591.6831024231856,593.1357905042214,591.7354455206226
ALL-AML-full,590.9420028297611,590.4691540244336,592.5643453119146,593.0894101568274,590.0968016829777,591.8425522085238,591.8672231051459,591.1584889502599,590.8204404925125,591.6635750446061,590.6372745578582,592.4176608206006,593.264770419654,592.1618511153245,591.1730201514372,593.3184720584061,589.7716998523878,591.3257551226508,589.5672351272237,592.6745296226723,590.5566522901472,590.308566749183,590.2679580513415,590.2515210513216,591.7791662143283,592.0602515623827,591.1514682415526,589.7844405268908,592.9328567446144,592.3940952745413
Breast_GSE22820,592.9886382511777,593.1527177133204,593.3955822805799,590.9434616182875,592.3781549292264,593.3304686322628,593.6535754032955,593.418473849938,593.1123740986897,592.7040696264036,592.7214554356179,591.7915807874896,593.1408008253978,593.6578264299285,592.2658406289937,592.2921512664614,592.9022487066339,593.2944846467187,593.5527107153761,593.4747931808487,593.5201139196091,593.5185819841159,593.4548458450557,593.1141284607722,593.5952213393635,593.0883780777683,590.6547232483285,592.8897983877192,592.6159120172907,591.8515392380924
Breast_GSE59246,589.4556837297365,590.202897111069,590.6663498316179,588.2915732388241,590.0816151088354,590.0643847795769,590.681216231287,590.7915834368542,589.3742804832268,589.012239719188,589.1103005029171,589.5594320572146,590.1374160234251,588.8267945774236,589.2791776127126,590.7046644424391,590.8899424974176,589.5466097838429,590.0922525560777,591.2628246366119,591.0212668155147,589.9665362125746,589.3552044786054,590.3834405159433,590.8008985341444,589.2190119273599,589.9300379698639,588.1313333997023,590.0981883046259,590.0883601253967
Breast_GSE70947,589.6039206898109,590.321118423857,589.2142352975446,588.6997122533794,589.7183141834028,588.5859486230416,591.4664718064631,590.2142051403251,589.8855448460102,589.1052732653833,591.8298288885045,590.0076645437989,590.4408449952685,589.2398938126427,588.6994858391712,590.3391395157125,589.0592250323878,590.2490726267977,590.1961885308984,590.5262109344466,590.0857839381541,589.855897489567,590.5575997476907,590.1334792083361,588.8513262220026,590.2786797379077,590.3531635707074,589.7698753065278,590.3392107819758,590.0036616982081
breastCancer-full,589.9293294937266,588.5722887404303,587.3193556139988,588.7057909430241,588.9913100606192,587.9385206347577,589.5660617740984,589.665451920685,589.9059979679009,590.2497435545606,589.8151549643617,587.0930343101611,587.8885536738796,589.5213313195119,589.3542213237514,588.1323719510048,589.055192280504,589.0385847420922,588.8436827011402,588.1748451599306,592.2146612434686,589.9762401765681,588.5835912295388,588.9430328912557,589.475989473547,589.6476061945,588.7873225458362,588.6758741863636,588.0401981601149,589.0718286670711
