Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,593.011013958752,592.0835655619874,589.6508480733023,593.4731750910032,593.058789666594,578.7714693955913,593.3167927578896,590.7691789333709,590.482534540229,589.8079161945775,582.4903869705835,590.3085350787233,591.3080696704202,593.0383953223926,592.8871503547824,589.426818198654,592.6404039885037,592.1696776988877,593.1051707336163,592.5529004782462,593.3928665176802,578.5888623678039,592.0418125572768,591.1965079046673,593.1153108843866,593.018781420712,592.2199518444834,590.6223061685238,592.7742438585965,588.8937758274611
Colorectal_GSE32323,588.9714110799252,591.8826881645809,592.622153773069,590.1366208261106,591.0253517212128,592.3179561377972,591.8287646684338,593.0116579473262,586.00769478799,590.5803699111125,587.1390282879665,592.9489594006457,592.5965760170968,591.3545054827142,590.6446022455974,590.6717457951698,591.3728089812175,584.5546491322875,592.9553192545812,590.8944339965313,592.8349511841203,592.9148884504302,591.3206216157865,590.9431974594339,592.6313982756352,592.1685107108871,592.1045749026307,592.1549021870707,589.5148446983461,586.1946169149703
Colorectal_GSE44076,591.3536203537394,592.6530802669168,593.5602803505575,592.6990727486184,592.6467571468704,591.5802020121283,593.4253560851259,592.454761508216,591.8472119364402,592.8799990119236,593.5643816100004,592.3498312833103,593.2508629247238,592.7377943383567,593.1164262574871,592.5436434941004,591.8625435504555,591.7647795799759,592.1799519033997,591.9810252890414,591.3333585592277,591.51111647209,592.0901546896926,592.3261072056569,592.4079902666223,593.0186029443257,592.4715895863687,591.6702505651311,591.7807573321203,593.0248373789818
Colorectal_GSE44861,591.5531682970844,588.59983275614,589.5421153939519,591.5502059403069,591.1194712851807,591.5568400502675,591.5904798103365,589.9267409507596,586.9673687586591,581.6256719069869,591.3818465681635,588.5359264616465,590.0550927764154,588.5200621907713,592.4581198931885,589.0134021885748,590.5491821927554,588.3392130204614,588.5105739899792,590.4221035396478,589.795523983873,585.878474182799,586.7483311783261,590.1333248978498,590.0779429709854,590.622121739896,590.9244477812739,588.9827664496971,588.9982088632338,589.6913974112797
Liver_GSE14520_U133A,590.5623691026301,590.6529292439492,592.2161223085287,590.3176448976235,592.634964627233,589.8035748219846,590.6088605915394,591.4578165950298,590.9349299312747,590.2304616575151,591.5207676174671,591.3576055736952,590.3591310387369,591.2768893539119,591.2286942841448,589.8676985806486,591.6089607376479,589.8078186547962,591.2634251211232,587.2691664407847,588.9610875301679,590.0494688129243,590.2714871351133,590.6895004811093,590.9058173779317,591.5803358677641,591.6787162769355,591.3832227584005,590.9330961679068,591.3401962462392
Liver_GSE50579,592.5746193366408,591.7920483858911,592.004877105307,593.205754865075,591.5132791279622,590.1673522052057,592.4312272625542,592.4519447864704,587.889553339209,592.975961084253,592.7849039745117,590.8353670239529,590.2294139510099,589.8564472658904,592.6424858631747,588.2078949097684,591.2767591586473,593.2261730149422,592.6445156601217,591.6437610585064,591.0360943524286,592.5722568600718,588.4614420218993,592.6618021689366,588.9590316583209,592.8026710467352,593.098858836485,590.7989164354575,592.5418593855907,580.1556855991414
Liver_GSE62232,591.9471943351735,590.0929417765061,592.1151850285983,592.5029883565771,592.889205312151,591.8221700283535,591.826190638563,592.5494791658916,591.6473799083197,591.9462379100189,592.803274635652,591.1899905505325,591.1534597874145,588.1889240214034,593.2731971860566,592.297197197634,590.5674986606042,592.4582084120955,592.5886207493284,592.7702400686208,592.5293747889228,592.7721614049714,591.2541787688097,591.851119729985,591.4706703994505,591.7858066620972,593.6531802401337,589.4154578633056,592.2332904430903,592.7546389670955
Leukemia_GSE22529_U133A,591.9293693625476,591.9792726399681,593.367199815905,584.0648221444147,593.2739059655555,586.6534553836913,592.584597099317,593.1081362798283,592.6818637760477,592.9471259325378,558.909042822636,591.6597461927479,591.3618696890812,591.9594862687679,592.2161719299503,592.2125779600067,592.9654223889224,593.326292547685,593.407579547256,591.1971375171588,592.9853997987742,592.4800788638348,592.5921013715002,591.7797262462684,592.8874789805102,593.138697747912,590.9061513666995,575.2475630371185,591.5003751579225,592.9766437247229
Leukemia_GSE22529_U133B,592.2433871093056,593.0707717774617,592.7537936118277,581.968670709752,592.841493406666,592.7669201011983,592.5220208824907,592.948444679304,591.7415438415615,591.4698009077542,553.4648186798023,592.6006374078115,592.8662082278875,592.8063710333713,592.7616891905719,592.8307800979454,591.8297843370128,591.1923681560593,593.3333143524713,593.4586138403691,592.6581541212432,591.895499115009,593.0956539018945,592.9685442357488,592.5585259216214,592.5812819566261,591.6305672499958,580.693531623911,592.5034008266795,592.7415580542789
Leukemia_GSE33615,592.4905227179872,592.1129478025844,592.2217639985377,593.3379227563669,593.0674472429848,593.4193432149482,592.9801492863002,593.4637864910874,592.1873978229681,593.4093589884187,593.4751226186614,593.5124370888609,592.8173326918773,592.0074771700458,592.7705413923834,593.3811925634157,593.5654626578747,593.2754448442994,591.5708947540284,592.7730306868755,593.3558829588173,592.9277432055118,592.841301516784,591.3502207514911,592.2780335126398,591.6612065080349,591.7791178316668,580.2709185435519,592.7514278324337,592.435926921498
Leukemia_GSE63270,589.6291032142066,592.6918765515003,592.2500794144378,591.3929734937237,592.8331846142081,590.4322139476814,592.4903292299712,589.541900366142,591.8896706882315,590.486640948586,591.4046256420224,591.4033401508477,593.2783838053634,590.8482822569491,591.4448318455375,592.2475475966762,592.9484653012149,591.7410105289921,590.1483213460282,591.4748850885854,590.2679187482177,592.9249423608834,592.461629198425,590.6691272076959,590.0604598876956,591.6692229736379,592.2613666356843,591.6802756490231,593.1294368400107,590.838041282176
ALL-AML-full,590.0213268940163,589.8322893627528,592.5505245621874,593.0477577494763,589.4442322735126,591.835287278084,591.8041492316452,590.6815082816693,589.3671690620005,591.5406678739912,590.379170063683,592.0136586072457,593.2142244514307,591.9871993833094,591.1747865083416,593.3158608878905,586.8561050121483,590.9635859106581,588.5402075179688,592.0485574884235,588.5763787214601,590.2368571280932,589.3058126093661,589.7080770909982,591.7162856461991,591.9942405017141,590.6430791809645,589.8157000753126,592.6232901246899,592.3869532420644
Breast_GSE22820,592.8027482868137,593.1529333010737,593.3450721049286,586.0586793971094,592.0468660144707,593.3812697575111,593.6689461842677,593.2785458364206,593.0738854841422,592.0522458673943,592.6053693073106,591.0670995319616,593.1758058706731,593.610717374044,592.2475860178256,592.4274929017735,592.7298131437584,592.934403906923,593.5363484084504,593.4348593468783,593.5172407126781,593.4680402175259,593.4181158498285,593.1094094288277,593.5522006091145,593.0711406836086,587.1991351375284,589.9334832969121,592.6022671534223,591.6677946705156
