Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,0.07129303365945816,0.15239107608795166,0.3843713700771332,0.0026730457320809364,0.021962802857160568,1.8972729444503784,0.04898888245224953,0.23808781802654266,0.2612841725349426,0.34693557024002075,1.4133918285369873,0.2990435063838959,0.24499468505382538,0.01894494704902172,0.04784698039293289,0.3839017152786255,0.0646882951259613,0.18722087144851685,0.0631585493683815,0.10471352934837341,0.003290157299488783,1.606788158416748,0.1526338756084442,0.20638930797576904,0.02216305583715439,0.09016073495149612,0.19070136547088623,0.2053505778312683,0.04473305121064186,0.43702226877212524
Colorectal_GSE32323,0.42581284046173096,0.32538852095603943,0.04941380023956299,0.2780001759529114,0.1595861315727234,0.14513112604618073,0.05369102209806442,0.08889546245336533,0.5685880184173584,0.09538853168487549,0.5779018402099609,0.010350186377763748,0.05071081966161728,0.10968942940235138,0.1625097692012787,0.07594972103834152,0.07452349364757538,0.9558009505271912,0.04038125276565552,0.04870818927884102,0.025272032245993614,0.042869262397289276,0.07662618905305862,0.1903337985277176,0.02904411032795906,0.07721555233001709,0.029629284515976906,0.06788361817598343,0.3324618637561798,0.9412005543708801
Colorectal_GSE44076,0.2531878352165222,0.15586012601852417,0.02102653682231903,0.1117292046546936,0.10882207751274109,0.21745702624320984,0.022105053067207336,0.13841645419597626,0.17083251476287842,0.1300266683101654,0.026934605091810226,0.15240314602851868,0.11115807294845581,0.1121843010187149,0.06418745219707489,0.12182093411684036,0.19275067746639252,0.22429585456848145,0.1664835810661316,0.27640441060066223,0.25468698143959045,0.22882342338562012,0.1601279377937317,0.1498125195503235,0.12772688269615173,0.05786681920289993,0.10988791286945343,0.21952828764915466,0.20522108674049377,0.0747469812631607
Colorectal_GSE44861,0.2081754505634308,0.50593501329422,0.4353405237197876,0.2205514907836914,0.3753407299518585,0.22148893773555756,0.19969427585601807,0.42463451623916626,0.6827775239944458,1.2131249904632568,0.22287718951702118,0.5204741954803467,0.4351429343223572,0.5235288143157959,0.16667315363883972,0.48952916264533997,0.2663157880306244,0.7327629327774048,0.7034484148025513,0.3934924900531769,0.41147828102111816,1.048624873161316,0.7117716670036316,0.36224424839019775,0.3987230062484741,0.3139984607696533,0.280303418636322,0.4693787693977356,0.4680556058883667,0.4358990788459778
Liver_GSE14520_U133A,0.3339751362800598,0.315196692943573,0.17190861701965332,0.35155802965164185,0.16200311481952667,0.4152657091617584,0.3280896544456482,0.23960724472999573,0.2939329445362091,0.3666866421699524,0.271714448928833,0.25241753458976746,0.35674387216567993,0.25987666845321655,0.2614421546459198,0.3944630026817322,0.25037842988967896,0.40811556577682495,0.2531638443470001,0.669707179069519,0.49297118186950684,0.4520411193370819,0.3658868968486786,0.32503747940063477,0.2992199659347534,0.22566494345664978,0.21943530440330505,0.248382568359375,0.29899343848228455,0.25894200801849365
Liver_GSE50579,0.3570793867111206,0.17288845777511597,0.09569649398326874,0.020859217271208763,0.1484617292881012,0.33397865295410156,0.10197949409484863,0.030218640342354774,0.644254744052887,0.01636197417974472,0.04654369503259659,0.2574480473995209,0.7413910031318665,0.29229193925857544,0.12440604716539383,0.5015132427215576,0.21382704377174377,0.006066960282623768,0.081138975918293,1.5035020112991333,0.3912944793701172,0.0855657160282135,0.5899285078048706,0.14944584667682648,0.42705798149108887,0.48127466440200806,0.045515142381191254,0.25411924719810486,0.45900243520736694,1.31239914894104
Liver_GSE62232,0.196781188249588,0.486694872379303,0.13627669215202332,0.1097932681441307,0.06880155950784683,0.1819283366203308,0.13541367650032043,0.08673718571662903,0.19924023747444153,0.15543323755264282,0.09232370555400848,0.24498599767684937,0.2377339005470276,0.5220988988876343,0.031630367040634155,0.12170597165822983,0.2786175310611725,0.10819144546985626,0.10056160390377045,0.06306780874729156,0.10894197225570679,0.17557385563850403,0.23610548675060272,0.17938752472400665,0.22296631336212158,0.19723600149154663,0.015159165486693382,0.42221131920814514,0.1325135976076126,0.06367764621973038
Leukemia_GSE22529_U133A,0.09612014144659042,0.16768428683280945,3.201493978500366,1.5862212181091309,0.013900348916649818,0.6572445631027222,0.07023674249649048,0.03677225112915039,0.06084839254617691,0.03404699265956879,4.153196811676025,0.2780146598815918,0.19848275184631348,0.21132519841194153,0.12035483121871948,0.12645113468170166,0.07796774059534073,0.013279612176120281,0.0035230640787631273,0.14542892575263977,0.02389346808195114,0.07080520689487457,0.2977961003780365,0.161879763007164,0.18593871593475342,0.0055200885981321335,0.19620904326438904,2.3998165130615234,0.1976575255393982,0.12208059430122375
Leukemia_GSE22529_U133B,0.6164751052856445,0.038668617606163025,0.02047201618552208,2.1532514095306396,0.061388153582811356,0.056816909462213516,0.1331314891576767,0.04434644430875778,0.1667095124721527,0.09938478469848633,4.791364669799805,0.23308974504470825,0.03605848550796509,0.08033248782157898,0.13733525574207306,0.21007229387760162,0.04627981036901474,0.21523131430149078,0.004391341935843229,0.0009745878633111715,0.10238450765609741,0.47118905186653137,0.01739664189517498,0.05859970301389694,0.11377675831317902,0.02702956646680832,0.2308599054813385,1.23516845703125,0.08758842200040817,0.08915001899003983
Leukemia_GSE33615,0.2900451719760895,0.12948442995548248,0.11016209423542023,0.014280534349381924,0.021206261590123177,0.0047961329109966755,0.023762091994285583,0.062092751264572144,0.05545585975050926,0.0007602578843943775,0.005523236934095621,0.002335467142984271,0.03854125738143921,0.1940651386976242,0.09299435466527939,0.006075561977922916,0.011447874829173088,0.010130839422345161,0.19020657241344452,0.04233872890472412,0.008664393797516823,0.06935608386993408,0.05147207900881767,0.19322776794433594,0.08782284706830978,0.19991891086101532,0.08382032811641693,1.4541418552398682,0.04551124572753906,0.06994656473398209
