Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,0.12280813604593277,0.2056262046098709,0.4472593069076538,0.21049544215202332,0.1100383996963501,1.9049794673919678,0.08976726233959198,0.33991676568984985,0.3469090163707733,0.5135186910629272,1.074561595916748,0.37287476658821106,0.2561260759830475,0.12582451105117798,0.11898347735404968,0.21403929591178894,0.275046706199646,0.3116134703159332,0.15847569704055786,0.22882422804832458,0.07664551585912704,1.7802714109420776,0.24301418662071228,0.2780279517173767,0.09049715101718903,0.17774024605751038,0.5010366439819336,0.3207928538322449,0.12351438403129578,0.5157802104949951
Colorectal_GSE32323,0.35832643508911133,0.2108587622642517,0.13474103808403015,0.35460731387138367,0.21903617680072784,0.316500186920166,0.24459096789360046,0.5625353455543518,0.5497682094573975,0.31425750255584717,2.0006651878356934,0.12691015005111694,0.16449949145317078,0.7077163457870483,0.5922083854675293,0.3338877856731415,0.18987537920475006,0.1655884087085724,0.09573148190975189,0.27413034439086914,0.12378118187189102,0.11412224918603897,0.21561691164970398,0.35756146907806396,0.21512366831302643,0.18372341990470886,0.18310226500034332,0.34173715114593506,0.3331719636917114,1.0052459239959717
Colorectal_GSE44076,0.3263204097747803,0.12044037878513336,0.057874832302331924,0.19497811794281006,0.13635925948619843,0.18833279609680176,0.07585972547531128,0.15525418519973755,0.190954327583313,0.16170062124729156,0.04584428668022156,0.1664784550666809,0.1260366588830948,0.12749551236629486,0.08777140080928802,0.1466420441865921,0.21372529864311218,0.24897444248199463,0.185054212808609,0.2023828625679016,0.2681088447570801,0.2502524256706238,0.19193890690803528,0.19030024111270905,0.16080905497074127,0.1321040689945221,0.14115752279758453,0.23510517179965973,0.2237509936094284,0.09494613111019135
Colorectal_GSE44861,0.3046800494194031,0.4061770439147949,0.5587027072906494,0.3652135133743286,0.3912716507911682,0.24463161826133728,0.25854986906051636,0.5397868752479553,0.8044151663780212,1.2488932609558105,0.2757931053638458,0.5499529242515564,0.42522159218788147,0.6626671552658081,0.17304980754852295,0.44562774896621704,0.304526150226593,0.7571814656257629,0.6817460060119629,0.4585183262825012,0.4725067615509033,1.6603127717971802,0.620975911617279,0.328672856092453,0.48515936732292175,0.46037817001342773,0.34450823068618774,0.5054168105125427,0.5368447303771973,0.2712191641330719
Liver_GSE14520_U133A,0.3248338997364044,0.33808794617652893,0.17942944169044495,0.2826792895793915,0.1730523407459259,0.41852128505706787,0.35359328985214233,0.2645033895969391,0.3167280852794647,0.38057106733322144,0.28454169631004333,0.26531490683555603,0.36776453256607056,0.2739151418209076,0.27955979108810425,0.3986746370792389,0.26509740948677063,0.4233560860157013,0.2537901699542999,0.5549312829971313,0.5047146081924438,0.478880912065506,0.3756583034992218,0.35389646887779236,0.312839150428772,0.26269063353538513,0.2344730943441391,0.2620728015899658,0.3315499424934387,0.24799573421478271
Liver_GSE50579,1.3965563774108887,0.8106943368911743,0.32439637184143066,0.08295945078134537,0.24502649903297424,0.20163817703723907,0.13992348313331604,0.15610761940479279,0.6206925511360168,0.4252665936946869,0.1129813864827156,0.33045512437820435,0.5447791814804077,0.4260903000831604,0.21386393904685974,0.49230849742889404,0.26616570353507996,0.2873098850250244,0.3136337995529175,1.6836817264556885,0.3088318407535553,0.1345781832933426,0.8223316669464111,0.19408215582370758,0.4030093550682068,0.1970035433769226,0.16401363909244537,0.6251546144485474,0.26295432448387146,2.293987989425659
Liver_GSE62232,0.21939486265182495,0.5257521271705627,0.2804991602897644,0.10773671418428421,0.2356715053319931,0.17787502706050873,0.21827512979507446,0.14651724696159363,0.1284969598054886,0.27230286598205566,0.13142690062522888,0.3133987486362457,0.2850317060947418,0.5869773626327515,0.07496510446071625,0.17520436644554138,0.34671729803085327,0.20083335041999817,0.14256355166435242,0.12432637810707092,0.14854799211025238,0.12401130795478821,0.1984846591949463,0.22909995913505554,0.2554878294467926,0.22311672568321228,0.03522460535168648,0.10924749821424484,0.22211125493049622,0.1257275938987732
Leukemia_GSE22529_U133A,0.2276708483695984,0.3723415732383728,0.4434557855129242,1.663501262664795,0.11269862204790115,0.2947826385498047,0.15478765964508057,0.13974866271018982,0.1331450641155243,0.10656694322824478,2.264946222305298,0.34867629408836365,0.30454689264297485,0.18272393941879272,0.20788955688476562,0.17949075996875763,0.15062054991722107,0.08419060707092285,0.2720677852630615,1.0706316232681274,0.10003936290740967,0.1515572965145111,0.12569285929203033,0.2671075463294983,0.22656458616256714,0.1086592823266983,0.342507541179657,2.545069932937622,0.2521619498729706,0.15250180661678314
Leukemia_GSE22529_U133B,0.3118930459022522,0.16971124708652496,0.12173042446374893,1.4021432399749756,0.2099703550338745,0.1569094955921173,0.1529684066772461,0.12183818966150284,0.22718438506126404,0.29325729608535767,4.860352039337158,0.2388654351234436,0.1361156702041626,0.17958763241767883,0.18878908455371857,0.27401286363601685,0.23390896618366241,0.2830541431903839,0.1483214795589447,0.224678635597229,0.2312873750925064,0.3987526595592499,0.08992505818605423,0.1163380891084671,0.19866788387298584,0.4798077344894409,0.3980640172958374,0.8899935483932495,0.17584100365638733,0.1307329684495926
Leukemia_GSE33615,0.18703271448612213,0.18783915042877197,0.17961978912353516,0.06913688778877258,0.08225468546152115,0.060843273997306824,0.1168975904583931,0.10275416821241379,0.18280670046806335,0.06506888568401337,0.05351738631725311,0.059941478073596954,0.11946133524179459,0.2597236633300781,0.11259950697422028,0.06148773804306984,0.05721823498606682,0.10324200242757797,0.24381378293037415,0.20204201340675354,0.06143466755747795,0.125647634267807,0.11583596467971802,0.31849002838134766,0.1731787621974945,0.29880043864250183,0.22261813282966614,0.735149085521698,0.12611839175224304,0.19016271829605103
