Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,413.3348345756531,264.05451560020447,300.98759269714355,1048.3911066055298,425.9729609489441,374.85335755348206,386.5857443809509,1628.8147609233856,238.88523030281067,174.8396348953247,307.72370624542236,143.58229517936707,169.28972816467285,268.1689884662628,243.2482044696808,140.28436923027039,208.1674017906189,132.88863325119019,297.80425477027893,288.58626413345337,417.7199854850769,811.2405140399933,166.46299648284912,201.6706507205963,356.214546918869,210.8972852230072,152.8434875011444,136.38841819763184,433.77180218696594,183.408616065979
Colorectal_GSE32323,157.0307183265686,221.58020281791687,197.16498112678528,141.50280714035034,148.2101809978485,226.06042647361755,255.09359908103943,397.88421869277954,260.9705948829651,157.2465147972107,163.0349531173706,348.3435266017914,203.513573884964,174.01883721351624,313.7249279022217,252.67793011665344,204.93199276924133,451.09336853027344,379.4577944278717,154.5674183368683,532.2612886428833,605.9501378536224,177.52503633499146,170.9263563156128,214.12057542800903,179.17573380470276,167.2913408279419,233.05798864364624,149.8634648323059,435.9663755893707
Colorectal_GSE44076,356.5335886478424,350.70921754837036,614.3963618278503,350.6844131946564,521.3376574516296,375.41191935539246,528.1295993328094,424.86171412467957,392.0945334434509,609.7447504997253,546.2007286548615,347.91849851608276,490.564462184906,360.10721707344055,443.89303040504456,341.79604983329773,365.9182515144348,494.60875606536865,690.761944770813,348.85959911346436,347.27810287475586,336.5972812175751,369.87929463386536,346.5170826911926,964.0924534797668,703.1349356174469,1147.6967675685883,533.7367885112762,469.67046880722046,457.23207092285156
Colorectal_GSE44861,175.22628045082092,159.17013001441956,6150.2299637794495,124.417160987854,181.70103311538696,191.54192924499512,377.8807098865509,219.10694694519043,325.90144634246826,326.26008224487305,277.2190670967102,558.2345225811005,669.2717111110687,179.15954661369324,244.37621426582336,130.47784852981567,128.0724744796753,289.66930627822876,310.6966631412506,303.98852944374084,201.00888299942017,351.315744638443,1631.6746771335602,200.90370059013367,778.4417643547058,230.2413351535797,232.18472528457642,380.7262086868286,255.67193841934204,579.0777151584625
Liver_GSE14520_U133A,509.3315215110779,684.1195666790009,595.5112261772156,702.8684587478638,595.7771105766296,462.85614705085754,637.9527177810669,485.262081861496,495.2812747955322,498.7690796852112,799.4118149280548,453.870055437088,884.1579988002777,664.48029255867,472.9119312763214,1034.5715260505676,565.5124366283417,596.9673838615417,574.343329668045,473.89812755584717,618.3541920185089,739.2272000312805,467.3048620223999,588.790905714035,470.8831820487976,704.807719707489,538.4863388538361,656.9215159416199,498.78494215011597,584.8320186138153
Liver_GSE50579,501.9368271827698,289.9116201400757,315.32948637008667,265.87451004981995,375.444620847702,470.430419921875,186.15422821044922,566.5548436641693,451.9428734779358,414.52105808258057,316.3332405090332,171.76953983306885,365.39501190185547,342.16961646080017,353.0158998966217,188.31384706497192,269.2138192653656,719.8861000537872,352.48453736305237,549.0615670681,436.557644367218,275.0525743961334,225.25795769691467,434.89729285240173,470.5236268043518,292.3348562717438,182.3025360107422,312.5902097225189,832.4301359653473,493.3109052181244
Liver_GSE62232,263.00970363616943,270.469838142395,319.0804407596588,301.8556110858917,304.0544443130493,291.2916667461395,386.4609022140503,331.95868825912476,1137.644851922989,267.01418447494507,691.3620767593384,279.33629417419434,335.6967873573303,309.0843288898468,857.4892230033875,332.06020426750183,320.60353207588196,284.32632327079773,280.83345651626587,310.6575827598572,263.96346855163574,289.28464913368225,313.3315749168396,292.38433861732483,260.2710528373718,366.230765581131,879.1245391368866,360.4342157840729,338.41051411628723,328.51398611068726
Leukemia_GSE22529_U133A,394.6728117465973,757.7055139541626,561.3849432468414,290.31634497642517,499.73614859580994,238.53777933120728,462.9856684207916,392.36554980278015,263.6972072124481,384.5270779132843,386.9769289493561,121.77285766601562,147.5853705406189,186.28817200660706,245.8180377483368,232.6323311328888,258.7343771457672,549.7353708744049,575.1752915382385,209.4718153476715,136.8373773097992,244.03000569343567,196.9834611415863,149.7023675441742,342.985586643219,221.96079635620117,226.43128061294556,297.29051065444946,314.5054211616516,381.44894194602966
Leukemia_GSE22529_U133B,181.18523502349854,270.99145579338074,362.03822445869446,311.2481327056885,576.4036633968353,370.08713030815125,298.4798536300659,400.4858613014221,308.4441123008728,273.5883402824402,601.4182598590851,315.1069929599762,437.9718964099884,319.11852049827576,473.52629566192627,450.91591238975525,361.0690379142761,230.29989790916443,699.5967948436737,528.1326293945312,311.3186571598053,318.09768199920654,773.1036763191223,512.0273599624634,395.3299639225006,355.65710711479187,269.75688433647156,197.0076723098755,324.660028219223,396.418315410614
Leukemia_GSE33615,694.2552087306976,510.83659839630127,292.77714943885803,366.8286864757538,402.45547795295715,472.7977726459503,462.18591380119324,620.3822932243347,443.95439434051514,469.20991492271423,651.9507880210876,645.0743503570557,286.32771706581116,442.9023606777191,390.4145247936249,728.8550312519073,1011.7547233104706,419.04905700683594,469.9573595523834,381.3603801727295,447.92020297050476,416.1843202114105,263.9771902561188,413.5679986476898,262.4379494190216,288.75427746772766,427.37774109840393,521.7975325584412,265.00194907188416,256.40416193008423
Leukemia_GSE63270,375.8104598522186,718.8809244632721,279.80711793899536,377.0271637439728,200.14529967308044,221.61542415618896,573.4359028339386,486.6618437767029,238.44703674316406,298.80367159843445,383.7824077606201,1074.2428226470947,515.0523490905762,2439.7252328395844,370.67851090431213,327.1993522644043,261.56458020210266,381.54411816596985,431.54158759117126,294.2555091381073,223.86948919296265,334.0205628871918,473.1515362262726,699.8667290210724,354.41879081726074,261.2010099887848,192.2322862148285,193.0490744113922,376.3567228317261,247.0524513721466
ALL-AML-full,246.45945000648499,249.12278938293457,386.4879560470581,303.8250665664673,163.21697354316711,248.7906048297882,288.9851059913635,277.1735169887543,404.70001125335693,322.52878880500793,284.16585898399353,445.35132217407227,413.16350626945496,348.3939092159271,293.6515278816223,362.5643501281738,177.1321895122528,264.9906554222107,273.19271421432495,387.58601474761963,162.23796105384827,190.0924928188324,347.84411668777466,177.4445526599884,575.2363076210022,327.0836567878723,275.0738503932953,380.78992652893066,331.8362455368042,342.5527536869049
Breast_GSE22820,393.8853585720062,417.97080731391907,406.41171050071716,393.30274534225464,465.6809675693512,383.8958852291107,577.7957665920258,447.81531405448914,355.14798188209534,405.722852230072,303.56123900413513,346.5122015476227,292.67422246932983,446.6420958042145,245.00682759284973,462.23396253585815,531.4545259475708,299.93547654151917,619.8124549388885,449.203467130661,526.8947758674622,587.3256704807281,645.2645907402039,409.5164396762848,406.38349628448486,371.04372572898865,404.3698568344116,395.2559425830841,420.36919260025024,256.77122592926025
Breast_GSE59246,213.80788111686707,247.41659927368164,204.99729418754578,206.85145497322083,232.89397978782654,273.0535657405853,187.39823961257935,235.94542455673218,210.31531691551208,356.89482736587524,259.1402180194855,223.29463481903076,246.80732583999634,307.3210256099701,518.7093307971954,254.15123867988586,264.7304861545563,536.3632633686066,319.65438199043274,249.94576835632324,220.38948559761047,301.5805141925812,209.30428671836853,179.1792275905609,372.4848575592041,196.53145718574524,562.2466444969177,326.7256603240967,213.94368076324463,717.3362770080566
Breast_GSE70947,375.80022740364075,547.798112154007,429.6613726615906,449.53147292137146,366.75636863708496,486.4630780220032,384.893150806427,420.23940896987915,536.8490648269653,386.39850211143494,416.93994069099426,690.6390850543976,390.2237470149994,423.25833201408386,2613.8181760311127,498.38741421699524,370.8761684894562,408.9838104248047,395.1350185871124,388.6163983345032,1892.2739856243134,925.4454901218414,408.338219165802,425.4336562156677,1886.437968492508,419.91462898254395,340.1127634048462,328.4474160671234,316.02884244918823,313.4659013748169
breastCancer-full,93.06779503822327,224.19943499565125,424.5635907649994,173.16741347312927,226.0904722213745,826.2230441570282,137.13063549995422,158.4442400932312,260.3785183429718,179.80202841758728,143.60494470596313,174.10561203956604,222.50147247314453,237.77310585975647,164.74740052223206,165.17086148262024,181.51540899276733,184.7345929145813,129.99509477615356,178.51273846626282,261.8892180919647,223.38014721870422,233.26581287384033,5186.174333572388,204.81083607673645,184.00782132148743,213.4273898601532,143.7549283504486,207.65772461891174,265.02304220199585
Prostate_GSE6919_U95Av2,161.05618357658386,288.1286120414734,277.20664143562317,304.0972077846527,225.83888125419617,271.7576825618744,311.5290787220001,145.92479968070984,287.13886976242065,260.7768249511719,354.76244020462036,3799.569755077362,216.6644570827484,264.69868683815,336.9494478702545,453.57859110832214,310.0354037284851,162.52056980133057,228.60505175590515,234.6526756286621,374.145632982254,185.85939621925354,283.6527864933014,270.6277198791504,259.36153864860535,264.53448724746704,220.50028944015503,308.6442713737488,310.3848237991333,284.71862626075745
Prostate_GSE6919_U95B,247.206609249115,212.50988292694092,300.56216073036194,175.86112022399902,150.71688151359558,155.10909414291382,178.22081112861633,166.12416768074036,212.56223607063293,289.44117522239685,119.03292465209961,169.9226143360138,158.94643449783325,177.283123254776,158.72758436203003,264.0893807411194,250.5360975265503,288.7767834663391,248.19409441947937,196.17494201660156,302.3415479660034,275.31111240386963,239.0710105895996,247.33173513412476,232.24879431724548,279.6029713153839,214.81596326828003,193.9566650390625,214.17811703681946,250.96776151657104
Prostate_GSE11682,249.33109784126282,309.42989802360535,117.28081607818604,124.18460035324097,174.4750006198883,110.45072507858276,158.70019340515137,213.17573618888855,167.68126893043518,192.9107415676117,182.06654524803162,101.90557861328125,196.3007833957672,96.68609094619751,221.04768109321594,264.332044839859,324.775691986084,210.20000529289246,157.97446298599243,287.07539677619934,152.6748046875,88.6938099861145,123.3975555896759,217.12264609336853,153.4090085029602,107.31828832626343,368.4756603240967,163.92756485939026,237.17065954208374,474.4957768917084
