Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Breast_GSE22820,282.83845686912537,394.68634557724,397.98877334594727,262.4910192489624,333.894065618515,280.1108980178833,306.3069839477539,293.53829979896545,286.3494117259979,295.08698439598083,322.1106753349304,273.907963514328,275.7995901107788,298.03201723098755,308.12199687957764,305.5391683578491,274.644896030426,273.8636522293091,279.1535656452179,341.15174889564514,311.9168903827667,331.4583673477173,308.3316648006439,278.4375777244568,309.6002187728882,343.10942459106445,325.77125120162964,294.2334153652191,302.901873588562,267.4398822784424
Breast_GSE59246,172.54525661468506,186.27897953987122,159.47667336463928,193.18573307991028,181.01616644859314,170.6713831424713,169.65199422836304,165.02095222473145,175.80465078353882,199.49848055839539,188.54681968688965,181.38401699066162,165.817551612854,162.7428367137909,163.52684450149536,181.87809348106384,198.40655088424683,182.3087818622589,158.58376002311707,174.08311486244202,177.81474947929382,291.44773030281067,161.68844151496887,172.18490767478943,184.18546843528748,453.623193025589,184.23476719856262,183.93342638015747,169.29047060012817,158.7665092945099
Breast_GSE70947,514.0572485923767,529.064151763916,633.8135058879852,511.9708788394928,539.6351244449615,496.6139576435089,558.2643246650696,581.9746179580688,608.3713524341583,527.6829178333282,962.6110928058624,530.6709382534027,517.1281521320343,614.8888490200043,498.9366865158081,511.6137845516205,1154.2315108776093,581.1031436920166,766.7547030448914,506.9674115180969,575.4112718105316,749.9658145904541,527.3915932178497,1016.1355888843536,548.4772028923035,581.6684346199036,594.5649468898773,583.269207239151,555.0020015239716,494.5335087776184
breastCancer-full,136.4352321624756,130.61768746376038,141.14263916015625,147.3968894481659,134.4692451953888,135.91571593284607,139.6890094280243,142.72231554985046,133.80987930297852,129.201477766037,134.24204516410828,136.01425862312317,138.0847189426422,135.0060465335846,134.16941046714783,135.09282231330872,128.63011598587036,134.98016357421875,134.9104025363922,139.01146388053894,128.55436158180237,136.42628049850464,145.1609127521515,136.23782968521118,131.51747155189514,141.20542240142822,141.0268521308899,138.62049531936646,133.3782753944397,138.34025192260742
Colorectal_GSE25070,276.75339126586914,309.8206925392151,246.91467261314392,248.95232915878296,289.804181098938,259.9702868461609,327.6693480014801,341.11993288993835,286.5093414783478,329.14260816574097,239.01063895225525,347.38042092323303,290.6381275653839,282.5960068702698,281.34366631507874,307.88653326034546,254.9028024673462,342.11869049072266,265.06584191322327,710.0234835147858,236.86773490905762,247.5502097606659,317.2602643966675,307.28559947013855,298.58376002311707,425.66912150382996,347.88422536849976,254.60470867156982,310.26000022888184,329.5964124202728
Colorectal_GSE32323,351.0954568386078,561.7891943454742,415.05931782722473,430.78831815719604,397.17494320869446,507.0749354362488,583.097558259964,407.71050786972046,428.8668141365051,472.35934114456177,367.4229004383087,366.99912571907043,411.6224992275238,535.3696112632751,470.48527550697327,507.4332630634308,468.21153378486633,577.0582873821259,478.7436671257019,400.45893573760986,401.65149879455566,380.0596752166748,481.2189862728119,543.092155456543,510.85321378707886,423.5627236366272,589.4330015182495,444.8625922203064,606.1914966106415,369.27474999427795
Colorectal_GSE44076,2297.8210010528564,2326.5994930267334,2295.667342185974,2336.2335913181305,2408.3928332328796,1787.5687351226807,1858.9456782341003,2067.2641344070435,2060.758003950119,1836.256575345993,2333.511200428009,1963.0659492015839,2137.023854494095,1712.6118185520172,2871.6856253147125,2181.3776586055756,1994.5098881721497,1817.7848269939423,1944.9663894176483,2169.438630104065,1917.305142402649,1948.8593356609344,2019.9613862037659,1819.5569758415222,2275.5903766155243,1653.4993925094604,1773.7282674312592,1899.6121425628662,2019.1017422676086,2490.476155757904
Colorectal_GSE44861,576.3228287696838,401.2849860191345,212.18276262283325,465.9803740978241,310.4600386619568,198.38251996040344,402.73434710502625,385.2329125404358,248.08858489990234,533.1834201812744,202.28187131881714,252.1917531490326,335.576744556427,260.4944586753845,324.7197289466858,234.03656125068665,434.48508763313293,230.32309365272522,364.78046107292175,518.7008781433105,461.7565894126892,235.96201634407043,443.7394449710846,386.7983980178833,242.14059495925903,197.13632917404175,301.3035337924957,368.60229110717773,243.8947513103485,231.8903169631958
Leukemia_GSE22529_U133A,183.07767987251282,155.79041266441345,155.31487655639648,161.85016226768494,162.24426317214966,250.56027936935425,159.435781955719,161.25886797904968,199.3701295852661,152.7339346408844,142.4191291332245,160.00630974769592,146.26909160614014,144.34545421600342,176.8103666305542,209.51804757118225,179.4483768939972,185.46401166915894,159.2783010005951,172.4450123310089,161.79930090904236,148.34178948402405,159.68779635429382,178.63555765151978,181.52671766281128,168.52032828330994,139.32547760009766,149.73073601722717,155.10524725914001,153.02587580680847
Leukemia_GSE22529_U133B,151.70183801651,126.65840530395508,156.4585838317871,151.88921451568604,146.18333649635315,245.12769842147827,166.16696763038635,149.17631697654724,146.49738192558289,166.38140726089478,142.59580945968628,150.20730113983154,139.74437975883484,140.04771757125854,141.4438898563385,160.9134964942932,119.62107419967651,126.11173868179321,152.358544588089,146.70989561080933,242.41594815254211,121.00875949859619,166.04440546035767,170.44244241714478,149.62900686264038,161.9790334701538,144.72210335731506,148.28271389007568,145.69436931610107,158.56230354309082
Leukemia_GSE33615,374.10409784317017,327.32499408721924,323.00254702568054,285.919016122818,291.2375605106354,324.1732521057129,334.9706680774689,292.2405261993408,329.599173784256,347.87426018714905,305.7268798351288,308.43343591690063,404.39166235923767,319.80318665504456,294.74748277664185,313.18015027046204,278.7021725177765,288.2532858848572,313.00401186943054,294.80963802337646,312.6428277492523,294.70834016799927,341.9204580783844,333.54410886764526,346.4914638996124,291.9125876426697,326.3721821308136,254.06877374649048,325.13012766838074,318.99422001838684
Leukemia_GSE63270,1039.3373203277588,1261.1458230018616,936.670982837677,1122.284362077713,1113.7493436336517,1109.974511384964,1230.8884403705597,1133.3557283878326,1033.7521986961365,957.4687616825104,1266.7165672779083,961.925863981247,1168.5597558021545,1073.6104516983032,1078.1243541240692,1156.415691614151,1065.7850649356842,961.9069414138794,1054.5360326766968,1114.1683413982391,1049.228771686554,1193.506386756897,1104.5516760349274,1151.9350264072418,1504.7968347072601,1041.8843610286713,1034.385112285614,1020.7606844902039,1164.9552090168,1086.9119868278503
ALL-AML-full,145.62589240074158,122.1693844795227,119.71999049186707,124.70271587371826,155.77250981330872,125.27208948135376,151.45895552635193,132.78090119361877,125.22235918045044,130.9917345046997,117.48192048072815,118.14504647254944,122.44055819511414,126.47078037261963,152.1612741947174,121.28790235519409,164.39250922203064,129.38398814201355,124.6148328781128,121.1441638469696,143.03752636909485,164.5680546760559,188.98666071891785,120.41801834106445,131.27714014053345,138.33415603637695,124.49928641319275,129.50876021385193,173.25476384162903,126.49571132659912
Liver_GSE14520_U133A,1209.6665596961975,821.149091720581,548.9390263557434,1215.1730098724365,1471.7025392055511,567.580108165741,1761.984876871109,687.7128736972809,1134.3916580677032,825.9743666648865,1174.9066364765167,819.9093978404999,569.6037425994873,752.6664869785309,552.2950415611267,742.8236930370331,850.7759127616882,1047.9061102867126,537.2522664070129,915.6504564285278,699.4265625476837,575.8221232891083,582.2678797245026,586.648122549057,619.0357828140259,1030.3676574230194,704.7723734378815,556.5745975971222,1807.4929294586182,586.8645873069763
Liver_GSE50579,425.64116311073303,311.71955966949463,201.30111122131348,247.39604568481445,247.46136021614075,241.14722633361816,317.38756132125854,246.84662556648254,264.0017170906067,286.25322461128235,246.79039764404297,287.58725452423096,292.04970026016235,279.1167097091675,186.18712067604065,251.45686554908752,348.19842004776,263.73679304122925,232.50711226463318,392.36537766456604,367.8931887149811,241.86138081550598,283.07852935791016,346.93289279937744,212.00246930122375,223.28601670265198,228.39360904693604,246.8764398097992,364.9655086994171,390.70281958580017
Liver_GSE62232,983.0640413761139,1455.7458579540253,1232.333179473877,1234.4177083969116,1124.4197270870209,1141.0662457942963,1206.786104440689,1067.7052443027496,1275.8514394760132,1085.347848892212,1141.1953127384186,1191.0056943893433,1267.8823397159576,1254.8378858566284,1190.4988119602203,1365.4577567577362,1283.486646413803,1034.8789825439453,1094.9948444366455,1314.7799859046936,1101.5805397033691,1213.2669813632965,1234.4145488739014,1274.269546031952,1262.5071976184845,1256.076245546341,1242.7090303897858,1188.4690504074097,1178.416368484497,1019.9435472488403
