Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,6,6,4,4,6,4,4,6,6,6,2,8,11,6,6,7,4,6,6,10,3,2,5,6,5,6,6,5,7,8
Colorectal_GSE32323,4,4,3,4,4,4,4,4,3,4,4,3,4,4,2,4,4,3,4,4,4,4,3,4,4,3,2,4,4,6
Colorectal_GSE44076,30,37,39,34,41,43,35,32,97,19,38,28,36,25,53,42,34,27,31,50,24,20,36,34,22,28,27,20,38,110
Colorectal_GSE44861,30,26,41,28,32,37,34,41,39,31,33,36,39,39,39,32,31,42,44,34,41,43,40,36,37,36,32,41,39,41
Liver_GSE14520_U133A,80,99,97,90,89,97,73,85,97,87,94,99,102,93,84,89,88,86,94,84,89,80,92,101,97,84,93,115,79,101
Liver_GSE50579,5,7,4,4,4,8,10,8,6,6,6,6,4,8,4,4,9,6,6,8,8,5,6,6,4,6,7,6,8,6
Liver_GSE62232,2,12,6,8,6,8,6,6,5,4,7,8,6,7,6,7,9,6,4,4,8,6,7,6,7,4,6,6,6,4
Leukemia_GSE22529_U133A,3,2,2,2,2,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
Leukemia_GSE22529_U133B,1,1,2,2,2,2,2,2,2,2,2,4,1,2,2,1,2,2,1,3,1,1,2,2,2,2,2,1,1,3
Leukemia_GSE33615,2,2,2,4,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1
Leukemia_GSE63270,10,10,14,11,13,13,10,9,10,6,13,13,11,13,10,11,13,14,9,10,6,8,8,12,10,10,9,8,12,16
ALL-AML-full,4,5,5,3,4,4,4,5,4,3,4,5,5,5,2,4,4,4,4,4,4,4,2,4,3,4,4,4,4,4
Breast_GSE22820,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2
Breast_GSE59246,35,51,22,39,40,33,27,37,38,39,35,43,25,34,26,33,42,39,31,31,33,43,30,27,36,30,33,37,36,34
Breast_GSE70947,118,131,103,120,101,119,108,115,115,126,118,123,105,106,118,121,91,126,137,122,123,107,103,122,119,126,108,120,118,125
breastCancer-full,12,15,19,16,16,22,13,12,11,13,12,15,21,15,10,14,16,11,12,18,12,10,18,15,11,22,11,15,21,13
Prostate_GSE6919_U95Av2,15,15,12,20,23,20,20,21,18,13,22,16,22,13,20,14,20,19,23,21,18,18,21,21,17,16,24,20,13,19
Prostate_GSE6919_U95B,13,21,13,11,19,12,15,16,17,15,15,12,15,16,17,16,16,13,17,16,13,13,12,10,12,11,13,13,15,17
Prostate_GSE11682,4,3,3,4,4,3,4,3,3,5,3,4,4,4,4,3,5,3,3,3,3,4,3,3,3,3,3,3,5,4
prostate_tumorVSNormal-full,23,25,14,28,19,22,26,26,14,16,22,22,18,22,17,16,18,15,17,20,25,21,17,14,23,20,17,16,20,19
