Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Breast_GSE22820,12593.999993655085,12593.999993655085,12593.999993655085,12588.836047047915,12588.836047047915,12588.836047047915,12588.836047047915,12588.836047047915,12588.836047047915,12588.836047047915,12587.99999356866,12593.999993655085,12588.836047047915,12588.836047047915,12593.999993655085,12593.999993655085,12588.836047047915,12593.999993655085,12593.872028027059,12588.836047047915,12587.99999356866,12593.999993655085,12593.999993655085,12588.836047047915,12588.836047047915,12588.836047047915,12588.836047047915,12593.999993655085,12588.836047047915,12593.999993655085
Breast_GSE59246,12495.284821060699,12481.116549717839,12513.60170535188,10331.43938198212,12483.238609311942,12498.241093244085,12515.119007205752,12491.975386021419,10684.6924528036,12022.562014909403,12478.449308614725,10334.572411146493,12477.934414663177,10357.342885572332,12518.90162201299,12486.836043612393,12468.424432288408,12474.212215684895,12488.557358571448,12503.588380883415,12492.503334314632,12459.43534917873,12509.304191907877,12499.536123346956,12497.50947999644,12051.647870996478,12487.371734297205,10685.52851147495,12495.36881148903,10704.63027101062
Breast_GSE70947,10607.818062426915,9898.960503039827,10627.920263462725,9003.508868818388,11359.07822659631,9120.317405323442,11442.04754157965,10037.699979749279,10752.636072382375,10482.698079179536,11397.440864211223,10495.73318513071,9885.049751895536,10498.710050526463,9003.302937699737,11281.149086088702,9920.02077751638,10737.203989799847,11424.391797665696,10665.660368639525,10392.59912352587,10636.628450360367,11396.995027067826,10655.49208458549,8398.618756262702,11377.541135886771,11431.03146658056,10041.021764891699,10052.404878818012,10608.881702588806
breastCancer-full,10421.045915699526,12585.072257485503,10414.844903558473,10062.592814350077,12578.406835785727,12227.524530378922,11275.674492241778,12145.952315330305,12157.525219115732,10423.48579395329,12590.901625730123,10062.934077997112,10404.945139177664,12233.092124342109,12582.503336016462,10415.119507357189,10342.929259647637,11711.342100644586,12145.543358305891,12152.354340863834,12240.52266258402,12580.971481198121,10416.582048143915,12586.604112839223,10420.013126588921,12230.557860751867,7171.020086568056,11717.349032306194,12571.25621142184,12587.803257857191
Colorectal_GSE25070,12584.280103476254,12587.722734673864,12581.999993035197,12593.999993655085,12575.999993395806,12587.445475820385,12587.99999356866,12581.999993035197,12586.278677843095,12575.999993395806,8980.958608754298,12575.999993395806,12563.168215685815,12570.836046406868,12575.999993395806,12578.863502215534,12593.999993655085,12575.999993395806,12584.141473863257,12561.446901051317,12593.999993655085,8980.958608754298,12587.99999356866,12581.722734181718,12587.99999356866,12575.999993395806,12575.999993395806,12587.99999356866,12580.27867756613,12575.999993395806
Colorectal_GSE32323,12587.168216943268,12587.99999356866,12591.41802035299,12587.99999356866,12593.999993655085,12587.99999356866,12587.99999356866,12585.41802007419,12587.99999356866,12587.99999356866,12575.999993395806,12587.99999356866,12579.418019925473,12575.999993395806,12587.99999356866,12587.99999356866,12587.99999356866,12587.99999356866,12585.42229711283,12575.999993395806,12587.99999356866,12587.99999356866,12593.58410534239,12587.99999356866,12587.99999356866,12587.99999356866,12587.99999356866,12577.672100354317,12587.99999356866,12567.344206370482
Colorectal_GSE44076,11372.997461390107,12395.999988120795,12383.999985265731,12443.999985235929,12377.999990990758,12365.999988135696,12389.99999384582,12425.999988105894,12078.000005444885,12519.418016189336,12393.41801482141,12443.999985235929,12449.999993816018,12449.999993816018,12281.999982455372,12401.999996700883,12410.55735466363,12449.483598417431,12435.934411828975,12311.999982440471,12472.450801487636,12501.851236157589,12431.999996685981,12407.999990975857,12466.278675653944,12461.99999667108,12443.999985235929,12485.999995228649,12419.99999383092,12041.999982574582
Colorectal_GSE44861,12471.241261374907,12471.737677237437,12197.512144055694,12492.836045045884,10694.971145806156,12485.803255962159,12465.934414267496,12451.006679924187,8167.661984953328,9962.811914109407,12465.934414267496,12173.731293203453,12458.90162673001,10674.413778180762,12479.999993801117,12485.833639868175,12503.999992358684,10311.067202410963,6002.247326247416,12455.474822038042,12167.534555771752,10330.080816253028,10292.230114651176,12462.836045060785,10315.983899195864,12491.803255970754,12485.999995228649,8173.731296491253,10323.399906919754,12491.999989503622
Leukemia_GSE22529_U133A,12593.999993655085,12593.999993655085,12587.99999356866,12588.836047047915,12593.999993655085,12587.99999356866,1754.8762267941825,12588.836047047915,12593.999993655085,12593.999993655085,12588.836047047915,12152.56921666342,12588.836047047915,12593.999993655085,12593.999993655085,12593.999993655085,12593.792049500229,12588.836047047915,12593.792049500229,12593.792049500229,12593.999993655085,12591.41802035299,12593.999993655085,12593.999993655085,12587.99999356866,12593.999993655085,12593.999993655085,1754.8762267941825,1754.8762267941825,12588.836047047915
Leukemia_GSE22529_U133B,12593.999993655085,12593.999993655085,12588.836047047915,12588.836047047915,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12588.836047047915,12593.999993655085,12588.836047047915,12588.836047047915,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12588.836047047915,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085
