Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Breast_GSE22820,893.9999994665384,893.9999994665384,893.9999994665384,888.8360528593668,888.8360528593668,888.8360528593668,888.8360528593668,888.8360528593668,888.8360528593668,888.8360528593668,887.9999993801117,893.9999994665384,888.8360528593668,888.8360528593668,893.9999994665384,893.9999994665384,888.8360528593668,893.9999994665384,893.872033838511,888.8360528593668,887.9999993801117,893.9999994665384,893.9999994665384,888.8360528593668,888.8360528593668,888.8360528593668,888.8360528593668,893.9999994665384,888.8360528593668,893.9999994665384
Breast_GSE59246,795.2848268721513,781.116555529293,813.6017111633327,645.3785671246367,783.2386151233942,798.2410990555389,815.1190130172041,791.9753918328724,662.9751380834452,728.0531166511938,778.4493144261777,648.5115962890102,777.9344204746297,671.2820707148501,818.9016278244444,786.8360494238451,768.4244380998613,774.2122214963482,788.5573643829007,803.5883866948676,792.5033401260846,759.4353549901816,809.3041977193295,799.5361291584092,797.5094858078927,757.1389727382673,787.3717401086578,663.8111967547948,795.3688173004829,682.912956290465
Breast_GSE70947,346.3460518144284,356.7523941378504,366.4482528502376,288.69580805788974,378.3422212900646,297.373384098466,413.3605877966131,351.63916489179474,395.26216481630445,337.0806823480225,416.70485890497844,342.39213498270055,342.8416429935587,345.36900037845135,288.48987693923846,408.544041246937,349.8144834566265,379.83008223377647,395.7048438826607,404.1883580270387,347.389033842338,375.15643974787963,416.2590217615816,394.0200739730044,294.9388227147283,396.80513058052657,402.3445127975242,354.9609500342158,366.3440639605269,347.40969197631875
breastCancer-full,734.985100842042,885.0722632969557,728.784088700989,700.9248808860269,878.4068415971788,851.9174117723546,792.1477974671523,851.4434170720963,863.0163208575241,737.4249790958073,890.9016315415745,701.2661445330605,718.8843243201806,857.4850057355416,882.5033418279149,729.0586924997059,726.7031396525203,822.3243041281667,851.0344600476833,857.8454426056256,864.915543977452,880.9714870095739,730.5212332864326,886.6041186506758,733.9523117314385,854.9507421453006,505.8679564411036,828.3312357897759,871.2562172332935,887.803263668643
Colorectal_GSE25070,884.2801092877063,887.7227404853172,881.9999988466501,893.9999994665384,875.9999992072583,887.4454816318375,887.9999993801117,881.9999988466501,886.2786836545483,875.9999992072583,637.5239793139892,875.9999992072583,863.1682214972665,870.8360522183227,875.9999992072583,878.8635080269868,893.9999994665384,875.9999992072583,884.1414796747101,861.4469068627687,893.9999994665384,637.5239793139892,887.9999993801117,881.7227399931705,887.9999993801117,875.9999992072583,875.9999992072583,887.9999993801117,880.2786833775829,875.9999992072583
Colorectal_GSE32323,887.1682227547202,887.9999993801117,891.4180261644427,887.9999993801117,893.9999994665384,887.9999993801117,887.9999993801117,885.4180258856439,887.9999993801117,887.9999993801117,875.9999992072583,887.9999993801117,879.4180257369264,875.9999992072583,887.9999993801117,887.9999993801117,887.9999993801117,887.9999993801117,885.4223029242819,875.9999992072583,887.9999993801117,887.9999993801117,893.5841111538427,887.9999993801117,887.9999993801117,887.9999993801117,887.9999993801117,877.6721061657684,887.9999993801117,867.3442121819369
Colorectal_GSE44076,679.9670539613647,695.9999939322472,683.9999910771846,743.9999910473823,677.9999968022108,665.9999939471484,689.9999996572733,725.999993917346,378.0000112563372,819.4180220007896,693.4180206328631,743.9999910473823,749.999999627471,749.999999627471,581.9999882668257,702.0000025123358,710.5573604750841,749.4836042288856,735.9344176404288,611.9999882519245,772.4508072990869,801.8512419690412,732.0000024974346,707.9999967873097,766.2786814653978,762.0000024825334,743.9999910473823,786.0000010401011,719.9999996423721,341.99998838603494
Colorectal_GSE44861,771.2412671863591,771.7376830488886,767.8395452168871,792.8360508573368,673.2538310860019,785.803261773611,765.9344200789486,751.0066857356402,495.54035523836274,601.1439806453552,765.9344200789486,744.058694364647,758.9016325414623,652.6964634606086,779.9999996125698,785.8336456796276,803.9999981701374,625.006387553479,344.06469570847594,755.4748278494947,737.8619569329453,644.0200013955453,606.1692997936939,762.8360508722379,618.6594658691445,791.8032617822068,786.0000010401011,501.60966677628676,637.3390920622724,791.9999953150749
Leukemia_GSE22529_U133A,893.9999994665384,893.9999994665384,887.9999993801117,888.8360528593668,893.9999994665384,887.9999993801117,124.57196654027621,888.8360528593668,893.9999994665384,893.9999994665384,888.8360528593668,858.0603184052101,888.8360528593668,893.9999994665384,893.9999994665384,893.9999994665384,893.7920553116807,888.8360528593668,893.7920553116807,893.7920553116807,893.9999994665384,891.4180261644427,893.9999994665384,893.9999994665384,887.9999993801117,893.9999994665384,893.9999994665384,124.57196654027621,124.57196654027621,888.8360528593668
Leukemia_GSE22529_U133B,893.9999994665384,893.9999994665384,888.8360528593668,888.8360528593668,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,888.8360528593668,893.9999994665384,888.8360528593668,888.8360528593668,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,888.8360528593668,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384
