Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Breast_GSE22820,12541.243640151231,12495.290756343204,12371.720887883474,12489.435697942943,12510.079720327753,12529.750511565795,12563.468610942424,12524.131666302681,12541.45987091917,12515.095661467509,12526.14539137376,12552.486368261278,12568.186958768223,12176.87860631176,12572.866555434555,12555.526049376116,12505.917862225324,12371.334991124964,12559.662367332727,12502.747475471919,12574.537703467213,12562.754057150334,12498.615341072438,12537.687045510418,12544.214642100784,12508.158829540014,12369.25785624981,12572.677680337523,12557.852776694997,12557.505009804545
Breast_GSE59246,12453.570229779969,12422.261078168169,12462.591871491111,12456.97824160354,12428.864112645466,12495.204227024064,12387.82008870387,12481.495352351698,12473.039257101744,12422.978996098042,12449.4069441498,12496.077736090712,12350.793601788186,12423.16311441772,12448.085357785225,12432.564731858076,12405.965841258398,12479.731772926207,12481.438929148127,12481.638437555182,12445.248015163112,12445.044098607814,12448.530057594993,12485.911749569368,12435.069875839043,12405.145564588644,12458.812692930935,12356.603556725458,12445.930078426936,12467.159681834506
Breast_GSE70947,12487.834938079119,12505.400014100853,12486.146684673004,12471.539869096865,12475.536066275927,12474.390536809124,12494.675457733707,12518.70033633872,12467.492608473385,12445.554718691215,12506.21911363811,12450.805458525167,12493.665635207639,12467.539756835115,12454.193884395308,12479.27374470234,12445.585954589591,12474.690049708142,12431.891827891364,12491.573614432828,12508.704222617158,12458.45332304249,12511.546356528997,12490.128095030785,12365.990811109543,12485.454233556986,12465.971744527676,12459.860102541237,12485.051780884283,12434.259085419371
breastCancer-full,12467.430666117934,12366.953245385395,12418.733408103299,12416.951556316924,12302.058114238354,12393.366727748997,12405.964545850013,12410.449680628553,12495.025834651695,12469.32046681091,12432.227697849274,12286.368403010485,12342.241632091085,12412.97359363001,12459.723492366027,12408.83499789238,12458.381406295404,12375.624459678129,12483.346655328367,12423.31909674406,12496.067531496286,12414.150470793247,12375.378102876275,12431.740564318172,12477.331618926857,12437.951992041411,12435.61525710124,12407.316959315416,12358.331163795972,12428.09072752705
Colorectal_GSE25070,12514.652301213473,12537.081345865503,12519.533483223624,12501.969008511385,12519.98989785294,12344.800176978111,12394.655187485654,12511.073517233133,12534.470572832608,12547.477679073229,12360.182056972124,12523.759331756377,12521.345718474715,12495.413599366577,12535.784724570465,12446.91594614953,12511.038121176354,12525.847534745222,12421.408201902188,12171.466523867499,12497.318996352722,12498.8547509528,12357.751734994154,12461.980949329798,12486.691896006447,12514.646592935693,12552.374571670785,12558.461700666696,12544.589634849857,12499.866378742789
Colorectal_GSE32323,12537.04804556832,12532.609418013017,12552.463045633689,12526.744287223886,12539.779961725275,12550.32582352683,12534.423397780647,12478.37985571109,12466.680775656245,12507.763972328723,12537.940060339868,12565.149015882502,12564.78709449204,12539.739696645142,12517.935635518745,12442.110350425968,12410.212975854054,12552.311496328562,12519.782933228104,12503.133704319596,12496.270810681315,12243.349230001306,12550.860059009472,12521.77848697223,12436.360047721588,12509.029764453855,12502.183335600133,12326.123054081574,12428.991236999684,12489.166303755863
Colorectal_GSE44076,12548.422322010041,12468.871466040611,12563.133491895287,12540.698487499407,12542.041492534465,12526.265146650374,12536.498431816697,12548.216477979,12541.458255222233,12560.967448666926,12537.251814721796,12538.486633301847,12542.770997123145,12544.588181387311,12565.841492401982,12537.49955033511,12547.965389228664,12515.511093703712,12286.46055482328,12557.14291158691,12528.661127878078,12504.91754436037,12534.038340091705,12558.504565430107,12517.85908766836,12343.478532981819,12536.98640473,12546.804612906788,12536.714451381937,12571.12564297641
Colorectal_GSE44861,12477.233945528953,12494.704805972504,12392.373230218887,12511.407300974775,12498.528003605794,12444.624258141905,12469.061660424153,12477.571892589063,12459.398528405934,12301.023077041735,12515.261228084564,12433.157236353183,12486.052527825223,12384.229897026073,12472.667103231992,12512.197780265815,12519.3443338871,12437.924848594716,12388.63629112596,12387.496752747858,12439.525696109189,12414.311616544554,12442.320235490439,12486.56160451363,12486.414452005876,12474.200824356369,12499.481794321142,12511.445363406378,12460.04904922768,12533.346709936943
Leukemia_GSE22529_U133A,12559.911633159965,12566.722300861962,12546.135394479668,11788.459396408542,12239.576625346508,12487.358066998835,12544.669762073265,12533.70829408399,12581.234819012227,12539.870948997828,12110.722509625522,12467.429054682305,12463.842603345856,12523.980056710094,12468.060797810555,12564.307980089448,12512.586255086459,12552.613644946174,12566.374388556489,12563.470596236208,12509.996944485147,12562.686883246024,12471.760662011842,12557.710829034046,12519.575974069536,12557.23290023811,12541.007121172184,12259.235869700184,12510.526308763156,12490.570503261135
Leukemia_GSE22529_U133B,12543.812826802303,12518.397838206321,12521.097714257643,12224.020161032677,12524.266823197991,12518.07830311358,12493.842081919647,12556.076154086895,12510.846325478655,12519.444652713835,12251.01286879772,12561.69494195655,12546.87568738099,12486.817995786323,12533.951883327343,12539.555709760807,12444.307659265056,12519.063517315823,12570.465369701544,12469.870214916953,12530.526797513316,12526.870707807098,12532.475792447185,12526.806441792867,12546.963269041878,12545.745811333863,12562.31122400128,12214.44805075001,12480.432350480434,12483.292120836675
