Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Breast_GSE22820,43951.24363657495,43740.290749190644,43376.72089503603,43764.43569794294,43845.079716751476,43984.75050977765,43973.46860736614,43949.13166630268,43951.45986734289,43850.09565789123,43846.1453842212,43977.48636826128,43993.18695876822,42626.878606311766,44012.86655454049,43995.52604848205,43780.917862225324,43451.33499827752,43984.66236733273,43882.74747368378,44029.53770167907,43987.754057150334,43863.61533570802,43902.687040146,43909.21463673636,43858.158829540014,43719.25785624981,44012.677679443455,43967.85277311872,43952.505011592686
Breast_GSE59246,43833.57022799183,43712.261081744444,43782.59186433855,43851.97824339168,43763.86410906919,43860.204221659646,43677.82009228015,43816.49534877542,43853.039255313604,43847.97899609804,43769.40693699724,43876.07773430258,43535.79358033051,43758.163110841444,43798.085357785225,43782.564731858074,43605.965841258396,43919.73177203214,43876.43893093627,43891.6384339789,43735.24801873939,43840.04410039596,43783.530054018716,43865.911747781225,43725.06987941532,43710.14555385981,43793.81268935466,43571.60356030174,43735.930082003215,43937.15968138747
Breast_GSE70947,43912.83493807912,43960.40001231271,43926.146683778934,43911.539868202795,43930.53606448779,43929.39053502098,43859.67545236929,43958.70033544465,43862.49261026152,43825.554716903076,43946.21911274404,43830.80545673703,43873.6656334195,43877.53975325883,43879.19388439531,43904.27374470234,43765.58594743704,43794.69004255559,43751.891820738805,43931.573613538756,43993.704222393644,43868.45331946621,43936.546356529,43915.128095030785,43715.99081110954,43910.454233556986,43785.97173737512,43914.860100753096,43880.051782672424,43724.25908899565
breastCancer-full,43877.43066254166,43671.95323465656,43783.73340273888,43811.951558105065,43517.05811781463,43743.366727749,43725.96453869746,43655.449673475996,43905.025831075414,43924.32046502277,43782.227697849274,43741.368401222346,43707.24162672667,43717.97358290117,43869.72348878975,43758.83499789238,43868.381402719126,43710.62445610185,43893.34665175209,43848.31909674406,43921.06753149629,43764.15047079325,43770.378104664414,43796.74055895375,43887.33161535058,43817.95199025327,43830.61525888938,43772.316953951,43603.33115664341,43808.09072573891
Colorectal_GSE25070,43894.65229942533,43887.0813458655,43899.53348143549,43866.969003146965,43824.98988712411,43769.80017697811,43684.65519106193,43936.07351723313,43944.47056925633,44002.47767728509,43785.182056972124,43933.7593281801,43841.34571132216,43785.413602942856,43975.78472367639,43586.915931844414,43996.038120952835,43875.847534745226,43666.40819474963,42726.46649525727,43757.31899277644,43983.85475072928,43287.75174214671,43826.98094396538,43731.691888853886,43849.646589359414,44007.374569882646,43983.461700666696,43939.589636638,43819.86637159023
Colorectal_GSE32323,43932.04804735646,43927.609419801156,43947.46304742183,43936.744283647604,43919.779959937136,43975.32582352683,43974.423396886574,43963.37985548757,43726.68077207997,43902.76397411686,43962.94006033987,43990.1490158825,44004.787093597966,43919.739694857,43822.935624789905,43582.11033612085,43445.21295439638,43977.31149632856,43839.782926075546,43928.133704319596,43906.27080710504,42858.34921569619,43990.86005811541,43886.77848160781,43531.36004056903,43859.02976445385,43807.1833248713,43151.123054081574,43508.99124415224,43824.16630017958
Colorectal_GSE44076,44003.4223202219,43668.87146604061,43988.13349189529,43965.6984874994,43997.04149074633,43951.265146650374,43961.4984318167,43943.216479767136,43966.458255222235,44045.96744844341,44007.25181427476,43978.48663240778,43937.770998911285,43924.58817959917,44020.84149061384,43962.49955033511,43987.965388334596,43970.51109191557,43036.46055482328,43982.14291158691,43998.66112743104,43854.91754436037,43959.038340091705,44028.50456498307,43942.85908766836,43258.478518676704,43976.98640383593,44001.80461111865,43886.71445138194,44026.12564118827
Colorectal_GSE44861,43857.233943740815,43934.704805078436,43742.37323021889,43951.407300080704,43893.528005393935,43719.6242581419,43744.06166042415,43827.57189258906,43824.39852304151,43561.023073465454,43940.261228084564,43753.157229200624,43791.05251709639,43749.22989166166,43807.667099655715,43847.197776689536,43944.3443338871,43847.92484501844,43753.636285761546,43857.49675230082,43744.52568538035,43854.311615650484,43807.32023012602,43881.561606301766,43956.41445155884,43794.20081720381,43789.481797897424,43966.445361618236,43855.04905101582,43928.346711725084
Leukemia_GSE22529_U133A,43984.911633159965,43991.72230086196,43926.13539269153,43228.459395514474,43229.5766110414,43747.35806342256,43909.66975670885,43943.70829050771,44066.23481878871,43919.870947209696,43565.72250783738,43847.429052894164,43828.842597981435,43918.98005849823,43668.060797810555,43989.30798008945,43817.586244357626,43962.61364136989,44036.374388109456,44048.47059601269,43799.99694806142,43972.686879669745,43761.76066558812,43967.71082545777,43944.575974069536,43952.23290202625,43951.00711759591,43714.235867912044,43920.526305186875,43930.57050236707
Leukemia_GSE22529_U133B,43923.81282501417,43853.39783463005,43826.09770352881,43574.02016103268,43904.26682140985,43943.07830311358,43873.84208013151,43966.07615051062,43920.846321902376,43944.444652713835,43691.01286790365,43986.69494195655,43941.87568916913,43731.81798863377,43928.95188511548,43904.555704396385,43734.30766284134,43884.063511951405,44010.465368807476,43939.87021446992,43865.52679393704,43981.87070601896,43867.47578887091,43966.8064408988,43971.96326904188,43925.745809545726,43972.311220425,43549.44804717373,43845.432345116016,43758.292120836675
Leukemia_GSE33615,44003.836554761954,44053.57182828194,43951.29868818359,43488.9260033508,43929.653190303754,43989.535957237706,44043.541263045576,43721.49366456162,44028.195187271886,43926.14117415655,43739.01649572963,44002.58662567177,43961.864792987704,44007.95177220129,44049.99730535459,43769.780827586685,42899.52314936784,43946.77208880095,43739.87462057366,43984.11681678891,43948.96709967084,43835.228436415775,44020.454329872664,43970.9470990409,43929.13087309839,43881.70959095284,44021.78519348547,43965.46186986871,44021.27097510785,44013.0673998163
