Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Breast_GSE22820,29735.999781739712,41075.99994910955,37337.99989393949,32570.999823582173,43448.99998413325,30932.999799406527,41243.99995158911,37379.99989455938,36854.99988681078,41432.9999543786,37022.99988929033,28748.999767172336,36854.99988681078,31247.99980405569,36056.9998750329,31079.999801576138,39059.999919354916,38282.99990788698,29315.99977554083,33641.999839389326,35804.99987131357,35573.99986790419,31100.999801886082,36497.99988154173,37022.99988929033,38660.999913465974,39836.99993082285,31100.999801886082,34880.999857676026,30260.999789488316
Breast_GSE59246,31297.670296251745,28515.23838335505,34460.99985147714,30509.89774011903,28790.213123721995,32144.51816512944,29874.039230385173,31779.881854952328,31075.004867005144,29637.98865918596,40365.40647892556,26638.38558720208,28609.430902341584,31368.487811907315,31128.188568393944,31417.373689722346,30611.799989211282,29101.949562606143,30441.04255796381,41667.279884159005,33021.32665191103,29305.265735797133,32227.077883695598,31827.733664259187,32759.99982637167,30016.911494285978,28765.763769654815,29025.666600196244,30036.190178998604,30614.55072037747
Breast_GSE70947,39428.798155709716,37386.202598607466,40336.591919083374,11531.696671353126,39441.65485146366,37364.83840286553,14056.91589933893,40910.5250811599,12880.344939356586,12068.874280145781,42435.86276277531,38601.668938849536,40767.336979235784,37456.374020150535,38563.46837523099,41383.61150778002,39881.0997401358,39502.02437289934,39559.86042703722,39824.76952315762,12599.479930549052,40979.474670474345,40415.894413802955,41203.50165335724,38983.674575035024,39980.506256657536,39165.643198611215,38856.19459080234,38891.301436987764,12532.86679942374
breastCancer-full,34908.18259052568,37554.05108230929,33923.592809351765,29443.36311749513,34229.08416832988,36991.397987111624,33790.01394088154,34148.81744861712,39155.700090917315,34644.24071497167,38856.191926340005,34896.809212965025,31550.998235448824,35524.929764334614,36751.711792716786,34711.26463429089,36461.78466070165,38516.749339819056,36732.77737108607,36907.16566044794,36050.115293611925,34478.54341328615,34227.920559896425,34943.985855295636,36619.17084130177,37187.742990304425,32963.067218964665,35555.58320228255,36278.35125194887,34335.33035420631
Colorectal_GSE25070,34313.99984930754,36098.99987565279,31772.999811804293,29284.662366134024,33032.99983040094,29266.244339126173,31793.999812114238,33473.999836909774,36938.99988805056,35216.99986263514,32955.181274436516,36161.999876582624,44057.99999312162,33452.999836599825,32402.999821102618,34040.99984527826,32528.999822962283,35132.99986139536,34565.999853026864,31835.999812734128,40781.99994477034,30363.927819113294,35381.02930573185,37505.999896419045,37211.99989207983,44057.99999312162,34229.99984806776,43679.99998754263,41978.999962437156,31898.99981366396
Colorectal_GSE32323,29546.999778950216,28496.99976345301,36644.99988371134,39941.99993237257,41915.99996150732,35972.999873793124,43154.999979794025,40844.99994570017,27740.999752295018,42713.9999732852,41159.99995034933,41012.99994817972,27404.99974733591,23498.999689686298,38807.999915635584,33473.999836909774,30869.999798476696,19445.999629867078,25997.99972656965,42692.99997297525,30197.99978855848,26228.999729979038,43154.999979794025,23036.99968286753,40886.99994632006,23834.999694645405,38303.99990819693,32108.9998167634,23141.99968441725,22175.999670159817
Colorectal_GSE44076,2314.6467966061264,545.9993509173394,15182.999566948414,2183.9993750929834,2456.9993791222573,2792.9993840813636,2078.9993735432627,1049.999358355999,2834.999384701252,8541.662911887352,2057.9993732333182,3065.999388110638,1154.9993599057198,3170.9993896603587,4115.999403607845,27215.999744546414,6454.687549799814,2875.2777551194417,3002.999387180805,3527.999394929409,1741.1058386196978,33244.891316588524,2057.9993732333182,1343.9993626952173,4850.9994144558905,713.9993533968926,43553.99998568297,1007.9993577361108,2897.9993856310844,1427.9993639349939
Colorectal_GSE44861,32958.51990319896,32215.987392652398,33331.844936928515,30402.48518853855,31327.862054744735,29064.33661064583,30219.336330119546,36429.8266249946,29698.807566496434,27196.690587299396,40928.99994693995,32065.621054352192,29555.594507416594,26811.705129098824,35069.99986046553,35162.257896553216,33292.16403673754,28198.11913692033,22312.999171657666,29125.95533017707,37225.0723334847,29380.006475271297,33874.04624484391,40238.40571031849,26282.40665033306,30825.23782230248,38072.99990478754,29709.848372639863,27928.27131280283,35502.03996508949
Leukemia_GSE22529_U133A,38135.99990571737,42482.99996987581,40613.999942290786,31466.23821186015,42436.5859618972,38366.99990912676,43868.99999033213,39962.99993268251,38534.99991160631,42524.9999704957,31450.402158157376,35067.92284659843,42608.99997173548,40256.999937021734,41957.99996212721,39164.99992090464,42881.99997576475,42944.999976694584,42062.99996367693,41012.99994817972,40403.999939191344,39206.999921524526,43070.999978554246,41453.99995468855,42209.99996584654,40382.999938881396,42776.99997421503,31102.008976696383,39269.99992245436,43427.9999838233
Leukemia_GSE22529_U133B,42125.99996460676,40193.9999360919,39815.9999305129,27618.07716208644,42902.999976074694,43532.99998537302,30737.779741532617,43301.999981963636,39374.99992400408,43322.99998227358,28172.339041683477,39815.9999305129,40865.99994601011,40256.999937021734,38891.999916875364,39731.99992927313,40088.99993454218,41180.99995065927,44015.99999250173,42146.99996491671,39836.99993082285,40907.99994663,39752.99992958307,40571.999941670896,43364.99998289347,42860.999975454804,39773.99992989302,30848.632117452024,43595.99998630285,43322.99998227358
Leukemia_GSE33615,35657.99986914396,37568.999897348884,38954.999917805195,31520.999808084965,27362.99974671602,38996.999918425085,36728.99988495112,40886.99994632006,39521.99992617369,34355.99984992742,36917.99988774061,39920.99993206262,29441.999777400495,31037.999800956248,36014.99987441301,38177.99990633726,27047.99974206686,29987.99978545904,40172.999935781954,28292.08923994058,36434.9998806119,38534.99991160631,34649.99985426664,31058.999801266193,33515.999837529656,26270.999730598927,29546.999778950216,36770.999885571,30869.999798476696,26921.999740207197
Leukemia_GSE63270,15980.999578726292,25199.999714791775,37946.99990292788,16316.999583685398,16652.999588644503,20789.999649703503,19025.999623668195,16190.999581825734,17742.760123547047,16614.956942831555,34019.99984496832,15769.104557294939,15917.99957779646,17303.999598252773,16484.99958616495,17261.999597632886,15812.999576246739,25871.99972470999,15812.999576246739,34229.99984806776,16946.999592983724,15791.999575936794,17912.999607241152,15812.999576246739,17345.999598872662,16925.99959267378,17723.999604451656,16694.999589264393,14480.186636477238,16715.999589574338
ALL-AML-full,40718.99994384051,40886.99994632006,40500.60520211982,41033.99994848967,35638.881683841726,40886.99994632006,40613.999942290786,40718.99994384051,40991.99994786978,41999.952782640394,40991.99994786978,41054.99994879961,40634.99994260073,41012.99994817972,35491.537467778944,41033.99994848967,40466.999940121175,37998.28696531429,40844.99994570017,41096.9999494195,40781.99994477034,40697.99994353056,35602.04562982603,40655.99994291067,40676.99994322062,40802.99994508028,40949.99994724989,37400.647739222804,37921.17222646378,40928.99994693995
