Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Breast_GSE22820,243.26272702217102,233.69650554656982,245.48502016067505,256.56835865974426,239.955815076828,237.8584280014038,269.32520937919617,266.5786135196686,263.077348947525,254.38239669799805,251.89994955062866,270.88672971725464,294.8150520324707,265.11143231391907,250.16505551338196,268.13258695602417,259.85548758506775,230.62529873847961,229.78902077674866,231.81279969215393,233.42130398750305,226.65152621269226,241.21245217323303,233.89703011512756,228.02175998687744,223.48788619041443,230.27970910072327,236.282648563385,228.11350893974304,228.72487497329712
Breast_GSE59246,136.14895343780518,147.14839935302734,142.75595092773438,147.85141324996948,142.50587844848633,149.43312311172485,135.65408492088318,138.20317816734314,142.79406142234802,155.77639269828796,143.8291630744934,149.1767656803131,145.59435486793518,141.21507334709167,135.3379099369049,145.08969473838806,152.02613830566406,150.08359956741333,142.0919337272644,152.026141166687,137.10811686515808,142.45091676712036,140.5498561859131,139.75198650360107,150.92458152770996,138.52932357788086,156.60408306121826,141.8174593448639,143.08416509628296,140.6516251564026
Breast_GSE70947,459.3157494068146,466.09560799598694,459.4783663749695,436.925270318985,436.15604734420776,452.2027916908264,500.76581931114197,442.6154477596283,441.88070034980774,456.0647234916687,429.29723477363586,459.81042551994324,425.5551483631134,449.0512192249298,469.80771946907043,449.56090569496155,460.2772207260132,464.24491477012634,448.18812227249146,464.77613830566406,425.69499683380127,435.3269500732422,444.69332242012024,408.8528366088867,468.3755519390106,438.8485691547394,456.5352189540863,412.5057373046875,443.62679266929626,468.435346364975
breastCancer-full,121.49053740501404,124.65264368057251,122.43070101737976,135.96244525909424,122.94282960891724,122.42365217208862,130.54763507843018,134.1302981376648,121.06750226020813,123.44092154502869,120.41597414016724,132.63832902908325,123.79199504852295,121.69440054893494,121.97219896316528,129.02976298332214,120.12679600715637,125.5592622756958,124.48447585105896,137.1290204524994,120.88472032546997,122.5463764667511,124.59796166419983,126.87153911590576,126.35729384422302,131.13882613182068,120.71926879882812,127.55203056335449,123.13183617591858,125.72424006462097
Colorectal_GSE25070,148.72602033615112,137.06118774414062,148.23827195167542,151.10175108909607,137.4321949481964,145.57843685150146,136.10075783729553,140.8840503692627,140.9627492427826,135.17863965034485,146.49398827552795,138.98703575134277,138.96310329437256,142.97342085838318,146.58470129966736,143.4041862487793,141.31381106376648,143.37543630599976,152.77219462394714,143.0037453174591,136.26444339752197,150.22064876556396,150.1351978778839,144.78750777244568,137.77727055549622,142.38698840141296,138.23205423355103,146.2895438671112,135.91027188301086,147.65184688568115
Colorectal_GSE32323,179.6113121509552,182.28416204452515,171.3255648612976,178.81899905204773,181.53018045425415,183.26458835601807,196.22684812545776,199.47914385795593,186.43932628631592,193.8472135066986,182.0288963317871,177.09212374687195,184.33068585395813,187.73462176322937,177.0865511894226,192.36825132369995,182.3759162425995,185.35593962669373,181.97104215621948,186.29143500328064,185.36990642547607,179.3390452861786,177.1439871788025,185.43478083610535,178.19610023498535,196.4033715724945,182.96035361289978,178.31994199752808,197.0736289024353,189.05504274368286
Colorectal_GSE44076,506.46854519844055,509.5652723312378,454.70737409591675,510.2400166988373,525.5714321136475,519.9644384384155,512.9861586093903,506.91370248794556,543.3209731578827,501.3834664821625,557.9021627902985,516.9405338764191,512.4775288105011,536.5211327075958,510.8082218170166,434.1802570819855,508.35762572288513,529.876261472702,524.2758986949921,512.0416390895844,501.6127197742462,502.7451903820038,500.70597648620605,518.7010536193848,555.3357737064362,518.9693093299866,528.3222188949585,508.04533672332764,509.90934681892395,520.5628879070282
Colorectal_GSE44861,161.2265660762787,168.47311973571777,180.59473514556885,171.2048144340515,178.72469019889832,155.13496589660645,174.79020524024963,155.38020420074463,187.7116334438324,187.3897340297699,167.3940143585205,180.56176614761353,163.55547499656677,148.8799090385437,179.93943762779236,169.9841272830963,160.2013099193573,185.9603202342987,152.96861600875854,185.9413721561432,168.30109667778015,180.39393615722656,160.34825229644775,157.0329613685608,147.60896134376526,174.30751037597656,162.78708577156067,179.37125968933105,149.96506571769714,177.44974160194397
Leukemia_GSE22529_U133A,128.82229208946228,117.28582835197449,120.97633004188538,128.69268798828125,125.70767378807068,120.17543745040894,124.35026526451111,121.84699010848999,129.37090611457825,119.98006916046143,125.48751640319824,123.0428078174591,120.26558899879456,124.83151197433472,125.59108209609985,118.13384175300598,118.3013973236084,123.5316014289856,128.41226983070374,121.34603881835938,119.69865798950195,129.903883934021,123.32395601272583,122.2280900478363,123.62390327453613,126.99922108650208,121.51390528678894,127.90674877166748,127.45993065834045,121.6135802268982
Leukemia_GSE22529_U133B,121.54870343208313,116.54613661766052,117.22932386398315,126.35441184043884,127.83188724517822,119.80191588401794,119.81634664535522,119.59393525123596,126.13654565811157,122.95095539093018,126.91843223571777,119.74054598808289,125.54700660705566,117.14450263977051,129.2276406288147,121.68883872032166,123.71390795707703,120.40780138969421,120.97437882423401,121.67984890937805,117.58295965194702,121.78690123558044,121.86890506744385,121.72724413871765,120.65281891822815,122.5949501991272,122.69369316101074,126.991295337677,123.55260038375854,124.93685173988342
