Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Breast_GSE22820,10895.999933433533,14135.99998010397,13067.999964720011,11705.999945101143,14813.99998987019,11237.999938359857,14183.999980795383,13079.999964892864,12929.999962732196,14237.999981573224,12977.99996342361,10613.999929371475,12929.999962732196,11327.999939656258,12701.99995944798,11279.999938964844,13559.999971807003,13337.999968609214,10775.999931704999,12011.999949508905,12629.99995841086,12563.999957460164,11285.999939051271,12827.999961262942,12977.99996342361,13445.999970164896,13781.999975004792,11285.999939051271,12365.999954608083,11045.999935594202
Breast_GSE59246,9781.865170940728,7499.007055553105,12245.999952879549,9576.782137685352,7287.439660144964,11271.340627062336,6911.250030585874,10165.618856699219,9985.741876575148,9305.548000303701,12039.601252137632,5202.496438638933,6980.11530835388,9790.372199862384,8041.957209746597,10073.110695492554,9867.537003922187,7840.245818224475,8467.516444557987,13924.102243720929,11579.784637505903,9025.608014575686,10003.962262039417,9904.618047073356,11759.999945878983,8373.385385797535,7435.882306380455,7823.962856708647,8377.664070286648,8506.024604959988
Breast_GSE70947,11656.174204423638,8191.232596433091,11664.606535379071,3456.7269838912734,10218.948180330022,8072.687689734694,5483.8004810836,12048.644331025318,5138.464503934523,4227.402898064273,13623.960018005255,9926.781566370692,11257.1716529385,8089.223305902114,9918.581003199179,12746.348145074311,10893.983662220973,10478.498154440329,10491.334207907665,10302.062847553634,4629.953506215599,12642.211312238982,11175.729091528989,11983.696970998142,10008.787198085836,11578.520876976543,9590.646713720631,10100.138317222747,9655.06998669828,5040.243150333213
breastCancer-full,6818.835471343326,10406.309001695325,6659.245702462873,1526.2425003885726,6373.194924101277,10585.198046072543,6835.869398440765,6276.292614788906,11727.584391700591,6351.715874884968,11653.076230476045,8197.493543428433,3896.993155657876,7994.071953882031,9210.480367684766,6786.917517567235,9011.903106232183,11568.633647754892,9206.545946277567,10024.517006463877,8420.799610217256,6749.19629946822,6708.573449207741,6824.638735666252,9182.939417834372,10631.543047030165,4974.65951316592,8162.9964200059185,9112.119832504786,6725.983242176517
Colorectal_GSE25070,12203.99995227456,12713.999959620833,11477.999941816926,6801.873173487282,11837.99994700253,6798.4551467029505,11483.999941903352,11963.99994881749,12953.999963077902,12461.99995599091,5823.1288645641025,12731.999959880113,14987.999992376566,11957.999948731065,11657.999944409728,12125.999951151014,11693.999944928288,12437.999955645204,12275.999953311682,11495.999942076207,14051.999978893995,8450.40170660154,7933.240039100844,13115.999965411425,13031.99996420145,14987.999992376566,12179.999951928854,14879.999990820885,14393.999983820318,11513.999942335486
Colorectal_GSE32323,10841.999932655692,10541.999928334355,12869.999961867929,13811.999975436926,14375.99998356104,12677.999959102273,14729.999988660216,14069.999979153275,10325.999925222994,14603.999986845254,14159.999980449677,14117.99997984469,10229.999923840165,9113.999907764792,13487.999970769883,11963.99994881749,11219.999938100576,7955.999891084432,9827.999918049574,14597.999986758829,11027.999935334921,9893.999919000267,14729.999988660216,8981.999905863404,14081.999979326129,9209.99990914762,13343.99996869564,11573.999943199753,9011.999906295538,8735.999902319909
Colorectal_GSE44076,2813.0893755924135,2555.9998133003714,6737.999873539806,3023.9998200416567,3101.999821165204,3197.9998225480317,2993.999819609523,2699.999815374613,3209.9998227208853,4480.105422924343,2987.999819523096,3275.9998236715796,2729.9998158067465,3305.9998241037133,3575.9998279929164,10175.999923062325,3885.1792052687556,2702.1624620338666,3257.999823412299,3407.9998255729674,2659.5484238644726,11093.33355806351,2987.999819523096,2783.9998165845873,3785.999831017852,2603.9998139917852,14843.999990302324,2687.9998152017592,3227.9998229801654,2807.999816930294
Colorectal_GSE44861,4100.605198369507,8024.304281908636,10048.277525699503,8458.959075579764,8664.335931057109,7613.105276361882,7853.1049822010345,9143.59520376238,5974.460512357656,5004.259375231792,14093.999979498982,7993.937945396571,5951.247455065954,6077.373833981087,12419.999955385923,10734.142242039972,11655.622019426679,5150.687912112233,1512.4207128269531,5881.608283190846,9308.840902864747,5675.207685799908,6374.247398822613,12324.142618188069,5983.075361697329,7979.006467231409,13277.999967744947,7472.074898110477,7377.039991929928,8950.808554809619
Leukemia_GSE22529_U133A,13295.999968004227,14537.999985894561,14003.99997820258,1995.6596238363677,14138.40831318898,13361.99996895492,14933.999991598725,13817.999975523353,13409.999969646335,14549.999986067414,1994.8235703571127,7875.133583767217,14573.99998641312,13901.999976733327,14387.999983733893,13589.999972239137,14651.999987536668,14669.999987795949,14417.999984166026,14117.99997984469,13943.999977338313,13601.99997241199,14705.99998831451,14243.99998165965,14459.999984771013,13937.999977251888,14621.999987104535,1976.4303938135017,13619.99997267127,14807.999989783764
Leukemia_GSE22529_U133B,14435.999984425307,13883.999976474046,13775.999974918366,1792.4986283773924,14657.999987623096,14837.999990215898,1957.2011637906357,14771.999989265203,13649.999973103404,14777.99998935163,1821.7605001513189,13775.999974918366,14075.999979239703,13901.999976733327,13511.999971115589,13751.999974572658,13853.999976041912,14165.999980536104,14975.999992203713,14441.999984511733,13781.999975004792,14087.999979412556,13757.999974659086,13991.999978029728,14789.999989524484,14645.999987450243,13763.999974745511,1963.053538145421,14855.999990475178,14777.99998935163
Leukemia_GSE33615,12587.999957805872,13133.999965670704,13529.99997137487,11405.999940779806,10217.999923667312,13541.999971547722,12893.999962213635,14081.999979326129,13691.99997370839,12215.999952447415,12947.999962991476,13805.9999753505,10811.999932223558,11267.99993879199,12689.999959275126,13307.99996817708,10127.999922370911,10967.999934470654,13877.99997638762,10255.547276273901,12809.999961003661,13409.999969646335,12299.999953657389,11273.999938878416,11975.999948990346,9905.999919173122,10841.999932655692,12905.99996238649,11219.999938100576,10091.99992185235
