Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Breast_GSE22820,39396.000074517724,41538.00003415942,39626.999754050375,40865.9998740375,34019.999995172024,39374.999994412065,37190.999674287435,40803.00003426373,43512.00000383854,34082.9998349458,34775.99967463016,33284.99999527633,42063.000034084915,33767.9998349905,37631.9997543335,41328.00003418922,43112.9999338001,35489.99999496341,37295.999674272534,36602.99983458817,38513.999914425614,38072.99983437955,38681.999754184486,40886.99995414317,34103.99951450825,33389.99999526143,37022.999834528564,42776.99995387495,41075.9998740077,36035.99967445135
Breast_GSE59246,36642.937897156065,32732.450132154358,37736.83340153616,34461.173419318744,33058.83396820239,35866.29633307457,34412.107164845715,35634.586494283176,35143.15216112137,34619.5288026388,35997.31931894674,34467.19226642829,34362.923919497436,35182.22536042947,38174.212954929826,37481.04100232316,34665.316254929996,34875.25268652942,35605.49623370722,42168.992670951426,36849.51027045211,35444.58187180158,37431.983441630095,37175.04344698215,37148.99951407612,35744.24334970524,34611.27306219151,34904.405780082496,37072.573843577506,35857.840641173316
Breast_GSE70947,42110.019236612054,42083.56580994328,23749.3981692393,22810.13255119727,23298.487398501973,22208.28266637388,25945.857923570326,23557.865601928912,23941.145997357587,23371.435470063414,23935.355038272017,23424.735601610737,23409.97972430552,37456.37401742256,21680.059935560304,42651.571241316116,39881.099735789576,23301.6436280013,23331.269102111204,24747.439733023682,23580.782912215072,42473.094145560404,24163.23358329884,42327.708972720124,21884.84614001424,42866.062253959295,23504.22399022601,41208.27383377831,40813.66542347298,24370.66955652237
breastCancer-full,39947.02722799891,39761.92971379199,37334.04864399872,35182.19901243772,41421.594548353445,41285.9998739779,39141.95932589983,41851.12853555902,42314.99999399483,37710.78599414203,40069.72792170472,38604.74338916603,37492.908243620215,41542.631696893564,39899.995015108405,37793.10490340564,41053.94098664365,39898.46779085051,37956.070397984564,40793.4927070674,41766.79962482809,37584.82637691498,40949.972972167394,42328.68024028222,39869.02302150563,40699.06818437576,36740.22033880626,37600.64152953426,39599.454061728626,39905.158961736975
Colorectal_GSE25070,41390.999873962995,36770.99967434704,39773.9999142468,38102.43439272112,40529.99999424815,32839.34152513102,37442.99983446896,36749.99999478459,36477.00015504062,36162.00015508533,35035.22190682461,43364.99999384582,38072.99983437955,35804.999994918704,40004.99999432266,36350.999674406645,37169.99999472499,42524.99999396503,36602.99983458817,36792.00015499592,38534.999994531274,32580.976678848267,31992.11257643148,36224.9999948591,37274.99999471009,44057.72273422683,39647.999834156035,38114.99999459088,36833.99951412082,37506.000074785945
Colorectal_GSE32323,39899.99999433756,42545.999973934886,37148.99951407612,40466.999753931166,42629.99999395013,30281.999354833366,42734.99999393523,43512.00000383854,41894.99999405444,43910.999986258146,39164.99999444187,31163.99951492548,40341.00007438361,33305.99967483878,28224.000316429137,29231.999354982378,41495.999873948094,35930.99967446625,41894.99999405444,28769.999995917082,30197.999034410714,30932.99983539283,32108.99951479137,28181.99935513139,30260.999675270916,40403.99991415739,41810.99987390339,40172.99983408153,33725.999674779174,39393.76200455703
Colorectal_GSE44076,15301.252561735753,31079.999995589256,15393.00063868463,15665.998075169326,16295.998075079919,15140.998075243831,33074.999995306134,33473.99951459766,34902.00015526414,14993.99848167861,15665.998075169326,15498.00063866973,28790.999675479532,15140.998075243831,15728.998716029524,16484.999997660518,14012.390635187243,14235.931652807129,16253.998715955018,15455.998075199128,15444.637173985728,15403.670588421468,16736.999356755616,33117.00015551746,39332.99983420074,33578.999514582756,15686.999356904626,33662.9998350054,15813.000638625026,32382.00015562177
Colorectal_GSE44861,35182.38818818384,32263.079901353558,40232.19135039194,38865.82769120015,40660.47119770677,35142.290786743164,41873.99991394878,32076.604584686786,37496.69511438279,36321.51411431015,42671.44543602359,39055.922700729556,43989.55878828628,31484.13318157196,42902.9999338299,42669.67098003309,39708.926832327445,36367.79173284736,28140.671823320474,37474.16525357356,41084.82033416204,40725.84029499652,29255.665709404013,43780.6967048645,30827.072593078505,39614.94590161434,43362.93441470788,32343.004075708785,32093.844185829163,42776.99995387495
Leukemia_GSE22529_U133A,41684.99999408424,40508.99991414249,41726.99995402396,30785.287879043375,43721.99997877479,42104.999994024634,41285.9998739779,41180.9998739928,40949.99999418855,42566.99995390475,31767.123163779906,41684.99999408424,41831.99995400906,40613.99991412759,40193.999914187196,40172.99983408153,40529.99999424815,40739.99999421835,41643.00003414452,44015.99999250173,40236.000074398515,43239.000013890865,40382.99983405173,44057.99999312162,42587.999933874606,42168.00003407001,43407.00000385344,30563.58319091797,41558.99991399348,40970.9998740226
Leukemia_GSE22529_U133B,42545.999973934886,38638.438112623575,41643.00003414452,32242.204843296,41411.99995406866,44078.99999343157,40930.03260561504,43469.99999383092,40949.99999418855,42188.999913904074,31117.84506225586,41748.00003412962,41306.99995408356,42378.00003404021,40571.999753916265,44036.99999124706,41873.99991394878,42356.99995393455,43700.999998804924,43847.99998376369,41118.000034219025,41853.00003411472,40634.99999423325,40928.99991408289,43784.999993786216,42692.999933859704,43322.9999838382,30991.15660431661,42944.999993905425,41118.000034219025
Leukemia_GSE33615,36224.9999948591,38702.999834290145,40886.99995414317,37757.999834424256,35322.000155204536,38303.99991445542,38766.00007460713,36980.99967431724,40256.99975396097,41075.9998740077,33557.9998350203,37442.99983446896,38996.99975413978,37904.99999462068,38303.99991445542,42209.99999400973,37022.999834528564,42881.999953860046,38786.999754169585,36329.9999948442,37904.99999462068,37463.999914574626,38387.99983433485,38912.99983426034,35720.99967449605,40256.99975396097,36077.999834662674,36644.999994799495,39186.000074547526,41684.99999408424
Leukemia_GSE63270,31962.000155681373,25430.99967595637,26247.245176878976,32969.999995321035,25724.999996349216,24969.000316891073,25682.999035051464,25052.99903514087,26280.81084360094,26076.14737354219,25346.99935553372,24912.365702477502,25304.99999640882,32592.000155591966,32129.999995440245,32382.00015562177,32697.000155577065,26229.00031671226,31058.99951494038,30617.99903435111,25724.999996349216,32843.999514687064,25430.99967595637,31835.9996750474,33222.00015550256,26564.999996230006,31310.999675121904,25820.01600879302,30743.999514985084,25462.1559393981
ALL-AML-full,41958.000034099816,42271.278711917155,41950.59822280821,41999.999994039536,41789.99999406934,42188.999913904074,41879.508144623265,42063.000034084915,42063.000034084915,42168.00003407001,42335.999873828885,42188.999913904074,41936.99995399416,42209.99999400973,36670.291120807495,41999.999994039536,42083.999913918975,42083.999913918975,42063.000034084915,42371.114761901124,42082.003650386534,41999.999994039536,43992.41801987721,41936.99995399416,41905.671990683455,41958.000034099816,42094.67208619598,42063.000034084915,43658.99996376336,42104.999994024634
Liver_GSE14520_U133A,27791.54922335505,27354.527079086583,27407.556602602548,27450.75318170782,27114.20481893243,26989.186686201596,27668.29816362439,26879.999996185303,26863.71655581527,27470.418612616046,27487.481508779525,27098.155264910703,27863.09010888381,27805.67893584427,26817.539420124856,26539.102073757716,27022.29416619284,27505.837510394176,27967.710360315003,27094.021750807762,25732.48687126195,26777.82301357152,27302.78765167827,26795.953466655596,27635.999675643445,27299.999996125698,27095.592817431556,28119.9857886171,26519.315591812134,27614.999996080995
Liver_GSE50579,27475.552764892578,38136.00007469654,42419.99999397993,38849.99999448657,32728.833645767416,38606.09004809261,38168.01621559008,37967.99983439445,38051.99975427389,38429.999994546175,39416.99975408018,37821.00007474124,37988.99991450012,38177.99983436465,38786.999754169585,38028.762004750744,27760.601606475422,38156.99975425899,38303.99991445542,27697.257150969235,37123.179781425,43805.99999879002,38471.99975421429,37821.00007474124,38681.999754184486,33668.15272813395,38219.99999457598,38261.99975424409,32875.646981967875,27887.289913390297
Liver_GSE62232,29882.999034455417,32129.999995440245,30114.000316160917,34397.99983490109,30932.99983539283,30491.999354803564,27950.99967559874,31772.999835273622,41663.99991397858,30910.06365619048,32192.999835214017,33662.9998350054,29630.999675360323,32150.999675002695,29520.87805215054,29609.999995797873,33432.00015547276,31415.999675107003,32802.000155562164,31627.635356315972,31940.999675032497,30740.126540328893,30324.000316131114,31814.999995484948,30722.999835422634,33747.00015542805,31793.999514836072,31688.999514850973,31373.999514895677,41595.83593234856
Prostate_GSE6919_U95Av2,37660.7183984821,41224.796475221825,38940.94527247246,35133.16700237477,38407.20526104465,38160.66959953308,39432.798979567124,36200.95661484632,37997.40837097879,39861.420601083206,36150.10333465523,40961.18429360779,38222.904041526155,40382.7506628271,37473.015384191334,40255.54887606685,37292.530357059324,39457.4091909463,38359.62251027722,35582.77703843313,38841.22959296428,36794.76984499783,37628.387227864725,39422.175072479426,40800.94337218794,40359.337623059735,38921.86564835278,41544.60374531077,41186.68541860089,39971.626732141056
Prostate_GSE6919_U95B,40274.077741497254,36743.891612157226,40349.8886302173,42351.47952826116,36268.585962404955,36854.33275940287,38668.45747120929,40114.216940086204,42709.69672504366,38925.708108994884,39523.58528599207,40852.39747281777,34997.198211557275,40377.94005832824,42385.14099935332,39745.56861790168,37230.06146568549,42506.618196088086,37570.97235290789,39933.677459946826,36686.919486020764,36798.14955192127,40619.86495210773,37851.198997194355,39774.78248536213,41887.91080917118,38853.946000111726,38479.768261199744,40661.331850569375,38318.880295558665
Prostate_GSE11682,43548.83602217574,43320.50465340428,43201.30237980287,43595.999973785874,32780.63067626953,43616.16822701233,43365.344195081874,38122.73336117462,43385.99997381568,38141.238018415315,38096.569395681305,43469.58410492949,43489.68065953985,43517.50814668009,43474.260472228445,43532.9999838084,43501.67210832169,38217.40547180176,43490.999973800775,41678.96675499355,43562.592656766676,43512.00000383854,43595.999973785874,43425.50465438093,43404.08878550368,43488.08875545698,43276.52446014743,38198.98741872116,43425.76220811411,38025.47928589915
