Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Breast_GSE22820,206.99074125289917,192.01548981666565,200.25345826148987,211.87836813926697,242.12049293518066,215.98738145828247,215.0927712917328,202.42564821243286,189.39649176597595,243.3691589832306,245.78809762001038,253.45318818092346,189.75185990333557,247.66267228126526,211.43256306648254,201.05930376052856,193.201318025589,241.4113895893097,223.03253197669983,219.39526557922363,214.09421968460083,219.1588990688324,209.80092525482178,196.8804783821106,241.08326625823975,258.34211111068726,222.86099815368652,200.78005361557007,193.80370593070984,212.5246422290802
Breast_GSE59246,168.58719539642334,170.34167194366455,161.36446070671082,179.48001503944397,167.3414762020111,168.00569915771484,165.64700627326965,165.618084192276,167.5818326473236,180.07542037963867,166.95850014686584,176.22172713279724,175.94047856330872,164.84614753723145,160.746102809906,178.31234169006348,170.73340463638306,170.86903929710388,171.19221544265747,129.54256391525269,164.05925250053406,183.4902892112732,162.52435779571533,166.25039315223694,173.70844864845276,169.3301568031311,177.2619457244873,175.41588234901428,174.75564861297607,168.763671875
Breast_GSE70947,418.5396945476532,420.6171889305115,695.0093252658844,704.2416369915009,698.6556277275085,683.8312222957611,681.4156818389893,687.4435606002808,665.0893416404724,712.178103685379,704.0222249031067,701.6336586475372,696.3552906513214,456.47438955307007,700.9634025096893,403.7592704296112,478.09442353248596,671.2250556945801,690.3966641426086,700.9933176040649,698.7742590904236,487.24993777275085,695.1390328407288,376.9410614967346,715.4347031116486,393.64982867240906,694.1298933029175,407.37100195884705,415.2625060081482,709.6252403259277
breastCancer-full,139.69641256332397,140.20604801177979,150.41274905204773,145.30939507484436,141.73496103286743,145.07901763916016,147.8536398410797,151.32230973243713,138.90457391738892,149.91109347343445,141.08873057365417,140.09153723716736,144.49174571037292,145.19202136993408,148.58264636993408,141.0827043056488,145.3772189617157,143.1292324066162,144.14348769187927,145.06405425071716,151.05124402046204,140.9739944934845,143.8331196308136,139.28273677825928,143.02949357032776,145.25354719161987,145.1438388824463,146.22125601768494,142.73827290534973,148.0041892528534
Colorectal_GSE25070,137.3567237854004,138.2183587551117,140.73862051963806,137.6558632850647,143.67477226257324,139.58067202568054,138.26323795318604,141.2921438217163,145.5377857685089,142.26353359222412,143.13121819496155,121.6843490600586,145.21863961219788,144.7459065914154,134.9750373363495,150.99319982528687,146.16510581970215,134.50030827522278,139.7392919063568,145.08898639678955,135.63242650032043,152.52110838890076,140.1023256778717,143.80741214752197,139.1449499130249,114.12494444847107,136.5956792831421,139.06318259239197,139.22566938400269,138.57939529418945
Colorectal_GSE32323,144.63719534873962,129.27961134910583,146.0364556312561,151.51684141159058,130.37881875038147,178.50661993026733,140.3317744731903,132.99444556236267,136.80523300170898,128.5095088481903,149.18209791183472,171.70281291007996,141.5305027961731,179.32343292236328,181.85067439079285,189.83931064605713,144.14750266075134,144.92442631721497,129.46255135536194,182.35632634162903,182.64355397224426,179.3354012966156,175.14560961723328,183.84633660316467,186.61293697357178,147.90944719314575,129.6073911190033,145.66046237945557,168.81658744812012,145.65946006774902
Colorectal_GSE44076,578.096982717514,447.3272123336792,586.8795013427734,587.5217716693878,589.4787240028381,584.7342813014984,433.34210324287415,445.29314827919006,400.8578317165375,587.6125905513763,587.1719579696655,581.9686331748962,468.9160189628601,586.7997140884399,592.7797207832336,585.798830986023,591.9908843040466,592.8478124141693,580.2213518619537,587.1927080154419,586.8236472606659,579.4385614395142,584.7701413631439,438.39658880233765,345.31651425361633,425.9289300441742,584.0779912471771,424.31225514411926,584.160813331604,442.64728713035583
Colorectal_GSE44861,179.4401204586029,173.07014441490173,158.355455160141,161.9768204689026,159.49047136306763,178.31811952590942,159.84884214401245,188.97362685203552,164.589834690094,156.4406280517578,162.47863841056824,161.8137710094452,128.99402904510498,179.36731243133545,163.27834272384644,156.16540265083313,161.5081353187561,169.63235092163086,189.7545838356018,174.1742067337036,144.86700177192688,155.44434332847595,191.7541937828064,138.9293348789215,180.087388753891,162.03067636489868,150.52198958396912,186.8832142353058,176.23474860191345,155.69466710090637
Leukemia_GSE22529_U133A,130.36337065696716,125.35476589202881,125.94318771362305,129.7779839038849,120.29450702667236,126.84377956390381,128.98605394363403,127.04697751998901,137.27392029762268,125.06691837310791,128.40959572792053,126.43795466423035,136.41289567947388,127.85906791687012,129.2244794368744,129.0599091053009,131.78955674171448,127.91392135620117,126.9345371723175,108.01223874092102,142.9806592464447,115.57231545448303,128.93818163871765,108.52277898788452,126.92160272598267,129.11370968818665,117.47614407539368,151.40609550476074,127.01649475097656,128.1552712917328
Leukemia_GSE22529_U133B,122.49944615364075,104.51454734802246,124.87006115913391,130.32214736938477,125.05062770843506,90.90011644363403,126.89668655395508,122.6868999004364,125.39964604377747,124.79184532165527,127.51598167419434,128.91722655296326,125.46945858001709,123.37410378456116,127.08812880516052,106.72862076759338,132.2233908176422,127.05027723312378,113.58846640586853,113.47602105140686,127.85008788108826,123.16861152648926,129.09775066375732,127.56784415245056,119.39788579940796,114.23943018913269,113.67120718955994,128.43352842330933,121.97854256629944,125.64997792243958
Leukemia_GSE33615,163.65980648994446,158.65272164344788,166.18058061599731,159.33388948440552,168.88821053504944,164.75040459632874,163.77601432800293,163.27074265480042,165.93224453926086,155.0772740840912,187.5633955001831,168.7407341003418,159.00875997543335,165.01645231246948,164.20585989952087,153.10758924484253,161.43726563453674,154.47887253761292,157.5430202484131,161.93550038337708,156.85352396965027,170.50302410125732,158.16800832748413,157.59255123138428,166.876718044281,155.32161736488342,162.93825149536133,171.52429342269897,156.6450822353363,154.67734384536743
Leukemia_GSE63270,243.94262266159058,268.0720908641815,264.59140038490295,227.36186003684998,268.38824582099915,259.2377178668976,261.97339940071106,262.0940794944763,258.4029498100281,255.01700448989868,270.0527894496918,253.35145616531372,263.46939969062805,235.83631300926208,242.66404056549072,233.94436049461365,241.74250435829163,254.73780012130737,244.7933452129364,242.0058012008667,266.1442470550537,235.3486030101776,261.9086000919342,238.17205357551575,236.8745255470276,254.16727662086487,244.2388277053833,258.0129928588867,253.30657148361206,256.243723154068
ALL-AML-full,129.59169387817383,135.78686618804932,127.6786003112793,127.23479437828064,127.98074173927307,126.69019436836243,134.1004776954651,128.17023754119873,132.22861051559448,126.88071489334106,137.82241988182068,125.80456066131592,127.4741473197937,127.75235295295715,137.4593951702118,125.34089493751526,127.85960125923157,126.65135407447815,127.61871027946472,132.2682740688324,127.3803482055664,126.1705801486969,109.08726692199707,133.2936372756958,132.26550483703613,127.65161752700806,132.64227604866028,128.14430475234985,124.46908855438232,127.88499855995178
Liver_GSE14520_U133A,798.530118227005,811.3664057254791,804.2412505149841,776.2031898498535,788.4245564937592,798.838702917099,807.5565850734711,811.100213766098,792.2163634300232,806.6418333053589,784.2966892719269,802.8399994373322,792.5457446575165,809.5498394966125,813.6718118190765,827.0851194858551,794.7240540981293,809.7601616382599,805.427029132843,818.9731795787811,757.8884251117706,801.1088676452637,801.4347133636475,810.7634069919586,797.9959623813629,826.3461179733276,797.2222304344177,806.6956431865692,795.7037818431854,838.7155022621155
Liver_GSE50579,164.67066073417664,143.28780388832092,135.76497220993042,148.50784635543823,147.4857268333435,143.26287531852722,154.1996259689331,144.65221095085144,143.08036088943481,143.0264937877655,155.2089250087738,143.20801973342896,145.60860085487366,148.30638551712036,140.02367758750916,146.26683950424194,149.6887333393097,151.78507709503174,141.15555667877197,150.66607093811035,157.70624589920044,130.95379185676575,144.78779554367065,146.13219547271729,145.69735956192017,143.071430683136,147.43272042274475,153.74184918403625,129.813946723938,151.80103707313538
Liver_GSE62232,242.3209571838379,231.40415287017822,241.67269110679626,215.06983542442322,244.9569079875946,238.9858775138855,253.31156539916992,228.4570345878601,184.42977833747864,238.83029198646545,227.8745903968811,233.16444396972656,235.9120955467224,237.6305546760559,239.11353540420532,250.933922290802,234.56298971176147,243.0948886871338,223.8134970664978,235.63184332847595,226.74361729621887,234.48690748214722,242.25812482833862,235.68470907211304,244.67366361618042,224.07974004745483,238.6278338432312,232.32347798347473,236.23822379112244,182.5468122959137
Prostate_GSE6919_U95Av2,165.33988308906555,168.7806293964386,162.13739275932312,163.91762971878052,173.49402618408203,165.50738334655762,165.24907517433167,166.01083207130432,167.1280496120453,161.83021426200867,168.22112488746643,163.76105499267578,165.97213792800903,160.0320291519165,171.66990399360657,161.3654589653015,162.0635941028595,165.99008893966675,171.5811378955841,158.57197666168213,167.43423342704773,167.11210560798645,167.69153952598572,165.62207794189453,162.9412453174591,171.2240948677063,164.9618434906006,158.99579906463623,167.18689036369324,159.24512934684753
Prostate_GSE6919_U95B,157.7730667591095,161.4881341457367,166.2424192428589,165.30990862846375,160.77104687690735,167.9548397064209,159.47052645683289,158.75544357299805,164.85013890266418,159.73179960250854,156.70292949676514,161.02539229393005,165.8474760055542,157.85384511947632,163.54962182044983,168.92025446891785,160.02304768562317,159.07757925987244,158.9120225906372,158.43832278251648,159.25111651420593,160.14073657989502,163.44806909561157,162.96418523788452,156.771746635437,162.82242035865784,169.20350003242493,155.83325242996216,152.59097981452942,164.34050607681274
Prostate_GSE11682,98.63237690925598,99.14125800132751,90.9308729171753,98.80367016792297,102.3606538772583,98.11018514633179,97.94714117050171,99.2172749042511,98.29523205757141,102.87164759635925,98.36581468582153,100.33978152275085,98.72813820838928,97.73571801185608,101.73508977890015,100.47933912277222,99.15193200111389,98.3583447933197,106.33592581748962,99.24649477005005,97.39054727554321,103.75900268554688,99.62357974052429,104.02490186691284,98.42816114425659,98.441477060318,99.09408402442932,99.33060264587402,108.3402590751648,98.72470784187317
prostate_tumorVSNormal-full,196.066659450531,177.23701286315918,169.5096824169159,171.70187044143677,163.26338577270508,171.8693699836731,174.6042766571045,167.1100935935974,181.4196548461914,167.32634782791138,166.02399921417236,174.32946944236755,167.3714005947113,170.79280066490173,165.8624346256256,166.99440574645996,174.6998007297516,179.75038385391235,173.98271465301514,141.37891149520874,173.6570246219635,170.99171257019043,168.80656147003174,176.2616240978241,166.4448745250702,166.5964674949646,174.00765180587769,168.245050907135,177.22710371017456,173.95478200912476
