Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Breast_GSE22820,11256.000017297269,11868.000005549193,11321.99992571175,11675.999959868193,9719.999995172024,11249.999994412065,10625.999903169275,11658.000005653501,12431.999996685981,9737.999949386716,9935.999903512002,9509.999995276332,12018.000005474687,9647.99994943142,10751.999925994873,11808.000005578995,12317.999976715446,10139.999994963408,10655.999903154374,10457.999949029088,11003.99997164607,10877.999948820472,11051.999925845861,11681.999982753396,9743.999857831,9539.99999526143,10577.999948969484,12221.999982485175,11735.999959838391,10295.999903333188
Breast_GSE59246,10257.938240478816,6797.4504754771115,10781.833573197542,8571.17364820058,6868.834197084223,9991.29633307457,7577.107222066174,9084.586494283176,8968.152161121368,8834.529145961558,10077.319433387656,8547.192380869212,8322.924148379272,8752.225245988546,10889.213012150283,10691.040945102697,8835.316140489078,8895.252572088502,9085.496348148143,10758.992674527704,10524.51027045211,9899.581986242498,10671.983498850554,10610.04367586399,10613.999857398867,9089.243235264326,8556.272947750593,8894.406123405253,10567.573729136586,9142.840583952857
Breast_GSE70947,11405.019265222281,10928.565802790723,5809.398398121135,4480.13300896094,6003.488085147481,4748.282437492046,6775.858610215833,5842.865830810748,6226.146226239423,5356.43569894525,6475.354809390181,5664.735372728901,5424.979495423686,6766.374031727673,4370.0597066784685,11556.571248468672,9116.09975009469,5721.644085764972,5496.268873229368,6087.439504141847,5700.783369978744,11588.094131255293,6253.233354417003,10992.7089762964,4394.8463688960765,11696.062261111854,5789.224219107848,10248.273855235984,9613.665423472981,6280.669785404207
breastCancer-full,9932.027313829596,9881.929742402228,7754.048672608951,5677.199041047948,11586.594605573906,11795.999959808589,9666.959325899828,11956.12850694879,12089.999993994832,7500.786051362487,9964.727950314948,9354.74338916603,7762.908272230448,11617.631696893566,9914.995072328868,7853.104989236328,11128.940986643654,9898.46779085051,7881.0703979845675,11048.492678457173,11691.799624828087,7809.826376914978,11219.973000777622,12088.68032611291,9914.02305011586,11149.068184375763,6815.220338806259,7810.641615364946,9839.454118949086,9920.159018957438
Colorectal_GSE25070,11825.999959793688,10505.99990322888,11363.999971467256,10862.434335500666,11579.999994248152,6094.34163957194,10697.99994890988,10499.999994784594,10422.000040599703,10332.000040644407,7750.221964045071,12389.99999384582,10877.999948820472,10229.999994918704,11429.999994322658,10385.999903288484,10619.999994724989,12149.99999396503,10457.999949029088,10512.000040555,11009.999994531274,7230.976678848267,5937.11246199056,10349.9999948591,10649.999994710088,12587.722734673864,11327.999948596955,10889.999994590878,10523.99985744357,10716.00001756549
Colorectal_GSE32323,11399.999994337559,12155.999988240004,10613.999857398867,11561.999925592541,12179.999993950129,8651.999812597036,12209.999993935227,12431.999996685981,11969.999994054437,12545.999991622568,11189.999994441867,8903.999858248233,11526.000017163158,9515.999903720618,8064.000087547302,8351.999812746048,11855.999959778786,10265.999903348089,11969.999994054437,8219.999995917082,8627.999721056223,8837.999949833751,9173.999858114123,8051.999812895059,8645.999904152752,11543.999971377849,11945.999959734083,11477.999948522449,9635.999903661013,11238.762176218408
Colorectal_GSE44076,4096.253019499425,8879.999995589256,4398.000180920959,4475.999448460341,4655.999448370934,4325.999448534847,9449.999995306134,9563.999857920408,9972.00004082322,4013.998939442281,4475.999448460341,4428.000180906058,8225.999904361368,4325.999448534847,4493.999631556869,4709.999997660518,3722.3920084782585,3795.933026098144,4643.999631482363,4415.999448490144,4134.6380895130715,4123.67104618514,4781.999814519286,9462.00004107654,11237.999948641658,9593.999857905506,4481.999814668297,9617.99994944632,4518.000180861354,9252.000041180849
Colorectal_GSE44861,9832.388188183839,6508.07978691264,9797.191336086828,8625.827777030843,10375.471254927232,8742.290786743164,11963.999971169233,6381.6046991277035,7781.69520021348,5601.514157225494,12191.445464633818,9295.922757950013,12564.558788286284,5609.13318157196,12257.999976745248,12189.671008643314,11118.926775106982,5887.791761457593,3105.6721666432277,9064.165310794027,10004.820327009478,9915.840280691402,4550.665594963095,12505.696704864502,5492.072936401259,9854.945958834798,12387.934414707881,6708.004419031538,6668.844185829163,12221.999982485175
Leukemia_GSE22529_U133A,11909.999994084239,11573.999971362948,11921.999982634186,1625.2879362638341,12491.999989503622,12029.999994024634,11795.999959808589,11765.99995982349,11699.999994188547,12161.999982514977,1677.123249610595,11909.999994084239,11951.999982619285,11603.999971348047,11483.999971407651,11477.999948522449,11579.999994248152,11639.99999421835,11898.000005534292,12575.999993395806,11496.00001717806,12353.999999585747,11537.999948492647,12587.99999356866,12167.999976789952,12048.000005459786,12401.999996700883,1613.5831909179688,11873.999971213936,11705.999959853292
Leukemia_GSE22529_U133B,12155.999988240004,7168.438113070609,11898.000005534292,1702.2048576011148,11831.99998267889,12593.999993655085,11650.032634225267,12419.99999383092,11699.999994188547,12053.99997112453,1642.8450622558594,11928.00000551939,11801.999982693791,12108.000005429984,11591.99992557764,12581.999993035197,11963.999971169233,12101.99998254478,12485.999995228649,12527.999990916253,11748.000005608797,11958.00000550449,11609.99999423325,11693.999971303343,12509.999993786216,12197.99997677505,12377.999990990758,1636.156632926839,12269.999993905425,11748.000005608797
Leukemia_GSE33615,10349.9999948591,11057.999948731065,11681.999982753396,10787.999948865176,10092.000040763616,10943.999971675872,11076.000017386676,10565.999903199077,11501.999925622344,11735.999959838391,9587.999949461222,10697.99994890988,11141.999925801158,10829.99999462068,10943.999971675872,12059.999994009733,10577.999948969484,12251.999982470274,11081.99992583096,10379.999994844198,10829.99999462068,10703.999971795081,10967.999948775769,11117.999948701263,10205.999903377891,11501.999925622344,10307.999949103594,10469.999994799495,11196.000017327071,11909.999994084239
Leukemia_GSE63270,9132.000041240453,7265.999904838204,7467.245634642648,9419.999995321035,7349.9999963492155,7134.000088009238,7337.999721696973,7157.99972178638,7500.811301364612,7401.14737354219,7241.999813297391,6357.366160241174,7229.99999640882,9312.000041151046,9179.999995440245,9252.000041180849,9342.000041136145,7494.0000878304245,8873.999858263134,8747.999720996619,7349.9999963492155,9383.999858009814,7265.999904838204,9095.999903929234,9492.00004106164,7589.999996230006,8945.99990400374,7355.016237674856,8783.999858307838,7252.155710516263
ALL-AML-full,11988.000005489588,12076.27868330692,11965.598280028667,11999.999994039536,11939.999994069338,12053.99997112453,11954.508144623262,12018.000005474687,12018.000005474687,12048.000005459786,12095.999959659577,12053.99997112453,11981.999982604384,12059.999994009733,6805.291206638183,11999.999994039536,12023.99997113943,12023.99997113943,12018.000005474687,12101.114733290893,12022.003707606993,11999.999994039536,12567.418019877201,11981.999982604384,11965.672076514142,11988.000005489588,12019.67208619598,12018.000005474687,12473.999985221028,12029.999994024634
