Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,4,3,4,2,3,2,2,2,2,5,2,3,5,6,3,1,2,2,5,2,5,2,2,3,2,6,2,2,4,4
Colorectal_GSE32323,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1
Colorectal_GSE44076,2,3,3,2,3,3,2,2,4,2,2,3,3,1,4,3,3,2,1,4,2,2,3,3,3,2,2,2,6,2
Colorectal_GSE44861,4,8,4,4,2,4,2,5,2,3,6,3,6,4,9,4,3,3,7,4,7,4,3,6,7,3,3,3,3,8
Liver_GSE14520_U133A,8,8,8,8,8,11,13,5,8,6,8,10,11,3,7,4,9,5,9,11,9,6,14,11,15,8,11,14,4,12
Liver_GSE50579,4,9,10,4,4,4,5,3,5,4,7,2,7,3,2,5,4,6,5,2,4,5,3,8,5,2,4,2,2,2
Liver_GSE62232,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,2,1,1,2,2,3,2,1
Leukemia_GSE22529_U133A,2,1,1,2,4,4,2,8,1,2,1,1,1,1,2,3,1,2,2,2,2,1,2,2,2,3,4,2,2,4
Leukemia_GSE22529_U133B,2,5,1,2,1,1,1,2,1,2,1,1,2,1,2,1,2,2,2,1,1,2,2,1,3,1,2,2,1,2
Leukemia_GSE33615,2,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2
Leukemia_GSE63270,2,5,2,3,2,3,3,4,3,3,2,2,2,4,4,2,2,2,3,3,3,2,2,9,3,3,2,3,6,3
ALL-AML-full,3,5,2,2,3,2,2,3,2,10,4,2,4,3,5,5,3,3,3,2,8,7,3,2,7,3,4,2,3,4
Breast_GSE22820,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Breast_GSE59246,3,3,8,6,3,13,2,11,2,4,3,9,6,8,7,4,7,13,4,6,12,4,5,2,5,10,7,6,2,6
Breast_GSE70947,2,3,2,2,5,8,5,5,3,10,6,15,8,2,5,5,2,4,4,5,11,5,6,5,4,4,2,3,9,4
breastCancer-full,6,4,9,6,4,14,9,3,9,4,6,4,5,6,3,3,10,3,11,9,12,4,5,7,6,9,4,3,4,4
Prostate_GSE6919_U95Av2,10,2,9,2,14,9,12,10,11,3,7,5,5,5,8,5,7,5,4,3,7,3,3,6,6,11,5,3,5,2
Prostate_GSE6919_U95B,4,4,5,1,5,9,4,7,7,7,6,8,5,4,3,8,3,2,9,4,13,3,5,13,8,7,6,10,4,11
Prostate_GSE11682,4,5,3,4,2,3,3,3,3,6,4,3,2,3,4,3,4,3,4,3,4,3,2,3,4,2,6,3,4,1
prostate_tumorVSNormal-full,2,3,3,12,4,5,3,2,4,2,3,6,4,7,12,3,10,2,2,5,3,3,4,9,10,3,4,3,4,4
