Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Breast_GSE22820,12588.772064274133,12588.836047047915,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,1754.812244020402,12593.999993655085,12593.999993655085,12593.930678938787,12593.999993655085,12588.836047047915,12593.999993655085,12593.999993655085,12593.999993655085,1754.8762267941825,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12588.836047047915,12588.772064274133,12588.836047047915,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12588.836047047915,12588.836047047915,12593.999993655085
Breast_GSE59246,10784.788737968112,8256.118476698843,12591.601704323317,8257.317621347798,10423.776915827972,12139.18569880919,10786.618646532297,8980.958608754298,10784.331260304954,8980.126832329173,8980.459542775485,10425.676139273251,10422.57777124357,9721.78517545067,12244.820175274705,12589.488760833276,12590.557362332207,12593.999993655085,8978.613460823537,10349.935821443796,12237.57332133829,12238.623439246501,10425.509783959376,12593.334572331176,12590.73527022212,8975.794662333243,12582.8403239436,10787.271360126924,10787.479304332444,8980.958608754298
Breast_GSE70947,10271.219773595309,8605.642310068772,10038.544127393028,9920.362037561597,11817.877140600518,10265.79540137108,11023.613320646953,10425.249028681406,10421.568747066749,9368.58070518611,11582.896780052,8720.962692190842,9378.409446424635,7831.474920968345,8487.682027747986,11045.129412947796,8008.532745870661,9703.5670070913,10300.435421473674,9494.656665698061,9262.254812502164,10153.830842311016,10928.847041620013,8722.348986555771,7172.427491457012,10925.987809410337,10770.436662581365,6813.1340142720055,9703.103918762712,10145.267094278603
breastCancer-full,7904.374008521901,12237.958018073625,8255.453055292368,7559.124327402291,7905.24044137356,12228.330203963811,8544.483928047557,7382.725101233877,12588.836047047915,12589.452947906932,8257.01956800816,5741.345991475355,7907.4723756099565,10423.444205163036,7905.905863060111,8253.720187696332,11706.15354963444,6090.317871810354,8245.312311898384,9545.372285698162,10063.167093584148,9368.605891257675,7908.83787529271,7904.540363186624,10421.378626302489,9719.684939095949,8980.958608754298,8257.109677046908,9987.634745686877,3048.718670617256
Colorectal_GSE25070,12592.27867805777,12593.999993655085,12593.168217032675,6010.505364566095,12593.999993655085,7174.4381133523875,12593.999993655085,12590.557362457475,12592.27867805777,12593.999993655085,8980.958608754298,12593.72273478095,7171.301622293076,12591.41802035299,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12592.336440435289,12593.999993655085,12593.999993655085,8979.237293154001,12588.836047047915,12012.033625517446,12593.999993655085,12591.140761475874,12593.999993655085,8980.958608754298,12593.999993655085,12590.557362457475
Colorectal_GSE32323,12593.999993655085,7174.4381133523875,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,10848.100876731154,12593.999993655085,10848.100876731154,7174.4381133523875,12593.999993655085,12593.999993655085,1754.8762267941825,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,5428.539390525427,12593.999993655085,12593.58410534239,12593.999993655085,6299.322666854139,12593.999993655085,12593.999993655085,11721.050438320874,12593.999993655085,12593.999993655085,12593.999993655085,7174.4381133523875
Colorectal_GSE44076,12593.999993655085,12593.999993655085,12593.999993655085,11510.087602581329,12592.278678018001,12592.769272261401,11389.079097658396,11510.087602581329,12593.999993655085,11508.962393757569,12593.999993655085,12593.999993655085,12592.800848990692,10251.06889831125,12593.999993655085,12593.916815994931,12592.769272261401,12593.999993655085,12400.01120844621,12592.450809694094,11510.087602581329,12418.976870585231,12592.967204281467,11509.571207910776,12593.999993655085,12418.919493389018,12419.410087592649,12593.999993655085,12593.483598987514,12593.999993655085
Colorectal_GSE44861,12298.268754486164,10423.970997322032,10135.05338861693,12241.710254610802,10785.757988668025,12592.967204316963,12593.667283005525,12589.868836379539,6090.359460784972,7909.170585957645,12590.409491217686,12004.526840820692,8252.354687310713,8978.376635639956,12587.114731262845,12593.999993655085,10076.995380616176,6090.525816111242,3922.7008212764736,10076.995380616176,12012.033625517446,7963.236265673417,8258.350410593534,12592.278677996626,10435.717506105379,10074.763446543142,10426.175205252062,8258.350410593534,7909.170585957645,12586.77046828822
Leukemia_GSE22529_U133A,12593.999993655085,12593.999993655085,12593.999993655085,1754.8762267941825,12157.525219115732,12593.999993655085,1318.4015460874423,12593.999993655085,12593.999993655085,12593.999993655085,1754.8762267941825,11721.050438320874,12593.999993655085,12593.999993655085,12593.999993655085,12588.836047047915,12157.525219115732,12593.999993655085,12157.525219115732,12593.999993655085,12593.833638331796,12593.999993655085,12593.999993655085,12593.999993655085,12588.836047047915,12593.999993655085,12593.999993655085,1754.8762267941825,12157.525219115732,12593.999993655085
Leukemia_GSE22529_U133B,12593.999993655085,12593.999993655085,12593.999993655085,1754.8762267941825,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,1754.8762267941825,7171.856140047312,1754.8762267941825,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12588.836047047915,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,12593.999993655085,1754.8762267941825,1318.4015460874423,12593.999993655085
