Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Breast_GSE22820,44073.772064050616,44073.83604682439,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,33239.812243796885,44078.99999343157,44078.99999343157,44078.93067871527,44078.99999343157,44073.83604682439,44078.99999343157,44078.99999343157,44078.99999343157,33239.87622657067,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,44073.83604682439,44073.772064050616,44073.83604682439,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,44073.83604682439,44073.83604682439,44078.99999343157
Breast_GSE59246,42269.788737744595,39741.11847647533,44076.6017040998,39742.317621124275,41908.77691560445,43624.18569858567,42271.61864630878,40465.95860853078,42269.33126008143,40465.126832105656,40465.459542551966,41910.676139049734,41907.57777102006,41206.78517522715,43729.82017505119,44074.488760609755,44075.55736210869,44078.99999343157,40463.61346060003,41834.93582122028,43722.57332111477,43723.62343902298,41910.509783735855,44078.33457210766,44075.73526999861,40460.79466210972,44067.840323720084,42272.27135990341,42272.47930410893,40465.95860853078
Breast_GSE70947,41756.21977337179,40090.64230984526,41523.54412716951,41405.362037338076,43302.877140377,41750.79540114756,42508.613320423436,41910.24902845789,41906.56874684324,40853.580704962595,43067.89677982848,40205.962691967325,40863.40944620112,39316.474920744826,39972.68202752447,42530.12941272428,39493.53274564714,41188.56700686778,41785.43542125015,40979.65666547455,40747.254812278654,41638.8308420875,42413.84704139649,40207.348986332254,38657.427491233495,42410.98780918682,42255.436662357846,38298.13401404849,41188.1039185392,41630.26709405508
breastCancer-full,39389.374008298386,43722.958017850106,39740.45305506885,39044.124327178775,39390.24044115004,43713.33020374029,40029.48392782404,38867.72510101036,44073.83604682439,44074.452947683414,39742.01956778464,37226.34599125184,39392.47237538644,41908.44420493952,39390.9058628366,39738.72018747281,43191.15354941092,37575.317871586834,39730.31231167487,41030.372285474645,41548.16709336064,40853.60589103415,39393.83787506919,39389.540362963104,41906.37862607897,41204.68493887243,40465.95860853078,39742.109676823384,41472.63474546336,34533.71867039374
Colorectal_GSE25070,44077.27867783425,44078.99999343157,44078.16821680916,37495.50536434258,44078.99999343157,38659.43811312887,44078.99999343157,44075.55736223396,44077.27867783425,44078.99999343157,40465.95860853078,44078.72273455743,38656.301622069564,44076.41802012947,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,44077.33644021177,44078.99999343157,44078.99999343157,40464.237292930484,44073.83604682439,43497.03362529393,44078.99999343157,44076.140761252354,44078.99999343157,40465.95860853078,44078.99999343157,44075.55736223396
Colorectal_GSE32323,44078.99999343157,38659.43811312887,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,42333.10087650763,44078.99999343157,42333.10087650763,38659.43811312887,44078.99999343157,44078.99999343157,33239.87622657067,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,36913.53939030191,44078.99999343157,44078.58410511887,44078.99999343157,37784.32266663062,44078.99999343157,44078.99999343157,43206.05043809736,44078.99999343157,44078.99999343157,44078.99999343157,38659.43811312887
Colorectal_GSE44076,44078.99999343157,44078.99999343157,44078.99999343157,42995.08760235781,44077.278677794486,44077.769272037884,42874.07909743488,42995.08760235781,44078.99999343157,42993.96239353405,44078.99999343157,44078.99999343157,44077.800848767176,41736.06889808774,44078.99999343157,44078.91681577141,44077.769272037884,44078.99999343157,43885.01120822269,44077.450809470574,42995.08760235781,43903.976870361716,44077.96720405795,42994.57120768726,44078.99999343157,43903.9194931655,43904.410087369135,44078.99999343157,44078.483598763996,44078.99999343157
Colorectal_GSE44861,43783.268754262645,41908.97099709851,41620.05338839342,43726.71025438728,42270.75798844451,44077.967204093446,44078.66728278201,44074.86883615602,37575.359460561456,39394.17058573413,44075.40949099417,43489.52684059717,39737.354687087194,40463.37663541644,44072.11473103932,44078.99999343157,41561.995380392655,37575.525815887726,35407.70082105295,41561.995380392655,43497.03362529393,39448.236265449894,39743.35041037002,44077.27867777311,41920.71750588186,41559.76344631963,41911.17520502854,39743.35041037002,39394.17058573413,44071.77046806471
Leukemia_GSE22529_U133A,44078.99999343157,44078.99999343157,44078.99999343157,33239.87622657067,43642.52521889222,44078.99999343157,32803.401545863926,44078.99999343157,44078.99999343157,44078.99999343157,33239.87622657067,43206.05043809736,44078.99999343157,44078.99999343157,44078.99999343157,44073.83604682439,43642.52521889222,44078.99999343157,43642.52521889222,44078.99999343157,44078.83363810828,44078.99999343157,44078.99999343157,44078.99999343157,44073.83604682439,44078.99999343157,44078.99999343157,33239.87622657067,43642.52521889222,44078.99999343157
Leukemia_GSE22529_U133B,44078.99999343157,44078.99999343157,44078.99999343157,33239.87622657067,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,33239.87622657067,38656.856139823794,33239.87622657067,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,44073.83604682439,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,33239.87622657067,32803.401545863926,44078.99999343157
Leukemia_GSE33615,40465.95860853078,44078.99999343157,44078.83363810828,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,44078.83363810828,44078.83363810828,44076.41802012947,44078.99999343157,43729.82017505119,44078.99999343157,44078.99999343157,43727.40455707238,44077.27867783425,44078.99999343157,44078.99999343157,38659.43811312887,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157,44078.99999343157
