Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,892.2786838692231,893.9999994665384,893.1682228441272,426.66283908391733,893.9999994665384,509.2859832254346,893.9999994665384,890.5573682689275,892.2786838692231,893.9999994665384,637.5239793139892,893.7227405924014,506.149492166124,891.4180261644427,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,892.3364462467415,893.9999994665384,893.9999994665384,635.8026637136936,888.8360528593668,852.6884278398344,893.9999994665384,891.1407672873254,893.9999994665384,637.5239793139892,893.9999994665384,890.5573682689275
Colorectal_GSE32323,893.9999994665384,509.2859832254346,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,770.0652836983171,893.9999994665384,770.0652836983171,509.2859832254346,893.9999994665384,893.9999994665384,124.57196654027621,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,385.3512954326533,893.9999994665384,893.5841111538427,893.9999994665384,445.15255424427653,893.9999994665384,893.9999994665384,832.032641804455,893.9999994665384,893.9999994665384,893.9999994665384,509.2859832254346
Colorectal_GSE44076,893.9999994665384,893.9999994665384,893.9999994665384,817.0571951525866,892.2786838294539,892.7692780728531,807.9342211782932,817.0571951525866,893.9999994665384,815.9319863288282,893.9999994665384,893.9999994665384,892.8008548021444,727.2045241504843,893.9999994665384,893.9168218063835,892.7692780728531,893.9999994665384,880.2294758870069,892.4508155055466,817.0571951525866,881.1733112819487,892.9672100929206,816.5408004820347,893.9999994665384,881.1159340857354,881.6065282893654,893.9999994665384,893.4836047989668,893.9999994665384
Colorectal_GSE44861,868.5961556473578,737.9101824645486,719.3199749206423,866.1031360042339,764.0406739478716,892.9672101284148,893.6672888169779,889.8688421909927,432.1768302460315,561.4418376361122,890.4094970291392,845.18164314308,580.2330575957487,634.9420061996482,887.1147370742967,893.9999994665384,715.327447152125,432.3431855723019,278.4575618465417,715.327447152125,852.6884278398344,561.4418511531526,586.2287808785674,892.2786838080792,738.3930727786576,713.0955130790926,740.1143903945803,586.2287808785674,561.4418376361122,886.7704740996729
Liver_GSE14520_U133A,846.6131975224587,807.7955917431775,885.5975152238897,822.8522906305054,885.9209839343091,882.8018214174227,827.8121436414801,802.6404847204685,847.4782723820583,882.2348454601693,890.9186061942015,888.4297915730277,883.3486376089405,836.2800918157274,884.1072487464343,893.000712205532,850.3009190519722,841.2467432532256,886.4610045282911,833.3842796001608,840.0465384271358,848.5796034516766,890.9000910585316,891.3256065079084,885.4858414890962,840.7874741233138,884.3941346832625,891.6032052489655,827.2186639782386,881.4091847477797
Liver_GSE50579,883.672105867451,888.8360528593668,893.9999994665384,893.9999994665384,883.3948471769944,886.2540795602513,124.43333700635011,893.9999994665384,893.7227405850529,893.9999994665384,888.4795771729008,883.672105867451,888.8360528593668,888.8360528593668,509.14735369150856,509.2859832254346,863.2935791576119,893.9999994665384,893.9999994665384,124.57196654027621,124.57196654027621,893.9999994665384,888.8360528593668,871.2499188225523,893.9999994665384,891.4180261644427,893.9999994665384,893.9999994665384,124.57196654027621,124.57196654027621
Liver_GSE62232,892.0206791046363,797.8214957393034,893.9999994665384,892.7090128169807,797.1760024130344,893.9999994665384,893.9999994665384,770.0652836983171,797.8214957393034,797.8214957393034,893.4262276027534,797.8214957393034,892.7090128169807,797.6352124342204,893.9999994665384,893.9999994665384,892.709012771868,893.9999994665384,701.6429915680138,893.9999994665384,893.1682228381667,893.9999994665384,893.1682228381667,893.9999994665384,893.9999994665384,770.0652836983171,893.9999994665384,893.3545061432496,892.5227295118978,893.9999994665384
Leukemia_GSE22529_U133A,893.9999994665384,893.9999994665384,893.9999994665384,124.57196654027621,863.0163208575241,893.9999994665384,93.58829459208087,893.9999994665384,893.9999994665384,893.9999994665384,124.57196654027621,832.032641804455,893.9999994665384,893.9999994665384,893.9999994665384,888.8360528593668,863.0163208575241,893.9999994665384,863.0163208575241,893.9999994665384,893.8336441432483,893.9999994665384,893.9999994665384,893.9999994665384,888.8360528593668,893.9999994665384,893.9999994665384,124.57196654027621,863.0163208575241,893.9999994665384
Leukemia_GSE22529_U133B,893.9999994665384,893.9999994665384,893.9999994665384,124.57196654027621,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,124.57196654027621,506.70400992035866,124.57196654027621,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,888.8360528593668,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,124.57196654027621,93.58829459208087,893.9999994665384
Leukemia_GSE33615,637.5239793139892,893.9999994665384,893.8336441432483,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.8336441432483,893.8336441432483,891.4180261644427,893.9999994665384,869.2130566681378,893.9999994665384,893.9999994665384,866.7974386893322,892.2786838692231,893.9999994665384,893.9999994665384,509.2859832254346,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384,893.9999994665384
