Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,2.9802322e-08,2.9802322e-08,2.9802322e-08,54.412056,2.9802322e-08,25.819733,2.9802322e-08,2.9802322e-08,2.9802322e-08,17.213156,17.213156,2.9802322e-08,25.819733,25.819733,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,17.213156,25.819733,2.7725887,2.9802322e-08,2.9802322e-08,2.9802322e-08,17.213156,2.9802322e-08,2.9802322e-08
Colorectal_GSE32323,2.9802322e-08,25.819733,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,8.317766,51.639465,8.317766,25.819733,2.9802322e-08,2.9802322e-08,51.639465,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,34.137497,2.9802322e-08,2.9802322e-08,2.9802322e-08,29.978615,2.9802322e-08,2.9802322e-08,4.158883,2.9802322e-08,2.9802322e-08,2.9802322e-08,25.819733
Colorectal_GSE44076,5.1639466,2.9802322e-08,2.9802322e-08,5.1639466,2.9802322e-08,2.9802322e-08,5.7377186,5.1639466,2.9802322e-08,5.1639466,2.9802322e-08,5.1639466,2.9802322e-08,16.323616,2.9802322e-08,2.9802322e-08,5.7377186,2.9802322e-08,0.92419624,2.9802322e-08,5.1639466,0.8317766,2.9802322e-08,5.1639466,2.9802322e-08,0.8317766,0.8317766,2.9802322e-08,2.9802322e-08,2.9802322e-08
Colorectal_GSE44861,11.714188,10.327893,11.714188,8.606578,34.42631,2.9802322e-08,2.9802322e-08,2.9802322e-08,30.983679,23.982893,2.9802322e-08,13.100482,20.655787,17.213156,2.9802322e-08,11.9914465,20.655787,44.63868,51.639465,13.655,13.100482,22.04208,20.655787,17.213156,18.876709,11.9914465,10.327893,30.983679,22.31934,2.9802322e-08
Liver_GSE14520_U133A,3.4753928,5.7377186,0.46209815,6.1998167,0.46209815,0.46209815,6.1998167,6.075231,6.075231,6.537329,2.9802322e-08,3.7930555,0.46209815,9.530774,0.46209815,2.8688593,3.3309574,6.537329,3.0376155,6.9994273,3.4753928,8.606578,0.46209815,2.9802322e-08,3.3309574,3.3309574,0.92419624,2.9802322e-08,6.9994273,0.46209815
Liver_GSE50579,2.9802322e-08,2.9802322e-08,2.9802322e-08,51.639465,2.9802322e-08,2.9802322e-08,51.639465,2.9802322e-08,2.9802322e-08,1.3862944,2.9802322e-08,51.639465,2.9802322e-08,2.9802322e-08,25.819733,25.819733,1.3862944,2.9802322e-08,2.9802322e-08,51.639465,52.827717,2.9802322e-08,2.9802322e-08,1.1882523,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,51.639465,51.639465
Liver_GSE62232,2.9802322e-08,6.454933,2.9802322e-08,2.9802322e-08,6.454933,2.9802322e-08,2.9802322e-08,8.317766,6.454933,6.454933,2.9802322e-08,6.454933,2.9802322e-08,6.454933,2.9802322e-08,2.9802322e-08,6.454933,2.9802322e-08,12.909866,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,8.317766,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08
Leukemia_GSE22529_U133A,2.9802322e-08,2.9802322e-08,2.9802322e-08,51.639465,2.0794415,2.9802322e-08,53.718906,2.9802322e-08,2.9802322e-08,2.9802322e-08,51.639465,4.158883,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.0794415,2.9802322e-08,51.639465,2.9802322e-08,2.9802322e-08,51.639465,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,51.639465,51.639465,2.9802322e-08
Leukemia_GSE22529_U133B,2.9802322e-08,25.819733,2.9802322e-08,51.639465,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,51.639465,51.639465,51.639465,2.9802322e-08,2.9802322e-08,2.9802322e-08,51.639465,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,51.639465,53.718906,2.9802322e-08
Leukemia_GSE33615,17.213156,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,1.6635532,2.9802322e-08,25.819733,1.6635532,2.9802322e-08,2.9802322e-08,2.9802322e-08,25.819733,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,2.9802322e-08,25.819733
