Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,126.84662580490112,116.87630081176758,119.51523852348328,121.96568274497986,122.20205020904541,124.0032308101654,118.84104561805725,120.823734998703,125.33167433738708,123.68907380104065,121.10598468780518,126.46763801574707,117.96040105819702,119.39057278633118,117.81877827644348,127.08698391914368,120.49960470199585,119.1861219406128,121.97067213058472,121.81708288192749,121.25857543945312,123.58036065101624,126.86656045913696,126.65513467788696,124.38122200965881,119.0594596862793,127.70893716812134,117.91152930259705,118.6724967956543,118.96072387695312
Colorectal_GSE32323,169.1594181060791,166.58530521392822,162.04345846176147,169.62218141555786,164.97561144828796,177.82024264335632,178.8734302520752,181.2121706008911,175.50145053863525,174.50611305236816,184.46446800231934,161.82803440093994,174.33756709098816,175.35584163665771,173.08391571044922,183.59479570388794,172.23618412017822,177.99278450012207,171.41039514541626,174.38942575454712,172.2930326461792,165.14017248153687,169.05968403816223,172.59921431541443,168.0892813205719,190.57412219047546,169.95728254318237,181.41662335395813,182.54859566688538,191.0179386138916
Colorectal_GSE44076,435.32928681373596,433.4253807067871,438.32726311683655,436.14709854125977,440.5164074897766,443.2421154975891,432.7292432785034,430.44934344291687,431.91641783714294,432.5148162841797,435.0520272254944,440.56128883361816,439.8312406539917,435.43699836730957,430.9340465068817,435.2185835838318,432.8598909378052,439.4362986087799,436.3286144733429,440.84253573417664,439.7564401626587,433.28575444221497,429.98658084869385,429.47395157814026,434.82164692878723,439.51109862327576,443.13639783859253,437.8904330730438,431.20930910110474,435.3193154335022
Colorectal_GSE44861,142.3641073703766,138.7587525844574,139.37211275100708,145.52964115142822,137.87312197685242,138.073588848114,146.65662121772766,145.28529357910156,145.69021081924438,149.7952263355255,144.59713220596313,143.9718062877655,145.55158162117004,151.0548539161682,137.72651505470276,136.64740324020386,135.6460838317871,141.83651852607727,158.67147541046143,144.34679985046387,143.15898084640503,147.00169849395752,149.84110355377197,141.27402639389038,150.06550431251526,141.71584367752075,138.12145900726318,145.26235437393188,150.08944082260132,136.28138160705566
Liver_GSE14520_U133A,394.3249912261963,395.53475546836853,395.15477108955383,395.15876269340515,386.89985752105713,408.77333545684814,396.57896161079407,397.01878690719604,386.1438808441162,405.2707040309906,395.3332943916321,399.0964686870575,425.33901500701904,404.1447186470032,400.17334604263306,396.3804934024811,388.6023020744324,398.2824032306671,391.26118779182434,396.9459807872772,406.51537466049194,397.3528928756714,396.1780323982239,390.76053047180176,397.33892941474915,406.72780895233154,395.52976751327515,435.28540325164795,405.4462366104126,399.3166353702545
Liver_GSE50579,126.99921679496765,114.87166404724121,115.21274971961975,112.77427458763123,118.27954578399658,111.32116317749023,116.99598097801208,112.93983221054077,114.30617785453796,122.99193549156189,112.44714975357056,114.99732804298401,113.26795101165771,118.9936363697052,105.67427182197571,115.54685688018799,121.61960935592651,115.72438454627991,112.20379900932312,124.76519346237183,124.34930610656738,112.59774804115295,114.81780624389648,114.18549728393555,119.41550803184509,110.79955792427063,112.1000714302063,113.00665593147278,133.08294034004211,130.60058045387268
Liver_GSE62232,224.6250195503235,252.2201910018921,241.34728240966797,235.71435141563416,244.7491774559021,240.27215719223022,230.80648517608643,233.0175678730011,246.8744933605194,230.1861424446106,231.19544076919556,240.42474913597107,234.42978692054749,240.8994641304016,242.03144693374634,240.85459899902344,250.45890402793884,245.038405418396,228.48768520355225,243.8605535030365,231.43180799484253,239.74955582618713,238.3891966342926,242.83530139923096,235.38124179840088,242.57799673080444,229.73933744430542,239.73060488700867,251.33156895637512,254.8172733783722
Leukemia_GSE22529_U133A,92.35690307617188,89.12554812431335,96.07694721221924,96.83791279792786,90.60458946228027,92.76680445671082,92.80171036720276,95.79370522499084,91.34860014915466,93.15676355361938,95.55933213233948,91.40145993232727,99.70025086402893,92.7727906703949,92.83761715888977,92.55038261413574,91.71262454986572,97.7085816860199,91.40344905853271,92.20430898666382,90.08497834205627,89.07168745994568,97.7105770111084,92.42172861099243,92.58229804039001,91.27978205680847,91.24487948417664,105.22746682167053,94.11120796203613,90.84394693374634
Leukemia_GSE22529_U133B,90.96063423156738,85.42544794082642,91.86122703552246,98.02673244476318,87.90082263946533,88.67475175857544,90.84294986724854,93.40908455848694,89.74289464950562,90.38218426704407,99.01408767700195,87.33134484291077,96.92467975616455,87.53878974914551,90.5976083278656,89.06271529197693,88.90214347839355,93.50682044029236,87.50986886024475,89.56936025619507,86.29711198806763,85.86028170585632,95.32196712493896,90.28045606613159,89.4177634716034,90.58065152168274,87.67642307281494,102.97249841690063,90.03810572624207,87.17675971984863
Leukemia_GSE33615,160.25224685668945,166.02081489562988,162.3157274723053,163.03779530525208,165.18106293678284,161.4909336566925,160.76886773109436,169.0726499557495,162.88819646835327,159.33171200752258,162.84730505943298,160.8835597038269,163.29211568832397,168.78641629219055,166.66808414459229,164.23160028457642,168.0523865222931,160.19739413261414,163.46964192390442,167.194673538208,158.90186476707458,161.55875158309937,170.1328136920929,162.2429223060608,160.2851550579071,165.4024691581726,159.7007246017456,163.46265983581543,169.9582803249359,167.80304789543152
Leukemia_GSE63270,234.10565567016602,225.27827095985413,222.93653774261475,222.1815583705902,226.7234082221985,224.78858351707458,226.8660249710083,225.49070525169373,225.34010791778564,222.217280626297,232.44609332084656,225.47075724601746,238.1498363018036,218.64003229141235,227.0874309539795,229.65456771850586,228.12964534759521,225.07082796096802,224.745698928833,221.9292323589325,221.9262421131134,234.08870148658752,218.44854593276978,234.47965574264526,218.66895699501038,223.18386554718018,221.87737202644348,231.24730229377747,231.25927257537842,230.63194847106934
ALL-AML-full,96.13678765296936,85.46633696556091,86.66911935806274,85.72264695167542,86.95834445953369,86.11460137367249,90.96462559700012,85.77351307868958,85.1741156578064,85.10330438613892,84.8978579044342,85.11527490615845,87.56671595573425,87.09597301483154,92.62518286705017,86.71599221229553,87.00820922851562,85.70968556404114,86.06672978401184,86.47364091873169,90.91276407241821,85.43342423439026,86.81871819496155,86.39784240722656,86.16745972633362,85.69671773910522,90.83297753334045,85.76952528953552,96.13080286979675,86.08468008041382
