Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,893.1228594288839,892.1359670930952,888.4403975163553,893.9735746131538,893.6447801556689,872.1294321711349,893.6407504014722,890.5649831089833,890.5160467046987,889.608173326097,877.7336918549116,889.5402362557627,890.7503900231665,893.6541625911561,893.6170834555556,888.2798643535135,893.0011440301325,892.6734172002808,893.8249361983676,892.9772970675137,893.963536559583,871.7020182453044,892.1267819868411,890.8923001522253,893.6746810309523,893.4185040891363,892.3120918566186,890.934215969063,893.7746063557679,887.5449508762855
Colorectal_GSE32323,887.6553885883477,891.9137022434005,893.3025565262067,889.8572028551579,891.604192262858,892.8151139587504,893.2066460166919,893.8037380710018,885.5280384370217,892.5787107886305,885.3892624923258,893.8769355752628,893.2414912498721,892.3656274126614,891.5730643122096,892.8384157833109,892.8813186913604,881.6202259178478,893.5970280360907,893.2717587456463,893.8628534103881,893.4105523137343,892.8353536484352,891.1616646605233,893.5655454710306,892.8376874532347,893.5565139610463,893.2464562912041,889.0426397238607,884.2771046469398
Colorectal_GSE44076,890.2329026464415,892.2823303179671,893.7166276389086,892.3352347614045,892.3752958432976,890.7598902198932,893.6684958043662,891.9291878075218,891.4545954408807,892.6531232388174,893.630252090804,891.7275932403452,893.2233681059696,892.3284538255814,893.0283896390158,892.1800105036397,891.128014816631,890.8444024700102,891.5129503281445,891.3458997070388,890.1927891971632,890.5799359919471,891.6035121173476,891.7640875967037,892.0968693586107,893.1531510785753,892.3626700090019,890.7265992107916,890.9382672699777,892.8428739851644
Colorectal_GSE44861,890.8920884223985,886.4726132102131,887.8220982319334,890.7084785940759,890.1954581860532,890.6785487413539,891.0664021294207,888.3397374275885,883.819095040273,875.9149522976849,890.6724737152307,886.3767097059731,888.2269383734277,886.1928473536573,892.0908004522972,886.8076910204911,889.9812015661687,885.8976606079099,886.073182071048,889.087708026662,888.2649099266304,882.1030650683349,883.3946020732996,888.600450253995,888.3502447879005,889.3213332747118,889.820490947739,886.9898960530544,887.0340105957109,887.868735510724
Liver_GSE14520_U133A,889.0153879228982,889.3035691862035,891.4316580043776,888.7604799662917,892.0911128567578,887.8125408447016,889.109568417533,890.4163550944695,889.5973292411317,888.529252380573,890.461939171179,890.2228992701943,888.684516215856,890.116307803889,890.0880183727922,888.122501171223,890.6070865902717,887.9180129533968,890.2362302932881,884.0213629434552,886.6308371358651,888.259396374788,888.5387203906033,889.174912846295,889.5349148157718,890.6371025535774,890.7304138753108,890.2775905635011,889.5449976776525,890.1630673054036
Liver_GSE50579,892.3250297205335,891.411095881528,892.5589133956887,893.869705906609,891.7532652805696,889.1116591240852,892.9420074951024,893.5424350961065,885.8403962143475,893.7957280821317,893.210889552814,890.1303665219558,889.3205632840231,889.5793356280112,893.2675459408002,886.5060551467551,890.7234505225845,893.928963912723,892.9002168741623,891.4134211438501,890.259778281751,892.7133157908208,886.5222605690099,892.5996921084284,887.6035451460807,893.0890753445195,893.29156718111,890.1974513025468,893.0147684128077,874.4049110128119
Liver_GSE62232,891.4264619174193,888.4009202992555,891.969477197731,892.3640802154091,892.9748566740286,891.2853851082074,891.9615169654306,892.7076158435445,891.0313203725208,891.6882651449816,892.6755222614864,890.3385078551366,890.433909839385,886.2207263179453,893.5251351035969,892.1865809330668,889.8485986981967,892.3831828237481,892.5016320125767,893.0653644383889,892.3767645241453,892.8905759335368,890.4820281583609,891.3178999276267,890.679972602759,891.0586156162195,893.9182304565783,887.7090512550208,892.025547306437,893.1979908929077
Leukemia_GSE22529_U133A,892.5461174516951,891.6968153001297,893.9815429267027,879.9547696541194,893.8697627626708,884.2070559213419,893.0042089662497,893.6059337672938,893.0933588617456,893.633793485878,842.0881979100168,891.3436319681679,891.9094387856923,892.4236808912542,892.2947947433274,892.1065259323016,893.6174318603535,893.9825865747075,893.9813953635418,891.8331089170954,893.6152264113127,892.9587223481856,892.4756918968294,891.5840413631831,893.6464325517348,893.9134622383124,891.076485166246,867.0562656965975,891.0528798955343,893.7770356395646
Leukemia_GSE22529_U133B,892.5309385062733,893.5220424888448,893.6674880344356,877.336433501718,893.6229319056756,893.3530745470647,892.9029882160934,893.5916460709836,891.5142844023545,892.7181933660561,834.1717868441234,892.4196341106386,893.5652241300203,893.4401715573483,892.9633223279419,893.079128056803,893.2919953092153,890.7920498791415,893.9852654966451,893.9911091660704,893.2581498787156,891.3075603025864,893.7594077979395,893.4641633278583,892.7757960908675,893.5325541467078,892.130793486637,875.4614780578519,892.6910314894938,893.6913831698477
Leukemia_GSE33615,892.437271135529,892.0546667822732,892.3585847066495,893.8587470676351,893.6625601017806,893.9341003252764,893.6353741167444,893.887902266916,893.1671912997816,893.9886720681167,893.9319498662902,893.9980986788686,893.425735175667,891.8143418369017,893.8843452214444,893.946449362195,893.8936224811816,893.8777213490316,891.1518550962948,893.4166676360991,893.851535533838,893.3470813127644,893.2256170578909,891.1569862854526,892.9245762344224,891.7350403460146,892.7386913775802,874.2201929999594,893.3218823493205,892.9779041152742
Leukemia_GSE63270,888.1297743415743,892.5317235618113,892.0694052727108,890.9193460129426,892.640222453462,889.3475809071728,892.2483152405181,887.8625896628753,891.4339757653656,889.1573877428845,890.539129847006,890.6944288242858,893.3034590187225,889.8531516732277,890.5912651839647,891.9182599901358,893.0769308567717,891.0774161042203,888.952324659137,890.6938854995697,888.8691095684912,892.8510764122802,892.3054729040351,889.5311551568232,888.6874794002501,890.9783386635822,891.999404987735,891.0917027534284,893.2581243873562,889.826635757506
ALL-AML-full,888.9503264907229,888.98180018114,892.6894378299617,893.5768800147514,887.8155315700307,891.9913231660967,891.4604476365007,889.9332264062903,887.3338801778069,891.3868555771937,889.1713208441795,892.4054150522585,893.9024549069825,892.5526838215757,890.9602435991853,893.7971964200956,883.7010170523432,890.7177219066326,887.014533425076,891.7013162029916,886.5768241170842,889.0043597041373,888.5526968179415,888.119686615553,891.453556096668,891.9269571288966,890.0869596075842,888.5655238987999,892.9596934647338,892.4925985536335
Breast_GSE22820,892.9869754434369,893.51122586164,893.6706496106942,882.8060751926173,891.8155854879,893.6455603357779,893.9212902425809,893.5249536074876,893.0406959638536,891.6119624168485,892.8316728197959,890.8367428501479,893.3323852760718,893.7973468604612,892.3039589672378,892.5024697467799,893.093577235967,892.8553769001019,893.7870997685773,893.829915316114,893.6813753394791,893.7006054520665,893.5669427509927,893.466987464176,893.8615490625488,893.2867553108241,884.9481430538449,888.3676744105786,892.4962813523313,890.8959714192276
Breast_GSE59246,886.6027198500879,887.0652840797875,888.6810900513185,884.7652950377075,888.3168171917649,888.400422835473,889.6512289105417,889.5819554619803,884.4688332149977,882.831514560873,886.9094097144542,881.2824827653661,885.7413161158964,882.7573082279482,886.715959403034,886.7766329412259,889.0110961740238,886.8459399286961,888.6171254504826,890.0254527060312,885.9001792856211,879.3151861249963,887.3415201372607,884.7516018578718,887.9448792877834,885.0635360902365,888.1092211430714,884.4358932445077,888.6014203233972,887.1691701121009
Breast_GSE70947,887.3199214941937,888.051962087163,886.2358257717561,885.0162948140546,886.454387850324,885.7891528128832,889.1404599373432,888.274864799314,887.1190167910031,885.733402956191,890.8899240616093,888.010644728514,888.773179042638,886.8254980481886,885.7667515345701,888.0595758678913,886.5167731231164,888.4181085887832,887.4878800905303,887.8693657106328,887.7196525639353,887.5718435411732,888.8421182995232,887.686420900261,883.8763311809668,887.7734615033883,888.6713815247381,887.2166600114532,887.9106334751258,888.3853934553329
