Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,44064.11371,44049.35966,44000.67844,44051.21134,44070.70637,43713.17954,44070.64229,44031.49367,44032.35849,43998.53722,43875.22235,44018.8701,44037.16993,44066.55107,44073.42229,44050.34184,44039.71744,44031.31502,44060.44317,44048.38495,44076.07897,43741.20985,44045.85504,44036.20914,44074.35233,44060.12202,43992.97612,44037.12123,44070.05166,43992.24321
Colorectal_GSE32323,44019.67167,44049.96116,44068.69714,44027.93108,44060.01525,44057.90145,44059.92331,43984.69668,44002.39574,44051.09739,43710.23344,44075.92043,44062.5137,43956.15788,44004.60978,44063.77601,44059.78457,44073.99096,44074.44772,44051.28813,44074.05108,44069.99633,44062.60158,44033.86256,44074.37668,44063.64184,44071.37194,44039.80149,44034.41156,43897.29932
Colorectal_GSE44076,44013.69425,44057.64777,44072.29287,44043.1848,44056.15499,44044.69975,44070.86748,44049.93798,44044.87536,44050.14036,44073.33723,44047.00898,44059.05953,44055.45252,44065.46282,44053.42493,44037.70708,44032.65185,44043.96043,44042.38965,44025.53528,44031.51055,44045.50205,44042.08891,44052.19013,44063.85449,44053.53879,44032.91913,44035.95988,44063.00602
Colorectal_GSE44861,44020.78173,43998.71781,43969.64535,44009.35797,44003.87708,44032.62874,44034.86065,43974.06683,43919.733,43833.66591,44028.65841,43972.11379,43997.66754,43950.42277,44050.21014,43993.10579,44026.66728,43929.21404,43943.68331,43991.52004,43988.70805,43751.48024,43956.31836,44016.47628,43985.02561,43991.78438,44012.84454,43982.18335,43977.62686,44028.1215
Liver_GSE14520_U133A,44013.46305,44012.86073,44042.90948,44023.56377,44045.58169,43993.64065,44008.12042,44026.12027,44015.85669,44001.858,44023.12078,44026.00209,44004.60707,44024.44108,44024.10688,44000.46796,44026.80635,43994.74907,44031.36266,43965.7318,43976.3644,43982.99709,44002.19836,44007.6733,44015.8881,44027.79462,44032.94053,44026.85081,44012.58522,44030.69244
Liver_GSE50579,43822.31987,43926.04344,44025.04845,44075.89496,44050.1266,44045.60872,44063.0971,44072.64979,43971.98031,44010.61961,44069.31579,44020.90803,43983.69292,44015.34465,44046.91536,43992.87129,44034.29386,44036.44568,44031.86726,43758.21383,44024.21117,44061.42679,43925.78375,44048.52371,44008.44209,44048.24072,44053.12765,43971.09923,44041.96079,43642.18207
Liver_GSE62232,44042.08012,43979.44373,44029.49801,44065.08013,44038.40473,44050.83025,44050.59857,44061.09189,44059.3368,44030.54419,44059.70333,44020.891,44031.59594,43975.77291,44071.85731,44050.9235,44021.81224,44048.09814,44059.01114,44065.76207,44056.78725,44063.42351,44045.21344,44038.56777,44032.20154,44038.39047,44077.78524,44062.01382,44039.71688,44065.78085
Leukemia_GSE22529_U133A,44057.28017,44017.4391,44002.38003,43757.55631,44070.31704,44039.85716,44062.80621,44064.23911,44066.22792,44072.48751,43641.33679,44022.95499,44042.27805,44063.60648,44053.89097,44052.45755,44073.91085,44076.44924,44047.78736,43896.69499,44072.86183,44064.23125,44064.34712,44038.12618,44044.02969,44073.89283,44034.5,43605.9438,44038.51042,44061.20654
Leukemia_GSE22529_U133B,44027.33692,44057.39364,44065.97914,43823.11393,44055.41651,44065.26492,44059.76236,44071.9528,44045.52404,44052.61385,43141.30067,44044.80249,44066.37789,44062.92609,44053.11272,44036.96421,44041.05183,44035.94909,44059.85821,44047.74286,44058.1898,44009.14748,44075.84107,44071.41404,44055.64732,43993.3404,44015.84347,43910.42976,44060.61097,44073.44119
Leukemia_GSE33615,44051.49006,44052.50035,44055.87698,44076.06398,44075.2172,44077.95147,44071.81912,44067.17299,44067.3533,44078.30289,44077.8788,44077.5296,44070.91019,44037.51079,44072.4021,44077.76171,44075.92706,44071.18581,44040.05218,44052.46132,44077.40863,44064.64483,44068.34536,44030.27091,44060.92838,44038.14747,44061.49325,43948.47185,44069.44719,44062.25245
Leukemia_GSE63270,43999.24108,44054.33615,44052.66793,44039.89284,44044.83716,44015.08229,44053.81088,43996.06035,44028.59763,44000.63013,44012.33226,44036.40882,44070.92393,44008.47491,44033.00372,44048.52226,44052.981,44025.66173,44012.68908,44045.75899,44017.94599,44052.32769,44053.45997,44041.29467,43991.08834,44033.63277,44040.31768,44036.51403,44064.65953,43999.29878
ALL-AML-full,43994.82109,44000.14348,44052.38159,44052.91927,44001.71543,43952.64247,44007.4728,44024.53907,43972.02099,44016.66642,43996.45193,44053.05921,44069.56732,44055.58274,44029.47014,44073.96264,43938.88237,43985.82962,43963.22922,44053.98791,43977.53576,44004.42874,43988.73154,43989.86984,44042.6783,44003.37465,43980.61841,43981.57938,44063.54195,44055.27612
Breast_GSE22820,44061.7082,44066.31986,43973.06419,44011.84474,44030.80733,44072.12091,44076.95556,44065.66096,44065.1056,44038.96895,44025.81797,44015.92863,44070.22492,44072.83753,44055.50873,44027.42615,44055.29606,44062.28048,43979.12098,44076.55348,44073.32784,44076.05658,44071.17595,44068.58789,44077.63208,44065.22485,44018.15466,44004.33497,44050.07939,44038.6733
Breast_GSE59246,43959.68312,43975.04162,43984.93353,43923.23151,43979.70036,43996.93411,44018.53074,44008.14757,43946.55519,43931.44006,43967.87544,43893.39754,43921.24775,43907.08092,43977.12558,43935.58837,44000.9048,43976.24904,43986.36216,44010.03129,43963.55671,43878.9008,43968.69678,43974.11949,43982.37371,43966.84804,43993.68438,43933.3115,44000.07039,43969.02407
Breast_GSE70947,43976.29027,43996.96475,43971.74567,43946.62571,43976.70028,43963.95955,44004.63818,43992.14581,43988.36987,43957.35255,44027.53475,43993.29589,43988.2131,43974.9825,43961.84482,43989.85311,43975.81959,43993.6724,43999.94047,43995.52733,43992.38558,43994.3374,43993.58613,43986.17757,43939.17108,43991.787,43994.16876,43983.49647,43991.08408,43998.51117
breastCancer-full,43995.12128,43968.74608,43940.58351,43958.14243,43943.57239,43951.85457,43986.35395,43960.63452,43982.63844,43962.65436,43994.72613,43868.39819,43920.897,43973.02853,43958.68354,43950.65567,43954.01692,43889.19184,43946.14183,43928.90663,44010.25722,43979.93367,43852.35857,43964.99694,43955.39164,43975.25971,43972.46168,43948.40587,43907.44088,43915.01477
Prostate_GSE6919_U95Av2,43900.34568,43925.17091,43953.56171,43880.38159,43943.14397,43920.29387,43927.85021,43957.78413,43972.53445,43943.77007,43944.14566,43974.65669,43948.78951,43960.45169,43917.29556,43979.4462,43943.81765,43962.46059,43925.60114,43945.93933,43960.31983,43930.68723,43921.5779,43894.48161,43947.10116,43957.21089,43919.77803,43964.09687,43934.87908,43965.94304
Prostate_GSE6919_U95B,43934.63094,43934.34332,43957.59643,43986.69078,43913.05025,43947.10233,43860.64646,43937.16564,43956.67622,43899.51958,43929.62234,43942.05504,43954.38121,43961.20165,43960.01523,43938.26134,43938.16005,43938.19635,43904.27031,43945.56948,43888.05483,43928.50229,43953.23005,43881.54603,43967.18202,43888.11594,43938.18272,43948.8427,43972.70597,43956.75626
Prostate_GSE11682,43904.65229,43826.11184,43782.41778,44042.88078,43901.29228,43994.02056,44019.21867,44075.0566,43805.87757,43905.35815,43932.907,43955.02711,43866.41448,44029.50822,43949.54571,43761.40157,44015.39929,43858.48645,43955.90441,43901.19625,43956.97258,44009.01957,43991.62998,43972.12834,43882.9313,43932.9434,44018.66196,43972.3858,43877.37197,43897.90856
prostate_tumorVSNormal-full,43943.56327,44005.07666,43962.47853,43961.00721,43980.87655,43932.1138,43932.69106,43929.78407,43944.48927,44040.81607,43943.3241,43930.41989,43959.13037,43951.79494,43957.1066,43965.14077,43945.92604,43946.33542,43954.85116,43906.52192,43895.41378,43935.51763,43952.82908,43945.13057,43928.83895,43986.20553,43932.88153,44015.84639,43987.15058,43949.78884
