Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,892.5022390352198,891.1603492201364,889.3344342891633,893.2267127566731,892.6810149009966,883.5700107465684,892.9724916309923,890.4523482147426,889.7383353445989,889.6195921902269,888.823554152768,891.3823011311526,890.1766829553034,892.6703749435095,892.4412727304496,890.8108144018263,892.0724606661024,891.2452725413216,892.6532368057823,892.0700170933738,893.0579512641524,890.2312827352478,891.052829045352,889.9017452926613,892.6682277769938,892.5239428007335,891.5040527822897,891.7016958417806,892.2386911512655,890.4153491411217
Colorectal_GSE32323,890.9522255885669,890.8543586882537,891.9816633058261,891.4508886950778,891.6093219297355,891.7171011058568,890.9383023235075,892.5166714728122,891.5771684991756,891.2726760390149,891.2398588496227,892.402388335906,892.6217950787106,891.0460005152144,890.6392323691034,891.8590259420033,891.2052612664271,891.532732621082,892.9605778961946,890.4712001488083,892.1922308618148,892.3095085457669,891.2309810879616,890.7588964911548,891.8960863994062,891.2831530633306,891.7064231457158,891.1629441933155,890.5712735864969,890.9668383154326
Colorectal_GSE44076,890.0130387787037,892.2038770558012,893.3397602334031,892.0420388283303,891.9649608494394,891.1882321255389,893.1379345092644,891.6784905822174,891.3682472767821,892.2801177048913,893.3068143745513,891.5174390079769,892.8885037019495,892.1003167765252,892.6866251496858,891.8104332731674,890.9741738292427,891.0343736949145,891.2649480270253,891.6184388235849,889.9994327667514,890.6941898990003,891.3908557864227,891.5968665348336,891.6039449917686,892.7091431424484,892.1072253973772,890.4949881825085,890.713217330243,892.6211185147828
Colorectal_GSE44861,890.3252757820896,887.9929372523999,888.0042057281302,890.3339758130878,889.6568550322824,890.4834856453602,890.3790650410184,888.7573091240515,885.6753189154844,884.8609121152957,890.1848391297858,886.257199043779,889.6620679680493,887.5223880178254,891.9205184324168,889.1024279927145,890.924925333569,885.6872160979142,887.6721245623003,888.6870819931503,888.9060879175989,885.2219311722951,888.0792196130714,890.0947665844293,888.8656941030805,891.0365673217161,890.0597700003485,888.3640060400638,886.7353520042069,891.2352482306742
Liver_GSE14520_U133A,889.2614528180037,889.1751052711078,891.3189751000765,889.7769048782751,891.9455528678565,888.4725918357414,888.8970005904522,890.1803245486736,889.8150000992696,888.3357612704808,890.9166519017894,890.0316427441145,889.0395600949319,889.9081526964866,889.850783974112,889.7200426702011,890.4805126834375,889.119467893718,891.232602009317,887.1886339134829,887.1931334375255,888.8896293674152,888.4007795309373,889.5680321070552,889.381175277099,890.358450112106,890.5063508052148,890.0819019762242,889.3841548834887,890.5334970383913
Liver_GSE50579,891.9856677161549,890.7760184871538,891.86449704032,892.9909435312151,891.1464202101521,890.9955910730387,891.9344500497601,891.9072359562886,891.6744315552057,892.5443289965721,892.8637258799528,889.9210557911589,889.6631894920157,890.6684571567529,892.5522229806429,890.3442813102087,890.5662424478388,892.8967819369961,892.0145124523189,890.6473782303193,889.809324312511,891.9854426144658,889.4301767025988,892.0638230949078,887.9786044480545,892.7638442927108,892.8222036915341,891.124153539826,891.8054247768928,891.7050002741129
Liver_GSE62232,891.4994679498125,889.061101290982,891.4718504907917,892.3947228694077,892.3281979391161,891.9307071939736,891.2337376338036,892.3107575835487,892.0853952096827,891.2795559990146,892.1561177259462,889.7857515696618,892.4381419734729,891.9328053923529,892.879705309185,891.4371958273232,890.7946177321897,892.8168848038903,892.9048087255262,892.2512210735938,892.4440867544777,892.3336592362795,892.0527119027536,891.7547629179076,890.1932312522165,891.1734793873923,893.5465898259065,892.3720391580574,891.8575565056798,892.1260009976016
Leukemia_GSE22529_U133A,891.6872307630706,893.0965845853993,893.0131287411842,882.885204119104,892.9186398097027,891.5861639353067,892.1200200497972,892.7883783575126,892.0528552504304,892.5200180590871,886.046418011984,891.3684816109101,890.3852703424291,891.5940518992566,891.4218375021817,891.3238416882784,892.4519110367819,892.9640045472518,893.1014187303339,891.357197870565,892.7534832484074,892.2461678432192,892.4317519635981,891.4183368283112,892.4793913424589,892.7071200222027,891.8842844339341,887.6279646641428,891.1371447892684,892.5273925342183
Leukemia_GSE22529_U133B,892.4584466070451,892.5063502431647,892.4995498762921,888.772338671015,892.2367049597924,892.1964076519206,891.8804462701765,892.4659210078112,891.6085617631129,891.4936151849749,889.715971577596,891.8938886689266,892.5723732401975,892.5931593263066,892.06344622363,892.2569809765639,891.8732628118955,891.2032465475614,892.9800106838119,893.1877621940357,892.0002815784995,892.0997029899186,892.7159773477186,892.451421999815,891.8213685574326,892.049274140725,890.7730732533071,882.2755697379642,891.747542703377,892.1340117396337
Leukemia_GSE33615,893.2654685423513,891.2593148800491,891.32366505292,893.0069094106453,892.770368824156,893.167531691354,892.6388572414892,893.1929716327104,891.3872221456858,893.0643746302457,893.2428843081683,893.3812263772068,892.2200260156683,893.0354369907269,892.3358288652854,893.0744519926127,893.3114424035642,892.8841460943864,891.0795817810238,892.5319616972395,893.1027858139473,892.3256547123967,892.266896373011,889.9832516432486,891.8389718616896,890.9452720704744,891.6680897893854,892.0630743609815,892.3102152349063,891.890302928003
Leukemia_GSE63270,890.8831995207208,892.2211716919683,892.4499204108179,890.6576153404669,892.2438839593796,890.515778306475,891.8992585988462,890.3756384480644,891.085130915319,889.2139357988344,890.2071747156957,890.5507749676093,893.0500467025332,890.8253185573415,892.1691276999159,891.3756616861023,892.4187231720679,890.6587341579308,889.4124823719033,891.2683951306095,889.9257784934875,892.5556096077272,891.8442472293327,890.9583701941433,889.7499226604182,890.4920629042915,892.0541801693001,890.5168400945608,892.717642798726,890.5917311820816
ALL-AML-full,889.4074588982769,888.6883985045666,891.8533598003733,892.6660225697569,888.1395214941788,890.7601971264887,890.790388158275,889.7312491746022,889.2146024023311,890.484231880639,888.9389284198577,891.6225822449895,892.9012130064336,891.2451087308907,889.7477565677771,892.9922201865222,887.6361947721647,889.976992908467,887.3351253719461,892.0058499978763,888.8175878351149,888.4584402144826,888.3893488410887,888.3641434017759,890.6617560760789,891.0857716486712,889.7158662322562,887.6586077903986,892.396381078747,891.5905728069281
Breast_GSE22820,892.4807701325935,892.7299187221171,893.0963011751808,889.39975540982,891.5590413021503,892.9936167448578,893.4786135308966,893.1310887326754,892.6655172944976,892.0536808789499,892.0763075755677,890.6810470880963,892.7140193498539,893.4899010162305,891.3903538974645,891.4340363831577,892.3502373881291,892.938357921045,893.3268070813941,893.2113391980782,893.2808354690009,893.2773225358857,893.1829591461541,892.6693593465163,893.3985595764703,892.632996431016,888.9672257517236,892.3402619658242,891.9202817798306,890.7674050319166
Breast_GSE59246,887.1605745471403,888.2879870330203,888.9862875674139,885.4287734751446,888.10282941519,888.0809365125939,889.0232932183151,889.1831224442795,887.038058549862,886.4931689150688,886.6407553471535,887.3167210198172,888.1923977021494,886.2140646107831,886.8959022826459,889.0403535996867,889.321406782076,887.2974228508023,888.1186427807729,889.8971202491855,889.5168561612082,887.9294333344809,887.0093481994707,888.5568953668554,889.1985033572569,886.8045521922048,887.8770288472538,885.1673604139578,888.1549985048403,888.1134055202941
Breast_GSE70947,887.3846165454285,888.4644215201514,886.7978944398004,886.0239846475597,887.5558466440923,885.8515792854829,890.1898246559466,888.303698802444,887.8099142705918,886.6331891007638,890.7337829175877,887.9936815623555,888.6449865524852,886.8363020903927,886.0237951882312,888.4902201240805,886.5658383167372,888.354664907424,888.2750716721777,888.7717720573409,888.1091924404944,887.7655414376452,888.8192961459489,888.1806909745791,886.2509859748484,888.4026154969753,888.5115710800343,887.6334487384964,888.491341475173,887.9909690083125
breastCancer-full,887.8816774875773,885.8316758163313,883.9452928374333,886.0414490164494,886.4670003062475,884.882321084129,887.3396308513518,887.4762862688867,887.8529290916345,888.3556746875925,887.7015969103913,883.6055826376071,884.8042854019566,887.2640982064614,887.0105634129276,885.1698115953415,886.5596933252542,886.5386576087704,886.2405398435886,885.2328478106683,891.3448651163877,887.9440382903911,885.8480312892007,886.3911476440252,887.1911357171192,887.4552788143196,886.1546572097042,885.9869217999843,885.0301972755819,886.5828532911804
Prostate_GSE6919_U95Av2,885.6509591825271,883.8281556735675,886.9560723043572,883.1990916382111,887.3948329514768,884.7168039629206,884.3104664693033,886.4240770940262,886.7720377986411,886.1873360760873,885.0958022303275,887.5555016136653,885.6127094036892,887.3001653320337,883.5700196276605,888.3780182092979,886.0325541086722,886.0156781858524,885.2142357060159,885.885469920216,887.3788102238622,885.5339647897604,885.2913528927929,884.3905202337712,886.0031730421069,887.3057463204891,882.9883891949198,886.3299646385234,886.4253635533279,886.1318082638792
Prostate_GSE6919_U95B,885.9184306983169,885.7111114927475,886.5405101423589,887.6111780907156,884.5106684873058,885.8010242110735,885.4344459363443,884.8964533933282,887.030328489033,886.1411650546304,884.7246637294032,886.1720345503644,885.4844838389016,885.2467223469328,886.302448350961,884.4666289279459,885.854753387789,887.4704385495045,883.9725595663085,884.7832396631462,885.0296185739797,885.8493909843967,887.8890126533139,884.6013426611286,885.8650911040945,885.1004165181478,886.7516153577033,885.0675577466745,886.8162255918505,885.6160122275219
Prostate_GSE11682,890.7404546159786,889.791317874614,888.2924755042538,890.8031482489943,886.8462922371627,888.5431539004351,891.5131081105945,892.0494515568713,885.6887435742584,889.4669723992113,889.2468243365273,886.1290139444593,883.5920290777254,890.153280547646,888.2277563220075,888.7990733747877,891.5675587789697,891.885769130501,885.4711870142406,890.3857182655373,885.2297846146338,890.338809003302,888.0489670669623,889.3324629311461,890.2582181993889,890.6848051176089,888.5974193459192,887.5524392547294,890.7895810428492,890.7559292528298
prostate_tumorVSNormal-full,884.330825484766,888.4463091209379,886.231292212561,885.4103571482939,887.1540342337155,884.2309975693458,883.6977687069849,884.0666818032402,885.0438499340135,891.5495794742839,885.2985210245939,884.1446478376456,885.9883463807028,886.3243091590929,885.7129250117483,886.1456775375115,884.5015801616219,885.7923903592689,885.5519267507773,885.1232711204823,883.9437553177323,883.5894461701429,885.7575814608953,885.8014398819594,885.8712651141667,887.382895190155,884.0101283619857,889.5039270977782,887.3849983489546,885.8082066961375
