Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,892.5115261042116,891.1325595965161,887.4583189313994,893.2071019497562,892.6025463601956,871.110060613586,892.9724916309923,889.1381435756572,888.7060368781616,887.6931541267827,876.6774511414209,888.4441612457822,889.9547281803899,892.6005458976132,892.3274021671212,887.1171304650038,891.9719492222303,891.2452725413216,892.6532368057823,891.8292727470422,893.0867224403494,870.8054595672439,891.052829045352,889.8063681460804,892.6689533063475,892.5240281493707,891.3209376695452,888.9185483758125,892.15667193844,886.3148747749862
Colorectal_GSE32323,886.4317197509229,890.8283943532597,891.9484485826489,888.1854192679975,889.5325101794457,891.4722370834559,890.7321812126328,892.5166714728122,881.971177048694,888.853284052529,883.6738911043003,892.4187139475264,891.891551715091,890.0183971856046,888.949956959991,889.0023068668041,890.0499616744892,879.8101962981582,892.4325547431748,889.3265500579804,892.2465427363182,892.3747876673206,889.976293242116,889.3996480111822,891.9423766286587,891.2630367335597,891.1476332831153,891.224935171089,887.2510494119291,882.2525042903251
Colorectal_GSE44076,890.017065021794,891.9728178205133,893.3401380084073,892.0420388283303,891.9649608494394,890.3580818612046,893.1371285679681,891.6784905822174,890.759945282664,892.3143419923084,893.3497742482963,891.5174390079769,892.8747583612492,892.1003167765252,892.6775692534407,891.8104332731674,890.7830201360821,890.6358804229286,891.2640307964651,890.9691109762019,889.9928143354423,890.2598543437368,891.1304601551524,891.4822390245474,891.6039449917686,892.5283606642597,891.6996651800787,890.4947247061328,890.6620023640731,892.5551724104316
Colorectal_GSE44861,890.320677608522,885.8724756070159,887.2906585670266,890.315282860697,889.6646588478848,890.3336819589608,890.37935820649,887.8762338821256,883.4197059640691,875.3812056022078,890.0616610558592,885.7895739082788,888.0627154356218,885.7557745997908,891.6833409459543,886.4949184902067,888.8310154242046,885.4802297421869,885.7381366559185,888.6150851702115,887.6720512932907,881.7797250220324,883.0858722220845,888.181181288326,888.0971061325016,888.9161226635296,889.372365779111,886.4556823971344,886.4741381234877,887.5153355426121
Liver_GSE14520_U133A,888.8304482642741,888.9624895130665,891.3189751000765,888.4590123330788,891.9455528678565,887.6841682112573,888.8970005904522,890.1803245486736,889.3986699820674,888.3299936358839,890.2730504008562,890.0310310395174,888.5203083759066,889.9073136448073,889.8369170369543,887.7806777066252,890.4013651955746,887.6910382247177,889.881316641385,883.8697555969355,886.4396516137441,888.0548130845841,888.3931956176172,889.0269019307897,889.3464962426492,890.358450112106,890.5063508052148,890.0728587504507,889.3841548834887,889.999205732676
Liver_GSE50579,891.8547301577687,890.6829785020677,891.0006050019973,892.8201821782836,890.2722499250241,888.2467771527059,891.6389178442336,891.6725399227553,884.8034692117828,892.4679175417486,892.2199970420982,889.2527807056985,888.3251075392667,887.7989566190513,891.9568727078097,885.2924114946416,889.9459306409719,892.8391464963589,891.9821054753806,890.4537414360613,889.5599921791002,891.8575393527094,885.687885610633,892.0176697485159,886.4304941464953,892.1979594992413,892.6587097527514,889.1911316575778,891.8054247768928,873.1837595060399
Liver_GSE62232,890.9104238423814,888.1196800923268,891.1632583203768,891.7469219150412,892.3281979391161,890.7244292738684,890.7348149895877,891.8168929310837,890.4591879878009,890.9118061544762,892.205464560965,889.7765015664245,889.728658288763,885.2540372082397,892.907666114036,891.4371958273232,888.8339121704499,891.6818266959633,891.8758029910066,892.1491492392483,891.7866348283716,892.1521048651974,889.8674004141649,890.7730401636255,890.1932312522165,890.6702230336812,893.4784627654049,887.1000325865493,891.3410129341162,892.1260009976016
Leukemia_GSE22529_U133A,890.8939286493804,890.9616343440792,893.0476038084387,879.0603744458216,892.9113695053943,882.943079359445,891.8871795420774,892.6639741271207,892.0161384554701,892.4181877210372,841.1863372199902,890.477799870426,890.0404694341164,890.9289238232466,891.3561171389766,891.3151241601629,892.4477570921295,892.9860363037408,893.1083773435054,889.7815504495547,892.4863215026493,891.7289351699109,891.8810415031645,890.6605614962884,892.328261497705,892.7071780011316,889.3436015968211,865.776635321817,890.2395654085576,892.4655254766178
Leukemia_GSE22529_U133B,891.3562089267036,892.6118034957158,892.1405813244018,875.8922418195237,892.260545485986,892.1652912314263,891.777616089705,892.4196139424284,890.6056219162551,890.1919226232999,833.0134732360767,891.8938886689266,892.2991826483753,892.2035281659969,892.1423531219417,892.2427040577967,890.7337158653427,889.7770974401074,892.9986253313608,893.1873547224976,891.9804542275302,890.8326199251601,892.6463064058618,892.4507834225126,891.8305087553645,891.892929073764,890.4344406846586,874.0413248453847,891.747542703377,892.1059813590751
Leukemia_GSE33615,891.7506253774511,891.1737520504405,891.32366505292,893.0071190267731,892.6075794898964,893.1361244437289,892.4669047542515,893.1929716327104,891.2733643206278,893.1110554923262,893.2131474643808,893.2661932394642,892.2200260156683,891.0173625109749,892.1518991590713,893.0737538732003,893.345999398893,892.9153732597171,890.3531393022299,892.1656592448555,893.042229199159,892.3888091088178,892.2621216933854,890.0210051355033,891.4177036462305,890.4799977186863,890.6660271675185,873.3592253281818,892.1208358736725,891.6640293372981
Leukemia_GSE63270,887.4215796298407,892.0381055384788,891.3687674464688,890.0919653288411,892.2438839593796,888.6313983356036,891.7308116049969,887.3077075775411,890.8238478484946,888.7122172301335,890.116239505729,890.1088282961991,892.9954683100274,889.2648181112887,890.1547261152423,891.3718852549623,892.4187231720679,890.6032426478371,888.2030291414097,890.199574572228,888.3832812732039,892.3852319509441,891.7178790881565,889.0080044683808,888.0846788641933,890.4920629042915,891.3879089952749,890.5140133203984,892.7112891345154,889.2410924797049
ALL-AML-full,888.01694935009,887.7618138440494,891.8395390506461,892.6243701624059,887.1525612358387,890.752932196049,890.6951337370601,889.0186601368996,887.027355501753,890.2985809866316,888.5504681205239,891.0124468299163,892.8249876436075,890.9832790964156,889.7495229246815,892.9896090160066,883.2691669289765,889.4300434862178,885.782736612188,891.09765299986,885.8490927998864,888.3569673120475,886.9530055345808,887.5464866340357,890.5664621295919,890.9849497618202,888.9674240841952,887.705772391244,891.9297555120343,891.578384049178
Breast_GSE22820,892.2011187464894,892.7301343098704,893.0282239833451,882.0479114604028,891.0746328233381,893.0763267696518,893.5017473325631,892.9157616444545,892.6073916317057,891.0699923159111,891.901010416658,889.6022721732389,892.7810074279517,893.417494165855,891.3720992862964,891.6381987334204,892.0897709430739,892.3962241070086,893.3166495062309,893.1517710166988,893.2779622620699,893.1998238981437,893.1266911954043,892.6650559824633,893.342062832084,892.6297978678518,883.7676972279253,887.8908525350503,891.9066369159622,890.4899132359558
Breast_GSE59246,886.345493228009,886.7146201496431,888.190127864983,884.4190088124747,887.6999409294232,887.9012078585461,888.9978204515105,889.1311595016202,884.2153766165028,882.2300727486192,886.6407553471535,880.688453100482,885.1328566968284,882.459382225237,886.3947880806047,886.4192107980473,888.722680044702,886.3637572471976,887.9111981353591,889.3791645108831,885.4755618401946,878.8926956236592,887.0093481994707,884.4503907392038,887.4585881117755,884.6851997798077,887.7010198151987,884.1894891212261,888.0782538340284,886.8688169069269
Breast_GSE70947,887.2132661170551,887.9145193821387,886.0558105058296,884.8997207114261,886.3598939188015,885.5240278243729,889.037622663875,888.153901917285,886.9220907813674,885.5242246336713,890.7343979332137,887.8325951045673,888.6333546105166,886.6149513341421,885.632100857141,887.8755151304435,886.383757514342,888.2719316724375,887.3750862247417,887.7067004657122,887.6083016073854,887.3598213439552,888.7365594153899,887.5828100836734,883.7100984699084,887.6463207101975,888.4400561636286,887.0787496692511,887.7746462022845,887.9623055576924
breastCancer-full,887.8435105383604,884.7637328213326,880.0430971755047,885.0345436104853,886.4546488348778,884.1587543135422,882.6962963532278,886.5307412631829,885.8337677523633,886.6130263513683,885.3667987353699,879.5051992360875,884.8725573129682,887.2262743684375,886.9869857962427,884.7364080855574,886.4328428869035,885.187785304263,885.930575711342,882.5848418604822,891.2451437753339,886.815502379063,882.2715021907155,884.3169281484777,887.1911357171192,887.439371603971,884.054048914712,883.3011308919156,882.6375960833158,881.3279559524154
Prostate_GSE6919_U95Av2,883.721484876707,881.9131781888175,885.279350358621,883.1649237107146,886.6239186516138,883.0233843571432,882.7590166876954,885.4847168152588,886.4734703661321,885.0522000558801,884.9316419073442,885.3581868299362,885.1587640590366,884.7602284377618,882.428060955941,888.3241346249008,885.1009534720877,884.835491896677,885.2142357060159,885.4866330095699,886.9805893001687,883.0837545517232,884.2594179520812,883.3524080048719,885.6429872998012,886.8367898739359,882.4874967108668,885.4664937502831,882.7439929197446,885.5761929874599
Prostate_GSE6919_U95B,885.0168477890525,885.7111114927475,885.7106528038315,887.0392214649205,882.3643651973916,884.8899637527643,879.3070766879312,883.7012506782098,886.8925853736356,880.2182208790257,883.0210795471888,884.5907021710444,884.877298862102,885.1255489098153,884.4346578846007,882.8517266795609,883.2307208726909,886.8140489466269,879.7652173469622,884.1403050909464,883.9832746038918,884.3086075314856,886.7182471936567,881.7533123147814,885.8357895143486,884.0028796146377,885.6125789698212,884.1932271240543,886.6009171875356,885.2463081124089
Prostate_GSE11682,880.4013495293873,876.1323438183698,856.310969788697,890.7846331685048,883.9267828653396,886.9898611719107,886.2247779190191,890.8106794092269,869.2100499352429,883.1880047808969,885.4920735602064,880.7760123527252,882.1438732217986,889.5221155762652,884.069604876853,886.0284914414497,891.4821445639876,881.2688656164026,879.5544632500955,880.4460336936812,883.1505520941104,890.2627920505389,886.3037334449835,885.7883494623767,878.0039683536792,889.0109496360046,858.7738345608653,885.2142889925683,880.2414455167306,875.3189568593285
prostate_tumorVSNormal-full,883.9234669094903,888.4274650286665,885.234837819003,885.132888919999,886.3032377845976,881.9537020038254,883.5817777047123,882.7847016701112,884.7518851647089,891.5446520389088,885.0781306870673,883.8965240965457,885.8663761324884,886.3243091590929,885.0760752210005,885.9124053725934,884.4746840124882,884.1461446949501,885.53977201063,882.3503262590218,883.8682786713242,883.2312779020111,884.9990376123061,880.1651683162838,885.0436236866313,887.3212116664835,883.146462487932,889.0014366728815,887.3715019172606,883.4976066177755
