Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,0.072179414331913,0.14252446591854095,0.3843713700771332,0.14246436953544617,0.040799807757139206,1.825822114944458,0.041266873478889465,0.2305380403995514,0.2232925444841385,0.39622849225997925,1.0268776416778564,0.2990435063838959,0.19925233721733093,0.06236550211906433,0.02716592326760292,0.13653245568275452,0.1964942216873169,0.2377353459596634,0.09423903375864029,0.15221144258975983,0.014732059091329575,1.717631459236145,0.1603679209947586,0.2052849680185318,0.02216305583715439,0.09382761269807816,0.4345162510871887,0.20880624651908875,0.04473305121064186,0.43322476744651794
Colorectal_GSE32323,0.29489344358444214,0.13834385573863983,0.04941380023956299,0.25592100620269775,0.09538264572620392,0.10589061677455902,0.09372662007808685,0.48263147473335266,0.3911619782447815,0.1423559933900833,1.885737657546997,0.015001820400357246,0.08277925848960876,0.6266413927078247,0.37895697355270386,0.07594972103834152,0.09529343992471695,0.02386392466723919,0.022979076951742172,0.1383775770664215,0.025272032245993614,0.042869262397289276,0.07822173088788986,0.2228112369775772,0.022095678374171257,0.0775977224111557,0.03731455281376839,0.19815433025360107,0.2174011915922165,0.9266262650489807
Colorectal_GSE44076,0.3155551552772522,0.10171927511692047,0.03294053673744202,0.1751304417848587,0.10882207751274109,0.16338659822940826,0.04000796377658844,0.13841645419597626,0.16389718651771545,0.14109107851982117,0.026934605091810226,0.15240314602851868,0.09827503561973572,0.1121843010187149,0.06449690461158752,0.12182093411684036,0.19751659035682678,0.22429585456848145,0.16694441437721252,0.17711061239242554,0.25468698143959045,0.22882342338562012,0.1601279377937317,0.17814314365386963,0.12772688269615173,0.07321012020111084,0.12264199554920197,0.21952828764915466,0.20522108674049377,0.07639613747596741
Colorectal_GSE44861,0.28262993693351746,0.38328272104263306,0.5322632789611816,0.34055936336517334,0.36573526263237,0.22148893773555756,0.2113083451986313,0.5135644674301147,0.7773575782775879,1.2131249904632568,0.24156062304973602,0.5117329359054565,0.3968227505683899,0.6276336312294006,0.13886238634586334,0.4172013998031616,0.25701776146888733,0.7278544902801514,0.6631473302841187,0.4240145683288574,0.4385627210140228,1.635927438735962,0.6002245545387268,0.30243656039237976,0.4580456614494324,0.4340725243091583,0.3210245370864868,0.4693787693977356,0.48630237579345703,0.2500172257423401
Liver_GSE14520_U133A,0.3127049207687378,0.315196692943573,0.17190861701965332,0.26405391097068787,0.16158680617809296,0.4099707007408142,0.33840590715408325,0.25280043482780457,0.30305182933807373,0.3675916790962219,0.271714448928833,0.25241753458976746,0.35674387216567993,0.25987666845321655,0.2614421546459198,0.3820555508136749,0.25037842988967896,0.40811556577682495,0.2320234626531601,0.5467165112495422,0.49297118186950684,0.4669545888900757,0.3658868968486786,0.3438241481781006,0.30095213651657104,0.2453460395336151,0.21943530440330505,0.248382568359375,0.3177424669265747,0.2309120148420334
Liver_GSE50579,1.3093948364257812,0.7717047333717346,0.26959696412086487,0.014656176790595055,0.14517606794834137,0.1590818613767624,0.07648579031229019,0.030218640342354774,0.5440663695335388,0.3502403199672699,0.04654369503259659,0.2804931104183197,0.473760724067688,0.3129376173019409,0.16164113581180573,0.4269335865974426,0.21382704377174377,0.21773605048656464,0.23656722903251648,1.6319496631622314,0.26265621185302734,0.08368578553199768,0.7663730978965759,0.14944584667682648,0.3360574543476105,0.15450704097747803,0.12976649403572083,0.5442710518836975,0.1848922073841095,2.231940984725952
Liver_GSE62232,0.17919719219207764,0.486694872379303,0.24398300051689148,0.06631668657064438,0.2029237300157547,0.13668662309646606,0.13541367650032043,0.08673718571662903,0.09367888420820236,0.23743125796318054,0.09232370555400848,0.2792649567127228,0.2377339005470276,0.5220988988876343,0.03419420123100281,0.13468246161937714,0.2786175310611725,0.15583693981170654,0.10056160390377045,0.06306780874729156,0.10894197225570679,0.07432111352682114,0.1664426624774933,0.19826874136924744,0.22296631336212158,0.19723600149154663,0.0059996601194143295,0.08092476427555084,0.19246748089790344,0.06367764621973038
Leukemia_GSE22529_U133A,0.10467529296875,0.3149000406265259,0.39282432198524475,1.5951358079910278,0.043864503502845764,0.1956491619348526,0.0792374536395073,0.07447066903114319,0.06084839254617691,0.031958699226379395,2.2062830924987793,0.2780146598815918,0.17761026322841644,0.07333538681268692,0.12035483121871948,0.12645113468170166,0.024174928665161133,0.012991512194275856,0.16001617908477783,0.9302635192871094,0.03012971207499504,0.07080520689487457,0.07073348015546799,0.20138055086135864,0.17792236804962158,0.02574682980775833,0.22620663046836853,2.3998165130615234,0.1976575255393982,0.08995665609836578
Leukemia_GSE22529_U133B,0.26077404618263245,0.1084231361746788,0.06661014258861542,1.2930086851119995,0.11885174363851547,0.06755337119102478,0.09303659945726395,0.035069502890110016,0.1667095124721527,0.1288231760263443,4.790065765380859,0.16726738214492798,0.06328578293323517,0.08033248782157898,0.12772682309150696,0.2108660787343979,0.19098003208637238,0.21523131430149078,0.09803883731365204,0.16021399199962616,0.10291413962841034,0.3525436520576477,0.01502200961112976,0.03747781738638878,0.1141110360622406,0.4371240735054016,0.3142937421798706,0.8105105757713318,0.08758842200040817,0.027241175994277
Leukemia_GSE33615,0.14071911573410034,0.12948442995548248,0.11016209423542023,0.014280534349381924,0.018525056540966034,0.0050812275148928165,0.03493592143058777,0.06005065515637398,0.05545585975050926,0.003516814671456814,0.005523236934095621,0.007534486707299948,0.03854125738143921,0.21132856607437134,0.033152613788843155,0.006075561977922916,0.01512558851391077,0.03942881524562836,0.19020657241344452,0.13381195068359375,0.007510616909712553,0.06935608386993408,0.05147207900881767,0.23506943881511688,0.08782284706830978,0.19991891086101532,0.08382032811641693,0.6627188324928284,0.04551124572753906,0.08061608672142029
Leukemia_GSE63270,0.39566415548324585,0.11987897008657455,0.13010302186012268,0.18799099326133728,0.16822081804275513,0.3120577037334442,0.12075173854827881,0.4096836447715759,0.24678616225719452,0.3795342743396759,0.32457494735717773,0.20326070487499237,0.038180090487003326,0.34747979044914246,0.22903461754322052,0.1456398218870163,0.12869709730148315,0.25899016857147217,0.318149209022522,0.15915712714195251,0.294584184885025,0.13215045630931854,0.122177354991436,0.1796347200870514,0.43075478076934814,0.21715670824050903,0.19057601690292358,0.20297694206237793,0.06977140158414841,0.3942556381225586
ALL-AML-full,0.41146039962768555,0.38361915946006775,0.12984274327754974,0.13179638981819153,0.36968234181404114,0.6377233266830444,0.3537828326225281,0.2618926763534546,0.5265852212905884,0.30718645453453064,0.4008464515209198,0.1268383413553238,0.047879673540592194,0.112933449447155,0.2376115471124649,0.02480422705411911,0.6884244680404663,0.4633241593837738,0.5633996725082397,0.121442511677742,0.49656689167022705,0.35715022683143616,0.43946370482444763,0.43150264024734497,0.173786923289299,0.378158301115036,0.48806214332580566,0.471543550491333,0.07719798386096954,0.11414478719234467
Breast_GSE22820,0.08352095633745193,0.06258171796798706,0.5416957139968872,0.321978360414505,0.23822219669818878,0.03295858949422836,0.010185649618506432,0.0672125369310379,0.06632621586322784,0.1977592408657074,0.2654724419116974,0.3095065951347351,0.043958794325590134,0.03123442828655243,0.1126658171415329,0.2556477189064026,0.11691032350063324,0.08241540193557739,0.5119007229804993,0.011651715263724327,0.02772331051528454,0.014001665636897087,0.03802354261279106,0.0506824254989624,0.006537946872413158,0.06717462837696075,0.2898300886154175,0.37654176354408264,0.1406637579202652,0.1921156495809555
Breast_GSE59246,0.5783268213272095,0.5055990815162659,0.45814248919487,0.756560206413269,0.48120129108428955,0.39301568269729614,0.2879202961921692,0.3409590721130371,0.6447312235832214,0.7195268273353577,0.534297525882721,0.9192545413970947,0.7825415134429932,0.8431838154792786,0.4880742132663727,0.7117857933044434,0.3780270218849182,0.4943307042121887,0.4476659595966339,0.3371519446372986,0.5703840255737305,0.9966849684715271,0.5315114855766296,0.5116905570030212,0.4731503129005432,0.5402772426605225,0.40815025568008423,0.7038444876670837,0.3775440752506256,0.535502016544342
Breast_GSE70947,0.4933169186115265,0.3931409418582916,0.5139984488487244,0.6384999752044678,0.49212607741355896,0.5489775538444519,0.3625369369983673,0.41688603162765503,0.4340665936470032,0.5865166187286377,0.24797186255455017,0.4096488356590271,0.43882861733436584,0.4976046085357666,0.5604016780853271,0.4295901358127594,0.4915551245212555,0.4091816544532776,0.3766533136367798,0.4020959138870239,0.41460251808166504,0.4033181965351105,0.41204899549484253,0.44670116901397705,0.6778674125671387,0.4193344712257385,0.40780580043792725,0.45778781175613403,0.42317312955856323,0.38404154777526855
breastCancer-full,0.4009832739830017,0.5252578854560852,0.6595844030380249,0.5821166634559631,0.6573188304901123,0.6090950965881348,0.4425293505191803,0.5764225721359253,0.4650166928768158,0.5699735879898071,0.4014953374862671,1.028868556022644,0.7654480934143066,0.510785698890686,0.5845518112182617,0.6151779890060425,0.6047831177711487,0.9389013051986694,0.6437391042709351,0.7258473634719849,0.3409649729728699,0.47916197776794434,1.1218373775482178,0.5476792454719543,0.6010807752609253,0.5012836456298828,0.5075670480728149,0.6309530735015869,0.8353900909423828,0.8044928312301636
Prostate_GSE6919_U95Av2,0.8749715089797974,0.7379969358444214,0.6083786487579346,0.9641978740692139,0.6640470027923584,0.767376184463501,0.7268347144126892,0.5860157012939453,0.5126200318336487,0.6550188660621643,0.6473864316940308,0.5032352209091187,0.6264029741287231,0.5746105909347534,0.7769126892089844,0.4833616316318512,0.6536147594451904,0.5588573217391968,0.7427786588668823,0.6421607732772827,0.5762132406234741,0.719057023525238,0.7638007998466492,0.8988182544708252,0.6374220848083496,0.591193437576294,0.7613883018493652,0.5514696836471558,0.7015765905380249,0.542646050453186
Prostate_GSE6919_U95B,0.7009979486465454,0.7004215717315674,0.5856525897979736,0.4443378448486328,0.8041298389434814,0.6371375322341919,1.0768297910690308,0.6830304861068726,0.5940821170806885,0.8816908597946167,0.7197933197021484,0.6634668111801147,0.59760582447052,0.5614877939224243,0.571893572807312,0.6741513013839722,0.6822181940078735,0.689793586730957,0.8460830450057983,0.6394259929656982,0.9343246817588806,0.7310969233512878,0.6162455081939697,0.9657906889915466,0.5335990786552429,0.934784471988678,0.6864473819732666,0.6245586276054382,0.5100666880607605,0.5873595476150513
Prostate_GSE11682,0.8835417628288269,1.2813084125518799,1.496509075164795,0.17862151563167572,0.8825689554214478,0.4170905351638794,0.3006282448768616,0.018726948648691177,1.36604905128479,0.879454493522644,0.7300190925598145,0.6012319326400757,1.0449180603027344,0.24303758144378662,0.6425530910491943,1.6118561029434204,0.3235660791397095,1.1256272792816162,0.5954980850219727,0.8993790149688721,0.5856795310974121,0.3505801558494568,0.43301838636398315,0.5301733016967773,0.9916226267814636,0.7476065158843994,0.28858715295791626,0.5233705639839172,1.0256913900375366,0.9214500784873962
