Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,2,7,2,1,4,4,3,2,5,3,4,3,2,4,5,2,4,3,4,5,3,1,3,3,2,5,2,4,2,3
Colorectal_GSE32323,2,2,3,2,2,4,2,1,2,2,2,2,3,2,2,3,33,1,4,2,1,2,3,2,1,2,2,8,2,3
Colorectal_GSE44076,3,2,4,2,2,3,2,3,3,2,3,2,5,2,3,2,2,3,2,2,2,2,3,2,1,6,2,2,3,2
Colorectal_GSE44861,3,3,3,3,4,2,5,3,2,3,2,4,2,2,5,4,3,3,1,4,2,5,2,3,2,4,3,4,4,3
Liver_GSE14520_U133A,3,2,2,3,3,1,2,3,3,2,2,3,1,4,3,2,3,3,2,2,4,3,2,2,2,2,1,3,2,4
Liver_GSE50579,3,2,2,2,3,3,3,3,3,3,4,2,4,3,2,2,2,1,5,3,2,4,5,5,3,4,5,1,2,1
Liver_GSE62232,5,3,2,1,2,2,3,2,1,2,2,2,2,1,2,2,2,2,2,1,2,3,2,9,2,3,1,2,2,3
Leukemia_GSE22529_U133A,3,1,1,4,2,2,4,4,2,4,1,3,4,2,3,2,5,2,1,1,6,4,2,1,4,2,1,2,3,4
Leukemia_GSE22529_U133B,2,1,1,3,3,4,2,4,2,5,1,3,3,3,3,4,21,2,1,1,4,3,3,3,3,1,4,3,3,11
Leukemia_GSE33615,2,3,1,2,4,5,4,3,2,1,2,5,1,3,3,4,2,4,2,3,2,2,3,3,4,5,2,5,1,4
Leukemia_GSE63270,2,3,2,5,2,2,2,3,3,4,3,4,35,2,4,3,2,2,2,3,4,3,47,1,4,2,2,3,6,3
ALL-AML-full,3,6,5,4,3,4,3,5,3,5,3,2,3,6,4,3,3,2,4,2,2,3,4,3,3,4,3,3,5,3
Breast_GSE22820,4,5,3,2,3,3,2,2,2,3,3,3,4,5,2,1,2,2,2,5,2,3,2,4,3,3,4,2,4,2
Breast_GSE59246,6,4,5,5,3,6,6,3,3,4,4,3,13,3,3,3,4,2,5,5,3,6,5,2,3,5,4,5,5,10
Breast_GSE70947,2,6,3,2,3,4,5,3,4,3,2,2,3,2,3,2,3,2,3,2,2,3,2,1,3,3,3,3,4,3
breastCancer-full,3,5,4,4,4,4,5,3,7,6,1,4,4,3,5,2,4,1,5,2,2,3,5,3,4,6,1,4,3,8
Prostate_GSE6919_U95Av2,3,6,2,8,5,3,3,5,4,5,4,2,7,4,3,4,4,4,3,3,5,3,2,4,5,4,5,3,2,1
Prostate_GSE6919_U95B,3,6,5,4,4,5,6,5,5,5,3,5,4,7,2,5,5,5,4,7,5,3,6,5,4,3,5,6,4,8
Prostate_GSE11682,3,3,1,2,3,5,1,2,2,2,2,3,3,2,1,1,2,4,1,3,6,4,2,2,4,4,2,6,3,3
prostate_tumorVSNormal-full,4,5,3,3,4,2,2,3,4,5,2,3,2,5,3,6,5,1,4,3,3,2,3,3,2,1,3,5,3,2
