Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,2,2,2,1,3,4,5,2,4,2,4,3,3,5,5,1,3,2,3,4,2,1,2,3,2,5,2,2,2,2
Colorectal_GSE32323,1,3,3,2,2,6,1,6,1,1,1,1,3,1,3,2,28,4,3,2,1,2,2,2,2,2,2,6,2,3
Colorectal_GSE44076,1,2,4,1,2,1,3,2,1,2,3,2,4,1,3,2,1,2,2,3,2,2,2,2,1,5,1,2,2,3
Colorectal_GSE44861,2,2,2,2,4,2,5,3,2,2,3,3,2,3,5,3,3,2,2,4,2,4,1,2,3,2,2,3,4,2
Liver_GSE14520_U133A,2,1,2,2,2,1,2,2,2,2,2,2,1,3,3,1,2,2,2,1,3,3,2,1,2,2,1,3,1,3
Liver_GSE50579,4,2,3,3,3,3,3,2,2,4,5,2,4,4,2,3,2,3,5,4,5,3,4,3,4,4,4,2,2,2
Liver_GSE62232,2,2,1,1,1,2,3,1,1,2,2,2,2,1,2,1,1,2,1,1,1,3,1,4,1,2,1,1,1,2
Leukemia_GSE22529_U133A,3,2,2,4,8,1,4,4,1,3,2,2,4,2,3,2,6,3,1,1,4,4,4,2,55,2,1,2,2,2
Leukemia_GSE22529_U133B,2,2,4,2,3,4,3,5,2,4,1,3,7,3,3,3,3,2,3,3,4,3,3,2,2,5,3,3,3,4
Leukemia_GSE33615,4,3,1,2,4,6,4,2,2,1,2,3,1,4,3,4,1,2,2,3,2,2,3,3,4,3,2,2,1,5
Leukemia_GSE63270,1,2,2,4,2,2,5,3,2,2,2,3,35,2,3,3,2,3,1,1,2,3,3,5,3,1,3,2,6,2
ALL-AML-full,2,5,3,6,2,4,4,3,3,6,3,2,4,5,5,5,3,2,3,3,2,2,4,3,3,3,4,4,4,4
Breast_GSE22820,4,5,7,2,6,3,2,2,2,2,2,3,4,5,2,2,2,1,3,5,3,2,3,5,3,4,5,2,4,3
Breast_GSE59246,6,2,4,4,2,5,5,2,3,3,3,4,4,4,3,3,4,2,4,4,4,4,5,2,5,4,4,4,5,2
Breast_GSE70947,2,4,4,1,2,4,4,3,2,3,2,5,3,1,4,5,2,3,1,2,2,2,1,1,2,2,2,2,3,3
breastCancer-full,2,4,3,5,3,4,2,2,5,5,2,4,4,4,5,3,4,4,4,4,8,2,5,3,3,5,3,3,5,6
Prostate_GSE6919_U95Av2,3,5,3,8,4,3,5,5,4,3,6,2,6,3,5,3,2,5,3,5,4,2,4,3,5,4,4,3,3,5
Prostate_GSE6919_U95B,6,5,4,6,3,5,6,7,3,4,4,5,4,6,4,4,4,5,3,6,6,6,6,4,6,3,5,5,4,9
Prostate_GSE11682,3,4,2,2,4,4,2,4,2,2,4,3,8,2,4,6,4,5,2,5,6,4,3,4,3,3,3,5,4,4
prostate_tumorVSNormal-full,3,5,3,2,3,3,2,3,3,6,2,2,4,3,2,5,3,2,2,4,3,2,3,2,1,3,3,4,4,3
