Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Breast_GSE22820,1.0,1.0,1.0,0.0,0.9198662110077999,1.0,1.0,1.0,1.0,0.9574271077563381,1.0,1.0,1.0,1.0,1.0,1.0,0.9607689228305228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9607689228305228,1.0,0.9128709291752769
Breast_GSE59246,0.816496580927726,0.7745966692414834,1.0,0.6928203230275509,0.8,0.9128709291752769,0.816496580927726,1.0,0.6123724356957945,0.7071067811865476,0.7302967433402214,0.5656854249492381,0.8944271909999159,0.5656854249492381,0.8944271909999159,0.7071067811865476,1.0,0.7071067811865476,0.7071067811865476,1.0,0.7302967433402214,0.28284271247461906,0.8,0.4898979485566356,0.6928203230275509,0.5773502691896257,0.7071067811865476,0.5,0.8660254037844386,0.816496580927726
Breast_GSE70947,0.8017837257372732,0.8451542547285166,0.7559289460184545,0.6582805886043833,0.7928249671720918,0.7590721152765896,1.0,0.828078671210825,0.7928249671720918,0.7107053122190143,1.0,0.7071067811865476,0.9258200997725514,0.7867957924694432,0.7037315505489968,0.7928249671720918,0.7559289460184544,0.8251983888449983,0.8563488385776752,0.7824607964359516,0.7559289460184545,0.7302967433402214,0.8864052604279183,0.8944271909999159,0.7037315505489968,0.816496580927726,0.8251983888449983,0.6866065623255951,0.8563488385776752,0.9258200997725514
breastCancer-full,0.7745966692414834,0.5656854249492381,0.34641016151377546,0.6,0.8,0.6928203230275509,0.5773502691896257,0.7071067811865476,0.6708203932499369,0.7745966692414834,0.8944271909999159,0.5656854249492381,0.34641016151377546,0.7745966692414834,0.8944271909999159,0.6324555320336759,0.7071067811865476,0.6324555320336759,0.5477225575051661,0.4472135954999579,0.8944271909999159,0.7745966692414834,0.4898979485566356,0.7745966692414834,0.8944271909999159,0.6928203230275509,0.5,0.5477225575051661,0.5477225575051661,0.4472135954999579
Colorectal_GSE25070,1.0,1.0,0.816496580927726,1.0,1.0,0.5773502691896257,1.0,1.0,0.816496580927726,0.7071067811865476,0.816496580927726,1.0,1.0,1.0,1.0,0.816496580927726,1.0,1.0,1.0,0.816496580927726,1.0,0.6666666666666666,1.0,0.816496580927726,1.0,1.0,1.0,1.0,1.0,0.5773502691896257
Colorectal_GSE32323,0.7071067811865476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.7071067811865476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Colorectal_GSE44076,0.9,1.0,1.0,0.9486832980505138,1.0,0.8819171036881969,1.0,1.0,0.8944271909999159,0.9486832980505138,1.0,1.0,0.9486832980505138,0.9486832980505138,1.0,0.9428090415820634,0.8819171036881969,0.9486832980505138,1.0,0.9428090415820634,0.8944271909999159,0.9486832980505138,1.0,1.0,1.0,1.0,0.9428090415820634,0.9486832980505138,0.9486832980505138,1.0
Colorectal_GSE44861,1.0,0.5773502691896258,0.5773502691896258,1.0,0.816496580927726,1.0,1.0,0.5656854249492381,0.6324555320336759,0.6928203230275509,0.9128709291752769,0.816496580927726,0.7071067811865476,0.816496580927726,1.0,0.6324555320336759,0.7745966692414834,0.5656854249492381,0.6324555320336759,0.8944271909999159,0.8944271909999159,0.7071067811865476,0.7745966692414834,0.9128709291752769,0.9128709291752769,0.8944271909999159,0.7745966692414834,0.8,0.6928203230275509,0.8944271909999159
Leukemia_GSE22529_U133A,1.0,0.8660254037844386,1.0,0.0,1.0,0.8660254037844386,1.0,1.0,1.0,1.0,0.0,0.7071067811865476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8660254037844386,0.0,1.0,1.0
Leukemia_GSE22529_U133B,0.0,0.8660254037844386,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8660254037844386,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Leukemia_GSE33615,0.816496580927726,1.0,1.0,1.0,1.0,1.0,0.8944271909999159,1.0,1.0,1.0,1.0,1.0,1.0,0.7071067811865476,1.0,1.0,1.0,1.0,0.7071067811865476,1.0,1.0,1.0,1.0,0.8944271909999159,1.0,0.8944271909999159,1.0,0.7071067811865476,1.0,1.0
Leukemia_GSE63270,0.816496580927726,1.0,1.0,0.9128709291752769,1.0,0.7071067811865476,1.0,0.816496580927726,1.0,0.816496580927726,0.6324555320336759,0.9128709291752769,1.0,0.9128709291752769,0.8660254037844386,1.0,1.0,1.0,0.7071067811865476,0.9128709291752769,0.9128709291752769,1.0,0.9128709291752769,0.816496580927726,0.816496580927726,0.9128709291752769,1.0,0.9128709291752769,1.0,0.6454972243679028
ALL-AML-full,0.816496580927726,0.816496580927726,1.0,1.0,0.7071067811865476,0.8944271909999159,0.8944271909999159,0.816496580927726,0.816496580927726,0.8660254037844386,0.7745966692414834,1.0,1.0,1.0,1.0,1.0,0.5477225575051661,0.5773502691896257,0.7071067811865476,1.0,0.8944271909999159,0.8944271909999159,0.0,0.7745966692414834,1.0,0.7745966692414834,0.8944271909999159,0.816496580927726,1.0,0.8660254037844386
Liver_GSE14520_U133A,0.8902638145194516,0.8258927081843613,0.97182531580755,0.8871510790372952,0.9162456945817024,0.8258927081843613,0.8570693678078618,0.9428090415820634,0.9393364366277243,0.8574929257125442,0.9459053029269173,0.9162456945817024,0.9428090415820634,0.9162456945817024,0.9428090415820634,0.8498365855987975,0.9162456945817024,0.8574929257125442,0.97182531580755,0.7669649888473704,0.7465089026901592,0.8888888888888888,0.97182531580755,0.9428090415820634,0.9444444444444444,0.9444444444444444,1.0,0.9128709291752769,0.8856148855400953,0.8819171036881969
