Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ALL-AML-full,1,1,1,1,0.71428573,0.85714287,1,1,0.85714287,1,,0.911309529,,,,,,,,,,,,,,,,,,
,0.75,1,1,1,1,1,0.5714286,1,0.85714287,1,,,,,,,,,,,,,,,,,,,,
,1,0.875,0.71428573,0.85714287,0.85714287,0.71428573,0.85714287,0.85714287,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.875,1,1,1,0.875,0.875,1,0.875,0.875,0.875,,0.879763333,,,,,,,,,,,,,,,,,,
,0.75,1,1,1,1,1,0.4286,0.7143,0.875,1,,,,,,,,,,,,,,,,,,,,
,0.875,0.875,0.875,0.875,0.875,0.7143,0.7143,0.5714,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.125,0,0,0,-0.16071427,-0.01785713,0,0.125,-0.01785713,0.125,,0.031546196,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0.1428286,0.2857,-0.01785713,0,,,,,,,,,,,,,,,,,,,,
,0.125,0,-0.16071427,-0.01785713,-0.01785713,-1.427E-05,0.14284287,0.28574287,0,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,1,0.85714287,0.85714287,1,1,0.85714287,1,,0.911904767,,,,,,,,,,,,,,,,,,
,0.75,1,1,1,1,1,0.85714287,0.71428573,0.85714287,1,,,,,,,,,,,,,,,,,,,,
,0.875,0.875,0.71428573,0.85714287,0.85714287,0.71428573,0.85714287,0.85714287,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0.14285714,0,0,0,0,0,,0.000595238,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0.28571427,-0.28571427,0,0,,,,,,,,,,,,,,,,,,,,
,-0.125,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
