Dataset,n3o,n3o,n3o,sms_moneat,sms_moneat,sms_moneat
breastCancer-full,0.6448871998863961,0.6118700389526026,0.6407839386949038,0.6172686704709124,0.578063138601386,0.6385874086590421
ALL-AML-full,0.8910599906371891,0.8910599906371891,0.8875408970038531,0.8509449777550103,0.8539323529583202,0.8190930438714682
prostate_tumorVSNormal-full,0.5706492834836429,0.5740620787680292,0.5904553565933839,0.5560946711299001,0.580918523456966,0.5248072734943147
Breast_GSE22820,0.9307179281887016,0.9307179281887016,0.9307179281887016,0.9547302285249092,0.9520034295444711,0.8529436188839788
Breast_GSE42568,0.940298225152505,0.9420087818841546,0.940298225152505,0.9222029734434438,0.9255627573702774,0.9162026803735545
Breast_GSE59246,0.7543856159237518,0.746347140150818,0.7508129600246701,0.6714373362025013,0.6605662800429417,0.7219288539681775
Breast_GSE70947,0.7912929749154699,0.7946182127437827,0.7916492247368528,0.7865252578009347,0.7894231280143237,0.7831342022676363
Colorectal_GSE8671,0.9857710728323662,0.9857710728323662,0.9857710728323662,0.9755328774570302,0.9755328774570302,0.9325116106798624
Colorectal_GSE44076,0.9662848120654368,0.9643784467848389,0.96234871552171,0.9535909646951962,0.9456797242944517,0.9434441362334288
Colorectal_GSE44861,0.8304894739573504,0.833637046990681,0.833637046990681,0.8017187214518493,0.80003955422456,0.7994089439300957
Leukemia_GSE22529_U133A,0.7980833151539328,0.7980833151539328,0.7980833151539328,0.8048754789980658,0.7768394330846621,0.6292771725836949
Leukemia_GSE33615,0.9964809063666639,0.9964809063666639,0.9964809063666639,0.9859236254666555,0.9859236254666555,0.9721661674475927
Leukemia_GSE63270,0.9386702919533846,0.9386702919533846,0.9386702919533846,0.892344258643174,0.8920360827290796,0.8735041330860809
Liver_GSE50579,0.7981664794608783,0.7981664794608783,0.7981664794608783,0.7509942204336457,0.7509942204336457,0.6737671051278465
Liver_GSE62232,0.9628052794811468,0.9628052794811468,0.9628052794811468,0.8896800474838285,0.8895199378304107,0.9404340549041942
Prostate_GSE6919_U95Av2,0.6769285412339331,0.6595465615300323,0.6737160629590148,0.6424682492575488,0.6501457377532334,0.5671533503317298
Prostate_GSE11682,0.44546536768929756,0.44546536768929756,0.44546536768929756,0.2954653676892976,0.2914213562373095,0.49950937914128574
Prostate_GSE46602,0.8228791863333764,0.8228791863333764,0.8228791863333764,0.8195772648095956,0.8073437035381107,0.7175611587650415
