Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,1.0,1.0,0.816496580927726,1.0,1.0,0.7071067811865476,0.0,0.816496580927726,1.0,1.0,0.5773502691896257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7071067811865476,0.816496580927726,1.0,0.816496580927726,1.0,0.816496580927726,1.0,1.0,1.0,1.0,1.0,1.0
Colorectal_GSE32323,1.0,1.0,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.7071067811865476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7071067811865476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7071067811865476
Colorectal_GSE44076,0.9486832980505138,1.0,1.0,0.9486832980505138,0.9486832980505138,0.9486832980505138,0.9428090415820634,0.9428090415820634,0.9486832980505138,1.0,0.9486832980505138,1.0,1.0,1.0,1.0,1.0,0.9428090415820634,0.8944271909999159,1.0,1.0,0.9486832980505138,0.9486832980505138,1.0,1.0,0.9428090415820634,0.9428090415820634,1.0,0.9428090415820634,1.0,1.0
Colorectal_GSE44861,0.8944271909999159,0.7302967433402214,0.7071067811865476,1.0,0.816496580927726,0.8944271909999159,1.0,1.0,0.7745966692414834,0.6,0.9128709291752769,0.816496580927726,0.8944271909999159,0.816496580927726,1.0,1.0,0.8944271909999159,0.6928203230275509,0.4472135954999579,0.8944271909999159,0.9128709291752769,0.7302967433402214,0.6324555320336759,0.7071067811865476,0.7071067811865476,0.8944271909999159,1.0,0.8944271909999159,0.8,1.0
Liver_GSE14520_U133A,0.9442673704375605,0.9162456945817024,0.97182531580755,0.8819171036881969,0.9428090415820634,1.0,0.9162456945817024,0.9428090415820634,0.9128709291752768,0.8856148855400953,1.0,0.8871510790372952,0.97182531580755,0.9162456945817024,0.8012336167697753,0.97182531580755,0.9444444444444444,0.8244625898677898,0.9701425001453319,0.7921180343813394,0.9142829500179352,0.8871510790372952,0.9444444444444444,0.9162456945817024,0.97182531580755,0.97182531580755,0.9162456945817024,0.9428090415820634,0.9146591207600471,0.97182531580755
Liver_GSE50579,0.0,1.0,1.0,1.0,0.7071067811865476,0.9128709291752769,0.9128709291752769,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.7071067811865476,0.9128709291752769,1.0,1.0,0.816496580927726,0.0,0.0,0.9258200997725514,0.0,1.0,0.7071067811865476,1.0,1.0,1.0,0.0,1.0
Liver_GSE62232,1.0,1.0,1.0,1.0,1.0,1.0,0.8660254037844386,1.0,0.9354143466934853,0.8660254037844386,1.0,0.8660254037844386,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9354143466934853,1.0
Leukemia_GSE22529_U133A,1.0,1.0,1.0,0.0,0.8660254037844386,1.0,1.0,1.0,1.0,1.0,0.0,0.7071067811865476,1.0,1.0,1.0,1.0,1.0,1.0,0.8660254037844386,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8660254037844386
Leukemia_GSE22529_U133B,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8660254037844386,1.0,1.0,0.0,1.0,0.7071067811865476,1.0,1.0,0.8660254037844386,1.0,1.0,0.0,1.0,0.8660254037844386
Leukemia_GSE33615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7071067811865476,0.8944271909999159,1.0,1.0,1.0,1.0,0.7071067811865476,0.8944271909999159,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Leukemia_GSE63270,1.0,1.0,1.0,0.8660254037844386,1.0,0.9128709291752769,0.9128709291752769,0.9128709291752769,1.0,0.9128709291752769,1.0,0.9128709291752769,0.9128709291752769,1.0,0.9128709291752769,1.0,0.816496580927726,0.816496580927726,0.9128709291752769,1.0,0.9128709291752769,0.8660254037844386,1.0,0.9128709291752769,1.0,1.0,0.9128709291752769,0.9128709291752769,0.816496580927726,1.0
ALL-AML-full,0.7302967433402214,1.0,0.8944271909999159,0.7745966692414834,0.7071067811865476,0.6324555320336759,0.8944271909999159,0.8660254037844386,1.0,0.7071067811865476,0.7302967433402214,1.0,1.0,0.8944271909999159,0.8944271909999159,0.6324555320336759,0.5477225575051661,0.816496580927726,0.7071067811865476,1.0,0.7745966692414834,1.0,0.5477225575051661,0.8944271909999159,0.7071067811865476,1.0,1.0,0.8660254037844386,0.7071067811865476,1.0
Breast_GSE22820,0.9607689228305228,1.0,1.0,1.0,0.9607689228305228,0.9607689228305228,1.0,1.0,1.0,0.9574271077563381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9607689228305228,0.9574271077563381,1.0,1.0,1.0,1.0,1.0,0.9607689228305228,0.0,1.0,1.0,1.0
Breast_GSE59246,0.816496580927726,0.6928203230275509,0.8944271909999159,0.7745966692414834,0.8,0.7905694150420949,0.5,1.0,0.7905694150420949,0.6123724356957945,0.816496580927726,0.8944271909999159,0.6928203230275509,0.8,0.8944271909999159,0.5773502691896257,0.816496580927726,0.7905694150420949,0.816496580927726,0.8660254037844386,0.816496580927726,0.6928203230275509,0.6928203230275509,0.8944271909999159,0.8944271909999159,0.816496580927726,0.9128709291752769,0.7071067811865476,0.8660254037844386,0.7071067811865476
Breast_GSE70947,0.8017837257372732,0.7745966692414834,0.7590721152765896,0.6582805886043833,0.7590721152765896,0.6900655593423543,1.0,0.8944271909999159,0.7928249671720918,0.8206518066482897,0.9309493362512627,0.7464200272921789,0.8864052604279183,0.7302967433402214,0.7037315505489968,0.8864052604279183,0.7928249671720918,1.0,0.7559289460184544,0.8144110179279558,0.828078671210825,0.7171371656006362,0.8944271909999159,0.9258200997725514,0.5855400437691199,0.8251983888449983,0.8618916073713346,0.7559289460184544,0.7867957924694432,0.8864052604279183
breastCancer-full,0.6928203230275509,0.5656854249492381,0.6324555320336759,0.4,0.4898979485566356,0.4898979485566356,0.6123724356957945,0.7745966692414834,0.8660254037844386,0.6708203932499369,0.6928203230275509,0.4,0.4898979485566356,0.6928203230275509,0.8,0.6928203230275509,0.7905694150420949,0.5477225575051662,0.8944271909999159,0.3872983346207417,1.0,0.6928203230275509,0.4898979485566356,0.6928203230275509,0.6324555320336759,0.6,0.6123724356957945,0.5477225575051661,0.6324555320336759,0.5477225575051662
Prostate_GSE6919_U95Av2,0.5345224838248488,0.6900655593423543,0.6900655593423543,0.3450327796711771,0.7453559924999299,0.7071067811865476,0.5,0.6666666666666666,0.816496580927726,0.816496580927726,0.5345224838248488,0.816496580927726,0.7559289460184544,0.5345224838248488,0.5,0.9128709291752769,0.37267799624996495,0.5773502691896257,0.28867513459481287,0.5773502691896257,0.7715167498104596,0.5345224838248488,0.5345224838248488,0.3779644730092272,0.7071067811865476,0.4714045207910317,0.3333333333333333,0.7071067811865476,0.4714045207910317,0.7453559924999299
Prostate_GSE6919_U95B,0.5976143046671968,0.3086066999241838,0.6172133998483676,0.5976143046671968,0.6666666666666666,0.6666666666666666,0.408248290463863,0.8333333333333334,0.7453559924999299,0.5773502691896257,0.6900655593423543,0.7071067811865476,0.5976143046671968,0.6172133998483676,0.6454972243679028,0.3333333333333333,0.816496580927726,0.7453559924999299,0.6454972243679028,0.5773502691896257,0.3450327796711771,0.6172133998483676,0.7715167498104596,0.3779644730092272,0.6454972243679028,0.4714045207910317,0.4714045207910317,0.6666666666666666,0.7071067811865476,0.5773502691896257
Prostate_GSE6919_U95C,0.5773502691896257,0.7071067811865476,0.4714045207910317,0.4714045207910317,0.5773502691896257,0.3651483716701107,0.6324555320336759,0.7302967433402214,0.6324555320336759,0.6324555320336759,0.7071067811865476,0.7071067811865476,0.5773502691896257,0.9128709291752769,0.9128709291752769,0.6324555320336759,0.6324555320336759,0.2581988897471611,0.7302967433402214,0.7071067811865476,0.6666666666666666,0.0,0.6666666666666666,0.408248290463863,0.816496580927726,0.5163977794943222,0.816496580927726,0.816496580927726,0.6324555320336759,0.6324555320336759
Prostate_GSE11682,0.7071067811865476,0.0,0.0,0.7071067811865476,0.0,0.0,1.0,0.7071067811865476,0.0,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.0,0.7071067811865476,0.0,0.0,1.0,0.0,0.7071067811865476,0.0,0.7071067811865476,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0
prostate_tumorVSNormal-full,0.5,0.8539125638299666,0.8539125638299666,0.7637626158259733,0.9354143466934853,0.6454972243679028,0.3872983346207417,0.3450327796711771,0.6172133998483676,0.7715167498104596,0.7071067811865476,0.4330127018922193,0.7905694150420949,0.7216878364870323,0.6614378277661477,0.9354143466934853,0.7905694150420949,0.5345224838248488,0.8451542547285166,0.4364357804719847,0.4330127018922193,0.4330127018922193,0.816496580927726,0.7637626158259733,0.4330127018922193,0.7905694150420949,0.7071067811865476,0.7715167498104596,0.5976143046671968,0.3450327796711771
Colorectal_GSE25070,9,10,9,9,15,5,19,5,6,5,8,6,12,14,4,24,1,33,19,70,16,1,46,9,17,14,3,5,7,13
Colorectal_GSE32323,9,8,10,6,8,5,4,1,16,7,7,9,4,13,13,25,32,5,12,5,7,59,68,11,27,10,13,46,28,12
Colorectal_GSE44076,4,103,8,6,3,8,5,8,5,1,3,4,12,8,3,5,4,3,50,6,2,10,5,2,5,48,8,3,10,3
Colorectal_GSE44861,8,4,10,4,7,16,16,12,9,23,5,12,13,10,11,12,5,6,16,2,13,4,12,7,2,14,19,3,8,7
