Dataset,n3o,n3o,n3o,n3o,n3o,n3o,n3o,,,,,,,,,,,,,,,
,time,gmean,fs,gmean,fs,gmean,fs,,,,,,,,,,,,,,,
Colorectal_GSE25070,126.6472767,0.88294201,13.83333333,0.902468225,15.1,0.902468225,13.8,,275.7874205,0.867505682,2.533333333,0.867505682,2.866666667,0.934009994,3.466666667,,-0.015436328,-11.3,-0.034962543,-12.23333333,0.03154177,-10.33333333
Colorectal_GSE32323,160.3370483,0.931658249,13.83333333,0.951184464,17.23333333,0.951184464,16,,246.1423464,0.884517797,2.1,0.884517797,1.766666667,0.894280904,2.7,,-0.047140452,-11.73333333,-0.066666667,-15.46666667,-0.056903559,-13.3
Colorectal_GSE44076,562.4455074,0.969256087,11.5,0.971162452,11.36666667,0.971358261,11.5,,399.7216226,0.951449016,1.766666667,0.953159573,1.8,0.971224695,2.5,,-0.017807071,-9.733333333,-0.018002879,-9.566666667,-0.000133566,-9
Colorectal_GSE44861,151.7138086,0.836169024,9.433333333,0.823498611,10.23333333,0.835507396,9.666666667,,201.1639714,0.832607086,2.533333333,0.838498517,2.133333333,0.824518714,2.633333333,,-0.003561938,-6.9,0.014999907,-8.1,-0.010988683,-7.033333333
Liver_GSE14520_U133A,538.6731426,0.922873044,6.7,0.923875767,6.666666667,0.924845588,6.733333333,,600.0736201,0.918495071,2.366666667,0.918436397,2.3,0.909376645,2.866666667,,-0.004377973,-4.333333333,-0.005439371,-4.366666667,-0.015468943,
Liver_GSE50579,123.4470927,0.720074994,8.833333333,0.731011764,10.46666667,0.720074994,8.4,,376.6476875,0.816267005,2.466666667,0.78314987,2.166666667,0.778634142,2.7,,0.096192011,-6.366666667,0.052138105,-8.3,0.058559148,
Liver_GSE62232,224.1851323,0.980390465,9.1,0.978644209,9.466666667,0.98229683,9.5,,641.5727375,0.948436641,1.833333333,0.950589496,1.633333333,0.959660847,2.266666667,,-0.031953824,-7.266666667,-0.028054713,-7.833333333,-0.022635983,
Leukemia_GSE22529_U133A,134.8021455,0.8435061,8.433333333,0.83010864,10.33333333,0.8435061,8.966666667,,226.6492408,0.805706947,2.366666667,0.801241127,2.1,0.83904028,2.266666667,,-0.037799153,-6.066666667,-0.028867513,-8.233333333,-0.00446582,-6.7
Leukemia_GSE22529_U133B,115.8816514,0.79106836,9.066666667,0.7935061,9.9,0.810172766,9.066666667,,236.4372015,0.872373613,2.5,0.872373613,2.2,0.861779038,2.733333333,,0.081305253,-6.566666667,0.078867513,-7.7,0.051606272,-6.333333333
Leukemia_GSE33615,198.4295808,0.973435598,12.26666667,0.969916505,12.33333333,0.973435598,11.9,,431.4833057,0.98071033,2.466666667,0.984229424,2.466666667,0.983198705,3.066666667,,0.007274732,-9.8,0.01431292,-9.866666667,0.009763107,
Leukemia_GSE63270,237.5981537,0.930188092,7.866666667,0.943449306,10.3,0.93786639,7.966666667,,439.5306736,0.910884068,2.266666667,0.920213327,2.266666667,0.91190163,2.566666667,,-0.019304024,-5.6,-0.023235979,-8.033333333,-0.02596476,
ALL-AML-full,110.0158221,0.827706096,10,0.82380067,10.13333333,0.830878675,10.03333333,,847.6198648,0.811586352,2.733333333,0.813084038,2.633333333,0.836903481,3.233333333,,-0.016119744,-7.266666667,-0.010716632,-7.5,0.006024806,-6.8
Breast_GSE22820,209.7616996,0.923956628,17.16666667,0.949332303,15.63333333,0.957289961,13.36666667,,416.5231066,0.952720851,2.8,0.951413148,2.7,0.987361887,4.3,,0.028764223,-14.36666667,0.002080845,-12.93333333,0.030071926,-9.066666667
Breast_GSE59246,143.4380363,0.778553048,11.7,0.774142978,14.1,0.787918655,11.13333333,,284.766453,0.711361773,3.3,0.713303844,2.933333333,0.705472581,3.233333333,,-0.067191275,-8.4,-0.060839134,-11.16666667,-0.082446074,-7.9
Breast_GSE70947,503.5966487,0.812150894,7,0.810465297,7.833333333,0.8088457,7.2,,396.0799141,0.781823168,2.333333333,0.778293818,2.166666667,0.783679484,2.766666667,,-0.030327727,-4.666666667,-0.032171479,-5.666666667,-0.025166216,-4.433333333
breastCancer-full,104.993345,0.625962395,9.166666667,0.626262206,14.06666667,0.634373857,9.233333333,,429.1618908,0.64983957,3.033333333,0.658529617,2.633333333,0.631441335,3.466666667,,0.023877175,-6.133333333,0.03226741,-11.43333333,-0.002932522,-5.766666667
Prostate_GSE6919_U95Av2,123.1197297,0.598803163,10.9,0.609250253,12.6,0.60121474,10.4,,475.1379191,0.612942302,3.9,0.603838573,3.366666667,0.650196359,3.766666667,,0.014139139,-7,-0.005411679,-9.233333333,0.048981619,
Prostate_GSE6919_U95B,112.7324875,0.591294539,9.866666667,0.595628761,13.9,0.601511933,9.8,,258.3511753,0.648593116,4.266666667,0.632517798,3.7,0.63345755,4.133333333,,0.057298577,-5.6,0.036889037,-10.2,0.031945618,
Prostate_GSE6919_U95C,103.5097631,0.61564273,10.66666667,0.647562563,11.03333333,0.618254248,10.66666667,,213.0019508,0.56989704,3.833333333,0.568591097,3.433333333,0.554296628,3.966666667,,-0.045745691,-6.833333333,-0.078971466,-7.6,-0.06395762,
Prostate_GSE11682,103.5311572,0.39260582,11,0.402368927,14.06666667,0.359272486,11.26666667,,218.8517723,0.455228475,2.766666667,0.348324916,2.333333333,0.348324916,2.5,,0.062622655,,-0.054044011,,-0.010947571,
prostate_tumorVSNormal-full,127.4118185,0.653861725,7.633333333,0.652552965,7.766666667,0.654020292,7.3,,751.2108633,0.594019625,2.8,0.60053223,2.433333333,0.625443571,2.966666667,,-0.0598421,-4.833333333,-0.052020735,-5.333333333,-0.028576721,-4.333333333
,200.7748118,0.790576146,10.28412698,0.795723475,11.64444444,0.79553796,10.18571429,,398.3768923,0.789379311,2.712698413,0.782968757,2.477777778,0.791628733,3.052380952,,-0.001196835,-7.538333333,-0.012754717,-9.038333333,-0.003909227,-7.583333333
