Dataset,sms_emoa,sms_emoa,sms_emoa,sms_emoa,sms_emoa,sms_emoa,sms_emoa,sms_emoa,sms_emoa,sms_emoa,sms_emoa,sms_emoa,sms_emoa,sms_emoa,sms_emoa,sms_emoa,sms_emoa,sms_emoa
,time,time_stdev,gmean,g_mean_std,fs,fs_std,gmean,g_mean_std,fs,fs_std,gmean,g_mean_std,fs,fs_std,gmean,g_mean_std,fs,fs_std
Colorectal_GSE25070,348.3191940863927,39.714200558150125,0.8658862493426212,0.215003081719243,3.1666666666666665,1.366680683976335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorectal_GSE32323,513.1036403099696,49.00368504387132,0.7414213562373094,0.39430563917438366,1.3666666666666667,0.49013251785356093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorectal_GSE44076,1053.985072573026,118.41415437470486,0.9735582630383378,0.03331972635143979,2.8666666666666667,0.7302967433402214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorectal_GSE44861,391.7930217822393,33.3152472144576,0.7434250233476506,0.21223309456927075,6.433333333333334,2.5822114731280283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver_GSE14520_U133A,842.1640351374944,91.70437676083347,0.9392584615084382,0.04657315655716321,10.4,2.90777791686248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver_GSE50579,317.3864542245865,12.396499187337083,0.5320003790835823,0.4806512855284333,3.966666666666667,1.3767361035618173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver_GSE62232,610.2939771572749,17.799522864772268,0.9492837161315115,0.1824935321127305,2.1666666666666665,0.7466399831028446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leukemia_GSE22529_U133A,252.06035601298015,50.507173632077794,0.8138071187457698,0.37744783628457235,2.1333333333333333,1.0080138659874618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leukemia_GSE22529_U133B,203.64541946252186,7.8289889613692765,0.8093412988719177,0.37595853853434386,2.2,0.8866830868758714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leukemia_GSE33615,677.5348429282507,803.2440036489355,0.9734355981457642,0.07716844269204479,1.6333333333333333,0.49013251785356093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leukemia_GSE63270,565.7159029324849,84.09631028896689,0.9631424329554183,0.057445510980204374,3.3666666666666667,0.99942512211403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL-AML-full,246.1628257036209,41.70806246230347,0.8702040997898073,0.1333491753725536,3.966666666666667,1.0980651740387641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast_GSE22820,408.2075037002563,75.59289300887397,0.8588204512327712,0.3429730317533131,2.1,0.40257789993644877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast_GSE59246,336.23693288962045,63.41141898731238,0.7540017401466375,0.21208661825767092,8.366666666666667,3.7091065318170378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast_GSE70947,902.9123483339946,88.76999329437928,0.8147403038531748,0.07057657120232724,8.266666666666667,3.1065374152975656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breastCancer-full,249.1825563430786,32.18245895187038,0.5436575994009153,0.15234856114538667,8.3,3.788822035117657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prostate_GSE6919_U95Av2,266.167832326889,53.86379725594661,0.5639998744673388,0.2185923364114131,7.6,3.046761989504539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prostate_GSE6919_U95B,267.93721234003704,45.941790464040956,0.5530612365696709,0.18479855992753802,8.533333333333333,3.74840962444657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prostate_GSE6919_U95C,244.29586763381957,51.92708410995769,0.5905125166485219,0.1182510038026276,9.866666666666667,4.141741540524438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prostate_GSE11682,238.26462377707165,1.5680881522917662,0.410947570824873,0.46176807214019433,3.433333333333333,0.7738543627276671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prostate_tumorVSNormal-full,295.52668805122374,35.93843340723675,0.8283083438654192,0.07646039697659751,6.033333333333333,2.809875851145487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
