Dataset,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat
,time,gmean,fs,gmean,fs,gmean,fs
Colorectal_GSE25070,367.84767069816587,0.9090285649276365,3.433333333333333,0.9035906747004189,3.1,0.9011202207227157,3.3
Colorectal_GSE32323,290.26529479026794,0.860947570824873,2.466666666666667,0.8276142374915397,1.9,0.8511844635310912,2.3333333333333335
Colorectal_GSE44076,609.9699807325999,0.9533265828845454,2.6333333333333333,0.9552329481651433,2.533333333333333,0.9642028865249073,3.2
Colorectal_GSE44861,284.44690117836,0.799882246722865,3.1666666666666665,0.8015733722472362,2.8666666666666667,0.8041718653552173,3.1666666666666665
Leukemia_GSE22529_U133A,299.33798381487526,0.8074851403307369,2.8666666666666667,0.8074851403307369,2.4,0.7687392608830356,2.6666666666666665
Leukemia_GSE22529_U133B,278.551668938001,0.8548754789980658,3.1333333333333333,0.8646385862918475,2.6666666666666665,0.87237361321081,2.8666666666666667
ALL-AML-full,332.25634525616965,0.8733825679714287,6.5,0.8872265421912413,3.4,0.8918902177282695,3.6333333333333333
Breast_GSE22820,470.67125400702156,0.8588204512327713,3.7333333333333334,0.9254871178994379,2.933333333333333,0.8934614871384204,3.3
Breast_GSE59246,271.2402666489283,0.7173241253968082,4.466666666666667,0.6942197790177229,3.8,0.7165557492059293,4.3
Breast_GSE70947,494.10397202968596,0.7885910112901902,2.6666666666666665,0.7919548898836655,2.533333333333333,0.7931998034170387,3.8
breastCancer-full,215.42246793905895,0.6514912867298629,4.733333333333333,0.6624454465366617,4.033333333333333,0.6433494310800014,3.6333333333333333
prostate_tumorVSNormal-full,331.48653252124785,0.6757443109512314,3.066666666666667,0.6670540820006801,2.9,0.6753780732221937,3.066666666666667
