Dataset,,,,
,,,,
Colorectal_GSE25070,0.9340,0.9340,0.9161,0.9247
Colorectal_GSE32323,0.8552,0.8886,0.8971,0.8874
Colorectal_GSE44076,0.9527,0.9577,0.9624,0.9678
Colorectal_GSE44861,0.8127,0.8045,0.7963,0.8174
ALL-AML-full,0.8536,0.8531,0.8276,0.8394
Breast_GSE22820,0.8934,0.8934,0.9197,0.9867
Breast_GSE59246,0.6978,0.7139,0.7424,0.7562
Breast_GSE70947,0.7859,0.7918,0.8052,0.7945
breastCancer-full,0.6436,0.6468,0.6269,0.6451
prostate_tumorVSNormal-full,0.6265,0.6488,0.6240,0.6352
,0.8055,0.8133,0.8118,0.8254
