Dataset,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,,,,,,,,,,,,,,,,,
,time,gmean,fs,gmean,fs,gmean,fs,,,,,,,,,,,,,,,,,
Breast_GSE22820,467.7597867,0.856037931,3.233333333,0.890734688,2.633333333,0.85598221,3.2,,0.856037931,3.266666667,0.889371264,2.9,0.919922078,3.666666667,,0,0.033333333,-0.001363424,0.266666667,0.063939868,0.466666667,,,0.030550813
Breast_GSE59246,287.0541337,0.708482388,3.633333333,0.716413016,3.1,0.748748155,3.733333333,,0.69934756,3.5,0.710234117,3.266666667,0.733960963,3.6,,-0.009134829,-0.133333333,-0.006178899,0.166666667,-0.014787193,-0.133333333,,,0.023726846
Breast_GSE70947,489.3545595,0.800677024,3.9,0.797181165,3.3,0.802337223,3.1,,0.801274071,2.866666667,0.796043821,3.233333333,0.795209995,3.766666667,,0.000597046,-1.033333333,-0.001137345,-0.066666667,-0.007127227,0.666666667,,,-0.000833826
Colorectal_GSE25070,433.1054695,0.904041782,3.8,0.904041782,2.866666667,0.91992167,3,,0.904041782,3.8,0.887963052,3.7,0.91992167,4.966666667,,0,0,-0.01607873,0.833333333,0,1.966666667,,,0.031958618
Colorectal_GSE32323,854.5433434,0.980473785,2.566666667,0.980473785,2,0.951184464,2.266666667,,0.980473785,2.566666667,0.990236893,2.4,0.980473785,2.9,,0,0,0.009763107,0.4,0.029289322,0.633333333,,,-0.009763107
Colorectal_GSE44076,585.3948037,0.962945156,2.3,0.961038791,2.166666667,0.963059659,3,,0.962945156,2.3,0.961038791,2.233333333,0.970121929,3.033333333,,0,0,0,0.066666667,0.00706227,0.033333333,,,0.009083139
Colorectal_GSE44861,326.8887607,0.807424956,3.433333333,0.807159105,2.866666667,0.800740515,3.4,,0.812340713,3.3,0.810032924,2.833333333,0.812239946,3.533333333,,0.004915757,-0.133333333,0.002873818,-0.033333333,0.01149943,0.133333333,,,0.002207022
Leukemia_GSE22529_U133A,359.6776219,0.879094168,3.333333333,0.845760834,2.466666667,0.811119493,2.733333333,,0.879094168,3.266666667,0.812427501,3.066666667,0.82623462,3.266666667,,0,-0.066666667,-0.033333333,0.6,0.015115127,0.533333333,,,0.013807119
Leukemia_GSE22529_U133B,379.7385562,0.773681622,2.9,0.76885452,2.2,0.763557232,2.866666667,,0.776839433,2.7,0.765696708,2.466666667,0.740818474,3.233333333,,0.003157812,-0.2,-0.003157812,0.266666667,-0.022738758,0.366666667,,,-0.024878234
Leukemia_GSE33615,457.6864118,0.992961813,2.966666667,0.989442719,2.266666667,0.985923625,2.5,,0.992961813,2.933333333,0.992961813,2.866666667,0.989442719,3.333333333,,0,-0.033333333,0.003519094,0.6,0.003519094,0.833333333,,,-0.003519094
Leukemia_GSE63270,363.6940564,0.901229144,2.466666667,0.897998745,2.166666667,0.943131726,2.966666667,,0.898016666,2.433333333,0.906731134,2.266666667,0.928274472,2.9,,-0.003212478,-0.033333333,0.008732389,0.1,-0.014857253,-0.066666667,,,0.021543339
Liver_GSE14520_U133A,572.8901732,0.92490969,2.633333333,0.921938074,2.3,0.936567732,3.2,,0.925824997,2.633333333,0.918209818,2.433333333,0.922139719,3.133333333,,0.000915307,0,-0.003728256,0.133333333,-0.014428013,-0.066666667,,,0.003929901
Liver_GSE50579,305.7263053,0.779002029,3.433333333,0.769980946,2.8,0.775016377,3.2,,0.779002029,3.433333333,0.797197499,2.633333333,0.779600697,3.433333333,,0,0,0.027216553,-0.166666667,0.00458432,0.233333333,,,-0.017596802
Liver_GSE62232,724.4810459,0.937836877,2.033333333,0.964711645,1.766666667,0.924561803,2.733333333,,0.937836877,2.033333333,0.97117021,1.966666667,0.97994174,2.866666667,,0,0,0.006458565,0.2,0.055379937,0.133333333,,,0.00877153
Prostate_GSE6919_U95Av2,181.2904239,0.627935697,4.433333333,0.61548706,3.2,0.628398902,3.7,,0.623861112,3.933333333,0.616860474,3.566666667,0.615002042,3.9,,-0.004074585,-0.5,0.001373414,0.366666667,-0.01339686,0.2,,,-0.001858432
Prostate_GSE6919_U95B,198.9394073,0.594078921,4.966666667,0.582587208,4.366666667,0.598345164,4.466666667,,0.596828595,4.833333333,0.57851782,4.4,0.568945662,4.733333333,,0.002749673,-0.133333333,-0.004069388,0.033333333,-0.029399502,0.266666667,,,-0.009572158
Prostate_GSE6919_U95C,193.3091152,0.612039981,5.4,0.577327029,4.633333333,0.624380251,5,,0.608650458,5.166666667,0.601689416,4.633333333,0.616834018,5.433333333,,-0.003389524,-0.233333333,0.024362387,0,-0.007546233,0.433333333,,,0.015144602
Prostate_GSE11682,192.5927723,0.360947571,3.7,0.360947571,2.8,0.305228475,2.966666667,,0.360947571,3.7,0.431658249,2.7,0.37475469,3.133333333,,0,0,0.070710678,-0.1,0.069526215,0.166666667,,,-0.056903559
,,0.800211141,3.396296296,0.797337705,2.772222222,0.796566926,3.224074074,,0.799795818,3.259259259,0.802113417,2.975925926,0.804102179,3.601851852,,-0.000415323,-0.137037037,0.004775712,0.203703704,0.007535252,0.377777778,,,0.001988762
