Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,592.2786840182347,593.99999961555,593.1682229931388,283.48738971257944,593.99999961555,338.38464655551275,593.99999961555,590.5573684179391,592.2786840182347,593.99999961555,423.58975804628903,593.722740741413,335.2481554962021,591.4180263134543,593.99999961555,593.99999961555,593.99999961555,593.99999961555,592.3364463957531,593.99999961555,593.99999961555,421.8684424459934,588.8360530083784,566.5513714891264,593.99999961555,591.140767436337,593.99999961555,423.58975804628903,593.99999961555,590.5573684179391
Colorectal_GSE32323,593.99999961555,338.38464655551275,593.99999961555,593.99999961555,593.99999961555,593.99999961555,593.99999961555,511.654114646193,593.99999961555,511.654114646193,338.38464655551275,593.99999961555,593.99999961555,82.76929320043246,593.99999961555,593.99999961555,593.99999961555,593.99999961555,256.0387801738642,593.99999961555,593.5841113028544,593.99999961555,295.04562827992106,593.99999961555,593.99999961555,552.827057278393,593.99999961555,593.99999961555,593.99999961555,338.38464655551275
Colorectal_GSE44076,593.99999961555,593.99999961555,593.99999961555,542.8769282954394,592.2786839784656,592.7692782218647,536.6228140890598,542.8769282954394,593.99999961555,541.751719471681,593.99999961555,593.99999961555,592.800854951156,483.0028735309775,593.99999961555,593.9168219553951,592.7692782218647,593.99999961555,584.8504571034375,592.4508156545583,542.8769282954394,585.3321943767363,592.9672102419322,542.3605336248875,593.99999961555,585.274817180523,585.765411384153,593.99999961555,593.4836049479784,593.99999961555
Colorectal_GSE44861,575.5276274720038,489.5496487502542,477.8909130309938,574.4209021938091,507.07356331402144,592.9672102774264,593.6672889659895,589.8688423400043,287.0952243347766,373.0385363970985,590.4094971781508,559.044586792372,383.51199016715987,421.0077849319479,587.1147372233083,593.99999961555,475.28467962740575,287.261579661047,185.015426989364,475.28467962740575,566.5513714891264,371.6522507808381,389.5077134499785,592.2786839570908,489.74372833438275,473.05274555437325,491.75385668028576,389.5077134499785,373.0385363970985,586.7704742486845
Liver_GSE14520_U133A,561.8012752106758,536.4841846539441,587.9080059811166,546.43854951875,588.231474691536,585.1123121746497,549.0879119215094,533.0166400969028,562.6663500702755,584.5453362173962,590.9186063432131,588.4297917220393,585.6591283661675,555.2453694875413,586.4177395036612,593.0007123545436,564.6452155073555,558.7453115496581,588.7714952855181,553.1933385048086,557.4235025193905,562.9238999070599,590.9000912075433,591.3256066569201,587.7963322463231,557.4422611869124,586.7046254404894,591.6032053979771,549.3382146831947,583.7196755050066
Liver_GSE50579,583.6721060164626,588.8360530083784,593.99999961555,593.99999961555,583.394847326006,586.2540797092629,82.63066366650636,593.99999961555,593.7227407340645,593.99999961555,588.4795773219124,583.6721060164626,588.8360530083784,588.8360530083784,338.2460170215867,338.38464655551275,570.2250509822579,593.99999961555,593.99999961555,82.76929320043246,82.76929320043246,593.99999961555,588.8360530083784,577.1911804716841,593.99999961555,591.4180263134543,593.99999961555,593.99999961555,82.76929320043246,82.76929320043246
Liver_GSE62232,592.0206792536479,530.0961615718229,593.99999961555,592.7090129659923,529.450668245554,593.99999961555,593.99999961555,511.654114646193,530.0961615718229,530.0961615718229,593.426227751765,530.0961615718229,592.7090129659923,529.90987826674,593.99999961555,593.99999961555,592.7090129208796,593.99999961555,466.1923232330529,593.99999961555,593.1682229871783,593.99999961555,593.1682229871783,593.99999961555,593.99999961555,511.654114646193,593.99999961555,593.3545062922612,592.5227296609094,593.99999961555
Leukemia_GSE22529_U133A,593.99999961555,593.99999961555,593.99999961555,82.76929320043246,573.4135285944931,593.99999961555,62.182826605020324,593.99999961555,593.99999961555,593.99999961555,82.76929320043246,552.827057278393,593.99999961555,593.99999961555,593.99999961555,588.8360530083784,573.4135285944931,593.99999961555,573.4135285944931,593.99999961555,593.8336442922599,593.99999961555,593.99999961555,593.99999961555,588.8360530083784,593.99999961555,593.99999961555,82.76929320043246,573.4135285944931,593.99999961555
Leukemia_GSE22529_U133B,593.99999961555,593.99999961555,593.99999961555,82.76929320043246,593.99999961555,593.99999961555,593.99999961555,593.99999961555,593.99999961555,593.99999961555,82.76929320043246,335.8026732504368,82.76929320043246,593.99999961555,593.99999961555,593.99999961555,593.99999961555,593.99999961555,593.99999961555,593.99999961555,593.99999961555,588.8360530083784,593.99999961555,593.99999961555,593.99999961555,593.99999961555,593.99999961555,82.76929320043246,62.182826605020324,593.99999961555
Leukemia_GSE33615,423.58975804628903,593.99999961555,593.8336442922599,593.99999961555,593.99999961555,593.99999961555,593.99999961555,593.99999961555,593.99999961555,593.99999961555,593.99999961555,593.99999961555,593.8336442922599,593.8336442922599,591.4180263134543,593.99999961555,577.530822857713,593.99999961555,593.99999961555,575.1152048789074,592.2786840182347,593.99999961555,593.99999961555,338.38464655551275,593.99999961555,593.99999961555,593.99999961555,593.99999961555,593.99999961555,593.99999961555
Leukemia_GSE63270,593.8336442922599,591.2100822033001,593.99999961555,593.99999961555,572.3449266365072,507.9342211782932,593.5841112903414,593.99999961555,593.1393418183825,507.9342211782932,592.2786840182347,593.1393418183825,507.0735634735129,592.2786840182347,593.99999961555,593.7920554606923,592.9313976480316,593.99999961555,508.79487897844103,593.99999961555,591.4180263134543,593.99999961555,593.1393418183825,579.3688167475028,593.1393418183825,593.99999961555,593.99999961555,570.8315551299256,508.79487897844103,593.3761671509768
ALL-AML-full,592.2786840182347,593.99999961555,593.99999961555,585.9213690567221,338.38464655551275,588.8360528189866,593.99999961555,593.99999961555,593.99999961555,423.58975804628903,577.530822857713,592.2786840182347,591.4180263134543,591.4180263134543,338.38464655551275,588.8360528189866,588.8360528189866,593.5841112903414,592.0707399080804,423.58975804628903,589.3928809611929,593.0018677129924,338.38464655551275,338.38464655551275,593.99999961555,593.6672889659895,593.99999961555,590.5573684179391,592.2786840182347,590.5573682926713
Breast_GSE22820,588.7720702345978,588.8360530083784,593.99999961555,593.99999961555,593.99999961555,593.99999961555,82.70531042665189,593.99999961555,593.99999961555,593.930684899251,593.99999961555,588.8360530083784,593.99999961555,593.99999961555,593.99999961555,82.76929320043246,593.99999961555,593.99999961555,593.99999961555,593.99999961555,588.8360530083784,588.7720702345978,588.8360530083784,593.99999961555,593.99999961555,593.99999961555,593.99999961555,588.8360530083784,588.8360530083784,593.99999961555
