Dataset,sms_moneat,sms_moneat,sms_moneat
Colorectal_GSE25070,0.8852403327931915,0.8588552476416782,0.898143007473481
Colorectal_GSE32323,0.9178511301977579,0.8747546895706428,0.8747546895706428
Colorectal_GSE44076,0.976773519703743,0.9770571083826571,0.98068407864385
Colorectal_GSE44861,0.7890624155850207,0.8115908540013014,0.8050536573302536
Liver_GSE14520_U133A,0.9296163846817623,0.9259881424768486,0.922474735272502
Liver_GSE50579,0.6178495161073816,0.6511828494407149,0.44452761509536115
Liver_GSE62232,0.8847699045750621,0.8847699045750621,0.8205025828482319
Leukemia_GSE22529_U133A,0.8146385862918475,0.7768394330846621,0.7426746322052511
Leukemia_GSE22529_U133B,0.8146385862918475,0.8435060997513287,0.838208812331399
Leukemia_GSE33615,1.0,0.9929618127333277,0.9726414245395375
Leukemia_GSE63270,0.9502703213575117,0.9365710997332451,0.9080535694126747
ALL-AML-full,0.8344977151454513,0.7762724686395421,0.7892338712954367
Breast_GSE22820,0.9666666666666667,0.9666666666666667,0.8653589640943509
Breast_GSE59246,0.7048706643438034,0.6579245892460595,0.693337457897466
Breast_GSE70947,0.7992507664262126,0.792615302109036,0.7793587996482806
breastCancer-full,0.6353355621979776,0.6454504695754549,0.61332891581806
Prostate_GSE6919_U95Av2,0.6181394364979659,0.6074065513324841,0.6013504625181524
Prostate_GSE6919_U95B,0.6203584508311035,0.6090761185945024,0.5962079568655381
Prostate_GSE6919_U95C,0.6038296504881941,0.5847713703486528,0.5406550852332858
Prostate_GSE11682,0.4747546895706429,0.3816582489435278,0.41617604580795237
prostate_tumorVSNormal-full,0.52846257669047,0.5046098893747898,0.5053210488562598
