Dataset,sms_moneat,sms_moneat,sms_moneat
Colorectal_GSE25070,0.9015713280366267,0.9061145511980844,0.9694160968212877
Colorectal_GSE32323,0.9707106781186547,0.9804737854124365,0.960947570824873
Colorectal_GSE44076,0.9786645474207923,0.9714113447369085,0.9736054370859755
Colorectal_GSE44861,0.8057359281156891,0.8034789282694306,0.7856690911821058
Liver_GSE14520_U133A,0.9269054385763139,0.9261838984676733,0.924313479993021
Liver_GSE50579,0.7761082254307866,0.6845944358581413,0.5618694676651078
Liver_GSE62232,0.9247219128924645,0.9268747680026818,0.7666666666666667
Leukemia_GSE22529_U133A,0.8524377394990329,0.8146385862918475,0.7101727664179953
Leukemia_GSE22529_U133B,0.7866025403784438,0.7866025403784438,0.8199358737117771
Leukemia_GSE33615,1.0,0.9902368927062182,0.974466316807338
Leukemia_GSE63270,0.9278769332456187,0.922980722892033,0.917747468977124
ALL-AML-full,0.8335399551139919,0.8547392968237716,0.8241055902234128
Breast_GSE22820,0.9281025230440696,0.9267948204717538,0.9614358563774029
Breast_GSE59246,0.7420133826023689,0.7061870288261145,0.723004709851485
Breast_GSE70947,0.8106476213835357,0.8030287843069821,0.8089426212620404
breastCancer-full,0.6035247794250257,0.6177929140810685,0.6317173850736829
Prostate_GSE6919_U95Av2,0.6228795741738171,0.6440986973778494,0.6226389524511862
Prostate_GSE6919_U95B,0.6158395738064435,0.5927338653434245,0.5431259340680916
Prostate_GSE6919_U95C,0.604171617126931,0.5935183298291289,0.5612374079860398
Prostate_GSE11682,0.4080880229039761,0.33451779686442457,0.3816582489435278
prostate_tumorVSNormal-full,0.5121448891706518,0.4861303206225435,0.49363882667247017
