Dataset,sms_moneat,sms_moneat,sms_moneat
Colorectal_GSE25070,0.9106021224019215,0.9063401048550399,0.908810558832743
Colorectal_GSE32323,0.9373773447853214,0.9373773447853214,0.9414213562373095
Colorectal_GSE44076,0.9680147274564757,0.9680147274564757,0.9752487232720962
Colorectal_GSE44861,0.8138466461000868,0.8147680527310167,0.8190350309176307
Liver_GSE14520_U133A,0.9180507011572663,0.9179968582505078,0.9214661083288428
Liver_GSE50579,0.8015941390846778,0.7895738093093373,0.8694565722258323
Liver_GSE62232,0.9758382648273579,0.9758382648273579,0.9846097949216444
Leukemia_GSE22529_U133A,0.8248113527098428,0.8581446860431761,0.8292771725836949
Leukemia_GSE22529_U133B,0.8577350269189625,0.8910683602522959,0.8920150864928118
Leukemia_GSE33615,0.9671915844853186,0.9769546917791003,0.9769546917791003
Leukemia_GSE63270,0.9194345501149571,0.9178730326019292,0.9281784861735125
ALL-AML-full,0.862835874416254,0.8521341319427139,0.8859652978799606
Breast_GSE22820,0.9610355653254047,0.9598392565888948,0.9253200029085236
Breast_GSE59246,0.7401888010021879,0.7317337020658999,0.7311213521970665
Breast_GSE70947,0.8064290584192476,0.8128065268363659,0.8041176841075548
breastCancer-full,0.5911132088773348,0.5918873975302547,0.5536534684493717
Prostate_GSE6919_U95Av2,0.6342855388623743,0.6038990945657073,0.6110557499079257
Prostate_GSE6919_U95B,0.5989494283624859,0.5842731939672253,0.584270503878825
Prostate_GSE6919_U95C,0.6027759723881904,0.5568314037226816,0.5911904612580237
Prostate_GSE11682,0.4052284749830794,0.4230796051808373,0.48284271247461896
prostate_tumorVSNormal-full,0.5967226765037547,0.5985702086173624,0.6101960358911784
